# Nodejs-Series Aggregated Performance Data
# ===============================================
# 
# This file contains aggregated performance metrics averaged across iterations
# for each configuration (A1-A5) and target RPS level.
# 
# Columns Description:
# - run: Configuration (A1, A2, A3, A4, A5)
# - pods: Number of pods (always 1 for A-series)
# - container_cpu: CPU allocation per pod
# - container_mem: Memory allocation per pod
# - target_conc: Container concurrency (always 1 for A-series)
# - target_rps: Requested RPS for the test
# - throughput_rps: Actual throughput achieved (average across iterations)
# - actual_rps: Same as throughput_rps (for compatibility)
# - total_requests: Total requests processed (average across iterations)
# - average/median/p95/p99: Latency percentiles in microseconds
# - *_ms: Same latency metrics converted to milliseconds
# 
# A-Series Configuration:
# - A1: 1000m CPU, 1Gi memory (highest resources)
# - A2: 500m CPU, 500Mi memory
# - A3: 250m CPU, 250Mi memory
# - A4: 125m CPU, 125Mi memory
# - A5: 100m CPU, 100Mi memory (lowest resources)
# 
# All A-series tests use containerConcurrency=1 (single-threaded)
# to analyze single-threading performance limits.
# 
run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
A1,1,1000m,1Gi,1,20.0,20.0,20.0,1200.0,14675.005555555554,14.675005555555554,7061.0,7.061,58599.49999999999,58.59949999999999,174619.38,174.61938
A1,1,1000m,1Gi,1,40.0,32.76,32.76,1965.6666666666667,5483131.593450191,5483.131593450192,5723012.333333333,5723.012333333333,10295914.75,10295.91475,10762986.25,10762.98625
A2,1,500m,500Mi,1,20.0,20.0,20.0,1200.0,15833.377777777778,15.833377777777777,7082.333333333333,7.082333333333333,47582.36666666665,47.582366666666644,245320.95333333337,245.32095333333336
A2,1,500m,500Mi,1,40.0,31.726666666666663,31.73,1903.6666666666667,5848386.685542618,5848.386685542618,5667074.0,5667.074,11646532.399999997,11646.532399999996,12276998.913333334,12276.998913333335
A3,1,250m,250Mi,1,20.0,20.0,20.0,1200.0,25937.20944444445,25.93720944444445,7047.833333333333,7.047833333333333,128899.68333333271,128.89968333333272,413251.84,413.25184
A3,1,250m,250Mi,1,40.0,31.810000000000002,31.81,1908.6666666666667,5947884.289460279,5947.884289460279,5749865.333333333,5749.865333333333,11469921.649999999,11469.921649999998,12149318.743333334,12149.318743333333
A4,1,125m,125Mi,1,20.0,20.0,20.0,1200.0,13517.765277777778,13.517765277777778,6794.0,6.794,58565.18333333333,58.56518333333333,149088.88333333321,149.08888333333323
A4,1,125m,125Mi,1,40.0,32.193333333333335,32.19,1931.6666666666667,6211372.812618013,6211.372812618012,5899563.0,5899.563,11224399.649999999,11224.39965,11645240.196666667,11645.240196666668
A5,1,100m,100Mi,1,20.0,20.0,20.0,1200.0,17378.21722222222,17.378217222222222,6942.166666666667,6.942166666666667,64790.3833333333,64.7903833333333,261797.70666666667,261.79770666666667
A5,1,100m,100Mi,1,40.0,33.156666666666666,33.16,1989.3333333333333,5110935.660711357,5110.935660711358,4965245.666666667,4965.245666666667,9785152.583333334,9785.152583333334,10187038.336666668,10187.038336666668
