# Python-Series Aggregated Performance Data
# ===============================================
# 
# This file contains aggregated performance metrics averaged across iterations
# for each configuration (A1-A5) and target RPS level.
# 
# Columns Description:
# - run: Configuration (A1, A2, A3, A4, A5)
# - pods: Number of pods (always 1 for A-series)
# - container_cpu: CPU allocation per pod
# - container_mem: Memory allocation per pod
# - target_conc: Container concurrency (always 1 for A-series)
# - target_rps: Requested RPS for the test
# - throughput_rps: Actual throughput achieved (average across iterations)
# - actual_rps: Same as throughput_rps (for compatibility)
# - total_requests: Total requests processed (average across iterations)
# - average/median/p95/p99: Latency percentiles in microseconds
# - *_ms: Same latency metrics converted to milliseconds
# 
# A-Series Configuration:
# - A1: 1000m CPU, 1Gi memory (highest resources)
# - A2: 500m CPU, 500Mi memory
# - A3: 250m CPU, 250Mi memory
# - A4: 125m CPU, 125Mi memory
# - A5: 100m CPU, 100Mi memory (lowest resources)
# 
# All A-series tests use containerConcurrency=1 (single-threaded)
# to analyze single-threading performance limits.
# 
run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
A1,1,1000m,1Gi,1,20.0,20.0,20.0,1200.0,26392.181388888886,26.392181388888886,6896.5,6.8965,152868.93333333332,152.86893333333333,389263.6066666665,389.26360666666653
A1,1,1000m,1Gi,1,40.0,31.293333333333333,31.29,1877.6666666666667,6372944.5055721,6372.9445055721,6058122.833333333,6058.122833333333,12639558.549999999,12639.55855,13018106.423333332,13018.106423333333
A2,1,500m,500Mi,1,20.0,20.0,20.0,1200.0,14890.593055555553,14.890593055555554,6757.166666666667,6.7571666666666665,41257.716666666594,41.257716666666596,227478.7933333331,227.4787933333331
A2,1,500m,500Mi,1,40.0,31.973333333333333,31.97,1918.3333333333333,6140860.599720064,6140.860599720064,6306836.833333333,6306.836833333333,11139524.583333334,11139.524583333334,11756302.306666667,11756.302306666666
A3,1,250m,250Mi,1,20.0,20.0,20.0,1200.0,17920.511388888888,17.920511388888887,6979.0,6.979,58942.799999999996,58.9428,283545.9833333331,283.5459833333331
A3,1,250m,250Mi,1,40.0,32.31333333333333,32.31,1938.6666666666667,5934879.005110226,5934.879005110226,5853769.166666667,5853.769166666667,10956019.783333333,10956.019783333333,11434180.833333334,11434.180833333334
A4,1,125m,125Mi,1,20.0,20.0,20.0,1200.0,13592.064722222223,13.592064722222224,6702.5,6.7025,36443.56666666662,36.44356666666662,213019.64666666652,213.01964666666652
A4,1,125m,125Mi,1,40.0,32.800000000000004,32.8,1968.0,5186900.011660748,5186.9000116607485,5177813.166666667,5177.813166666667,10213359.4,10213.359400000001,10747675.983333334,10747.675983333334
A5,1,100m,100Mi,1,20.0,20.0,20.0,1200.0,12163.599722222221,12.163599722222221,6826.333333333333,6.826333333333333,30916.483333333334,30.916483333333332,147164.14333333328,147.16414333333327
A5,1,100m,100Mi,1,40.0,33.09,33.09,1986.6666666666667,5204890.72549793,5204.89072549793,4759716.0,4759.716,10202440.633333333,10202.440633333334,10532333.033333333,10532.333033333332
