config,pods,duration_seconds,intervals,min_cpu,max_cpu,avg_cpu,min_memory,max_memory,avg_memory,cpu_cost,memory_cost,compute_cost,total_requests,request_cost,total_cost,compute_percentage,request_percentage
Python B1 (1 pod),1,1275.762079,565,3,161,117.58938053097346,42,75,59.412389380530975,0.0036046520823360003,0.00018524353913818383,0.0037898956214741843,72452,0.0289808,0.03277069562147419,11.564892198964241,88.43510780103576
Python B2 (2 pods),2,2751.634596,1182,6,327,225.36971235194585,88,147,119.20896785109983,0.014945845463088003,0.0008022133731616207,0.015748058836249624,336810,0.134724,0.15047205883624964,10.465769497702798,89.53423050229719
Python B3 (4 pods),4,4193.310482,1781,12,566,375.8399775407075,171,229,213.16226838854575,0.038263012106111986,0.0021843722733715853,0.04044738437948357,768288,0.3073152,0.3477625843794836,11.6307464334193,88.3692535665807
Python B4 (8 pods),8,4662.08433,1895,28,999,660.6094986807387,344,427,416.1361477572559,0.07501048254840002,0.004739543367067873,0.0797500259154679,1106227,0.4424908000000001,0.5222408259154679,15.270737552099492,84.72926244790051
Python B5 (10 pods),10,4663.580209,1864,100,1159,745.7435622317597,418,530,518.4211373390558,0.08523049401228,0.005906205859665521,0.09113669987194552,1104101,0.44164040000000004,0.5327770998719455,17.105971689445827,82.89402831055418
NodeJS B1 (1 pod),1,1338.0094829999998,595,1,124,97.0873949579832,40,92,73.08067226890756,0.0031200122189760024,0.00023902960062988264,0.003359041819605885,73511,0.029404400000000004,0.03276344181960589,10.252408272917803,89.7475917270822
NodeJS B2 (2 pods),2,2875.007759,1247,0,284,190.66399358460305,0,193,141.10425020048115,0.013182036954696011,0.0009926257257788082,0.01417466268047482,345861,0.1383444,0.15251906268047483,9.293699050701962,90.70630094929804
NodeJS B3 (4 pods),4,4155.719997,1735,0,503,366.43342939481266,0,313,266.45129682997117,0.03679236985667999,0.002713150166306148,0.039505520022986136,842932,0.33717280000000005,0.3766783200229862,10.48786668172869,89.51213331827131
NodeJS B4 (8 pods),8,4662.224344,1892,9,886,595.7531712473573,311,586,503.21194503171245,0.06779498367048004,0.005760599730000014,0.07355558340048005,1110574,0.4442296,0.5177851834004801,14.205810779948216,85.79418922005178
NodeJS B5 (10 pods),10,4663.383473,1863,18,1039,676.3247450348899,396,713,616.2538915727322,0.0772107784038479,0.007056161185546882,0.08426693958939477,1111807,0.44472280000000003,0.5289897395893948,15.929787155191951,84.07021284480805
Go B1 (1 pod),1,1406.125408,620,15,106,80.12741935483871,12,43,32.998387096774195,0.002706379362744001,0.0001134181951855468,0.002819797557929548,91948,0.036779200000000005,0.039598997557929554,7.120881163227562,92.87911883677243
Go B2 (2 pods),2,2911.177349,1280,2,212,128.21484375,30,71,59.78046875,0.009024379179264004,0.0004256074905224609,0.009449986669786465,272868,0.1091472,0.11859718666978647,7.96813730168687,92.03186269831313
Go B3 (4 pods),4,4095.011977,1710,4,411,299.1099415204678,48,126,113.46783625730994,0.029581574142095966,0.0011369899550292965,0.030718564097125263,847138,0.3388552,0.3695737640971253,8.311889825883938,91.68811017411606
Go B4 (8 pods),8,4662.252452,1902,8,757,504.57413249211356,112,230,216.85751840168243,0.05757719070643201,0.0024747061118847676,0.060051896818316776,1124249,0.44969960000000003,0.5097514968183168,11.780621968378483,88.21937803162152
Go B5 (10 pods),10,4662.570982,1856,37,890,577.3674568965517,116,284,267.0215517241379,0.06610349506504795,0.003048364363786624,0.06915185942883458,1117567,0.4470268,0.5161786594288346,13.39688461846775,86.60311538153225
