Config,Pods,CPU (m),Memory (MiB),Requests,Max RPS,Compute $,Request $,Total $,$/M Req,$/RPS
Python B1,1,117.6,59.4,72452,100.4,$0.0038,$0.0290,$0.0328,$0.45,$0.0003
Python B2 (2 pods),2,225.4,119.2,336810,192.6,$0.0157,$0.1347,$0.1505,$0.45,$0.0008
Python B3 (4 pods),4,375.8,213.2,768288,368.8,$0.0404,$0.3073,$0.3478,$0.45,$0.0009
Python B4 (8 pods),8,660.6,416.1,1106227,422.5,$0.0798,$0.4425,$0.5222,$0.47,$0.0012
Python B5 (10 pods),10,745.7,518.4,1104101,418.7,$0.0911,$0.4416,$0.5328,$0.48,$0.0013
NodeJS B1,1,97.1,73.1,73511,107.4,$0.0034,$0.0294,$0.0328,$0.45,$0.0003
NodeJS B2 (2 pods),2,190.7,141.1,345861,198.4,$0.0142,$0.1383,$0.1525,$0.44,$0.0008
NodeJS B3 (4 pods),4,366.4,266.5,842932,387.6,$0.0395,$0.3372,$0.3767,$0.45,$0.0010
NodeJS B4 (8 pods),8,595.8,503.2,1110574,427.3,$0.0736,$0.4442,$0.5178,$0.47,$0.0012
NodeJS B5 (10 pods),10,676.3,616.3,1111807,424.2,$0.0843,$0.4447,$0.5290,$0.48,$0.0012
Go B1,1,80.1,33.0,91948,106.0,$0.0028,$0.0368,$0.0396,$0.43,$0.0004
Go B2 (2 pods),2,128.2,59.8,272868,204.6,$0.0094,$0.1091,$0.1186,$0.43,$0.0006
Go B3 (4 pods),4,299.1,113.5,847138,388.7,$0.0307,$0.3389,$0.3696,$0.44,$0.0010
Go B4 (8 pods),8,504.6,216.9,1124249,430.0,$0.0601,$0.4497,$0.5098,$0.45,$0.0012
Go B5 (10 pods),10,577.4,267.0,1117567,433.0,$0.0692,$0.4470,$0.5162,$0.46,$0.0012
