config,pods,duration_seconds,intervals,min_cpu,max_cpu,avg_cpu,min_memory,max_memory,avg_memory,cpu_cost,memory_cost,total_cost,total_requests,avg_of_max_rps,avg_achieved_rps,cost_per_rps,cost_per_million_requests
Python B1 (1 pod),1,1275.762079,565,3,161,117.58938053097346,42,75,59.412389380530975,0.002703489061752001,0.00014819483131054664,0.0028516838930625478,72452,100.39,67.0838888888889,2.840605531489738e-05,0.03935962972813101
Python B2 (2 pods),2,2751.634596,1182,6,327,225.36971235194585,88,147,119.20896785109983,0.011209384097316012,0.0006417706985292972,0.011851154795845309,336810,192.58,131.4102380952381,6.153886590427515e-05,0.03518646951054098
Python B3 (4 pods),4,4193.310482,1781,12,566,375.8399775407075,171,229,213.16226838854575,0.02869725907958395,0.0017474978186972651,0.030444756898281217,768288,368.81,211.95916666666665,8.254862096548689e-05,0.03962675051319455
Python B4 (8 pods),8,4662.08433,1895,28,999,660.6094986807387,344,427,416.1361477572559,0.05625786191130005,0.0037916346936542975,0.060049496604954344,1106227,422.54,256.0588888888889,0.0001421155313223703,0.054283159428358145
Python B5 (10 pods),10,4663.580209,1864,100,1159,745.7435622317597,418,530,518.4211373390558,0.06392287050921001,0.00472496468773242,0.06864783519694244,1104101,418.7,255.57333333333332,0.00016395470550977417,0.06217532200128651
NodeJS B1 (1 pod),1,1338.0094829999998,595,1,124,97.0873949579832,40,92,73.08067226890756,0.0023400091642319983,0.0001912236805039063,0.0025312328447359045,73511,107.36,68.065,2.3577057048583313e-05,0.03443338880896607
NodeJS B2 (2 pods),2,2875.007759,1247,0,284,190.66399358460305,0,193,141.10425020048115,0.009886527716021996,0.0007941005806230481,0.010680628296645045,345861,198.37,134.69452380952384,5.384195340346345e-05,0.03088127397030901
NodeJS B3 (4 pods),4,4155.719997,1735,0,503,366.43342939481266,0,313,266.45129682997117,0.027594277392509997,0.002170520133044921,0.029764797525554918,842932,387.6,222.99253968253967,7.679256327542548e-05,0.03531103045744487
NodeJS B4 (8 pods),8,4662.224344,1892,9,886,595.7531712473573,311,586,503.21194503171245,0.05084623775285998,0.004608479784000001,0.05545471753685998,1110574,427.31,257.04986111111117,0.0001297763158757342,0.04993338358079694
NodeJS B5 (10 pods),10,4663.383473,1863,18,1039,676.3247450348899,396,713,616.2538915727322,0.05790808380288597,0.0056449289484374965,0.06355301275132347,1111807,424.24,257.3566666666667,0.00014980438608175434,0.05716191097134977
Go B1 (1 pod),1,1406.125408,620,15,106,80.12741935483871,12,43,32.998387096774195,0.0020297845220579994,9.073455614843749e-05,0.002120519078206437,91948,105.98,72.92476190476191,2.000867218537872e-05,0.02306215554668331
Go B2 (2 pods),2,2911.177349,1280,2,212,128.21484375,30,71,59.78046875,0.006768284384447994,0.00034048599241796873,0.007108770376865962,272868,204.6,126.31916666666666,3.474472324958926e-05,0.026052048524803063
Go B3 (4 pods),4,4095.011977,1710,4,411,299.1099415204678,48,126,113.46783625730994,0.02218618060657201,0.000909591964023438,0.02309577257059545,847138,388.71,224.10698412698414,5.9416461039323534e-05,0.027263294257364738
Go B4 (8 pods),8,4662.252452,1902,8,757,504.57413249211356,112,230,216.85751840168243,0.043182893029823984,0.0019797648895078113,0.04516265791933179,1124249,430.01,260.2401388888889,0.00010502699453345688,0.0401714014594025
Go B5 (10 pods),10,4662.570982,1856,37,890,577.3674568965517,116,284,267.0215517241379,0.04957762129878609,0.0024386914910292947,0.05201631278981538,1117567,432.95,258.6763888888889,0.0001201439260649391,0.046544245481313765
