run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
B1,1,1000m,1Gi,100,20.0,20.0,20.0,1200.0,13052.294722222223,13.052294722222223,6424.5,6.4245,31704.51666666642,31.704516666666418,185582.70666666664,185.58270666666664
B1,1,1000m,1Gi,100,40.0,39.96,39.96,2397.6666666666665,86338.2669084573,86.3382669084573,48755.333333333336,48.75533333333333,300138.56666666665,300.13856666666663,648816.383333335,648.816383333335
B1,1,1000m,1Gi,100,60.0,62.38333333333333,62.38,3743.3333333333335,167222.67349812336,167.22267349812336,112359.5,112.3595,550181.6666666664,550.1816666666664,979720.5100000006,979.7205100000006
B1,1,1000m,1Gi,100,80.0,82.59333333333335,82.59,4955.666666666667,415470.13188093435,415.47013188093433,285251.6666666667,285.25166666666667,1233315.5499999998,1233.3155499999998,1754625.1400000006,1754.6251400000006
B1,1,1000m,1Gi,100,100.0,98.01666666666667,98.02,5881.0,774193.6776688021,774.1936776688021,683208.0,683.208,1785295.4666666666,1785.2954666666665,2233401.986666666,2233.401986666666
B1,1,1000m,1Gi,100,120.0,105.21999999999998,105.22,6333.333333333333,4646639.016630936,4646.639016630937,4658403.0,4658.403,8267949.349999999,8267.949349999999,8817884.693333333,8817.884693333333
B1,1,1000m,1Gi,100,140.0,102.3,102.3,6138.333333333333,8157576.151157207,8157.576151157207,8044414.333333333,8044.414333333333,15126985.866666667,15126.985866666668,15811165.826666668,15811.165826666667
B2,2,500m,500Mi,50,20.0,20.0,20.0,1200.0,8604.494722222222,8.604494722222222,6318.0,6.318,11305.799999999996,11.305799999999996,77995.8033333333,77.9958033333333
B2,2,500m,500Mi,50,40.0,40.0,40.0,2400.0,12001.129166666668,12.001129166666667,5831.666666666667,5.831666666666667,38434.33333333332,38.43433333333332,151602.5533333316,151.6025533333316
B2,2,500m,500Mi,50,60.0,62.48,62.48,3748.6666666666665,32807.07063711609,32.80707063711609,6729.0,6.729,147937.28333333298,147.93728333333297,301935.4466666658,301.93544666666577
B2,2,500m,500Mi,50,80.0,83.14999999999999,83.15,4989.0,70965.48518040577,70.96548518040576,45017.833333333336,45.017833333333336,227823.15,227.82315,394593.86333333346,394.59386333333345
B2,2,500m,500Mi,50,100.0,99.27,99.27,5960.666666666667,96949.71361108452,96.94971361108452,61728.166666666664,61.72816666666667,304493.2166666666,304.4932166666666,614088.9666666669,614.0889666666669
B2,2,500m,500Mi,50,120.0,123.06666666666666,123.07,7384.0,154882.25325683746,154.88225325683746,106092.0,106.092,471962.9666666663,471.9629666666663,831007.776666667,831.0077766666669
B2,2,500m,500Mi,50,140.0,139.88333333333333,139.88,8393.0,195726.72058394796,195.72672058394795,144189.83333333334,144.18983333333335,573898.8666666666,573.8988666666665,882876.4633333328,882.8764633333328
B2,2,500m,500Mi,50,160.0,162.17666666666665,162.18,9730.666666666666,287725.5809221939,287.7255809221939,223237.83333333334,223.23783333333336,733464.6166666666,733.4646166666665,1014080.4300000003,1014.0804300000003
B2,2,500m,500Mi,50,180.0,190.97,190.97,11458.333333333334,465886.5381380574,465.8865381380574,428103.6666666667,428.1036666666667,984595.0,984.595,1245630.8400000005,1245.6308400000005
B2,2,500m,500Mi,50,200.0,193.07333333333335,193.07,11584.666666666666,602721.0105855028,602.7210105855029,520354.0,520.354,1333495.8499999999,1333.4958499999998,1573310.513333333,1573.310513333333
B2,2,500m,500Mi,50,220.0,203.48333333333335,203.48,12209.333333333334,4979146.071399464,4979.146071399464,5038925.833333333,5038.925833333333,8761822.333333334,8761.822333333334,9176860.726666667,9176.860726666666
B2,2,500m,500Mi,50,240.0,198.27666666666667,198.28,11897.666666666666,5147209.879372732,5147.209879372732,5086083.166666667,5086.083166666667,8963668.233333334,8963.668233333334,9784423.196666665,9784.423196666665
B3,4,250m,250Mi,25,20.0,20.0,20.0,1200.0,10149.899444444443,10.149899444444443,6818.166666666667,6.818166666666667,14165.883333333324,14.165883333333325,107099.99333333323,107.09999333333323
B3,4,250m,250Mi,25,40.0,39.99333333333333,39.99,2399.6666666666665,10301.079038430365,10.301079038430366,6387.333333333333,6.387333333333333,15307.883333333286,15.307883333333287,103667.0566666656,103.66705666666559
B3,4,250m,250Mi,25,60.0,62.449999999999996,62.45,3747.0,10305.105016926449,10.305105016926449,6078.833333333333,6.078833333333333,19421.149999999987,19.421149999999987,117482.96666666622,117.48296666666623
B3,4,250m,250Mi,25,80.0,83.10666666666667,83.11,4986.333333333333,14400.03915441817,14.400039154418169,6096.0,6.096,46816.99999999999,46.81699999999999,208718.08000000028,208.71808000000027
B3,4,250m,250Mi,25,100.0,99.42,99.42,5965.0,25077.628090630653,25.077628090630654,6208.5,6.2085,108057.89999999998,108.05789999999998,337065.15666666656,337.06515666666655
B3,4,250m,250Mi,25,120.0,123.51,123.51,7410.666666666667,39699.71760028961,39.69971760028961,10066.333333333334,10.066333333333334,162873.21666666665,162.87321666666665,358631.1200000003,358.6311200000003
B3,4,250m,250Mi,25,140.0,140.03333333333333,140.03,8402.0,54172.673111136224,54.17267311113623,27230.333333333332,27.23033333333333,187349.9833333333,187.3499833333333,399533.6499999989,399.53364999999894
B3,4,250m,250Mi,25,160.0,162.75333333333333,162.75,9765.333333333334,67104.45692824705,67.10445692824705,40839.833333333336,40.83983333333334,228572.6000000001,228.57260000000008,445226.09333333303,445.22609333333304
B3,4,250m,250Mi,25,180.0,193.30999999999997,193.31,11599.0,79910.82008611764,79.91082008611764,56377.0,56.377,234948.3999999999,234.9483999999999,439264.8799999997,439.2648799999997
B3,4,250m,250Mi,25,200.0,193.4433333333333,193.44,11607.333333333334,85425.93823823774,85.42593823823773,57096.166666666664,57.09616666666666,262798.6166666665,262.79861666666653,512980.1600000014,512.9801600000013
B3,4,250m,250Mi,25,220.0,235.53,235.53,14132.0,117252.99133896868,117.25299133896868,78888.83333333333,78.88883333333332,361909.3833333333,361.9093833333333,656918.1633333334,656.9181633333335
B3,4,250m,250Mi,25,240.0,237.01,237.01,14221.0,114375.58336634691,114.37558336634692,77103.5,77.1035,352941.0333333334,352.9410333333334,642088.1033333334,642.0881033333334
B3,4,250m,250Mi,25,260.0,306.03,306.03,18362.0,164166.13128727587,164.16613128727587,122524.16666666667,122.52416666666667,458099.0999999997,458.0990999999997,706759.8933333341,706.7598933333342
B3,4,250m,250Mi,25,280.0,306.41,306.41,18384.666666666668,158877.16347301943,158.87716347301944,122878.83333333333,122.87883333333333,418643.2999999999,418.6432999999999,685162.5266666668,685.1625266666668
B3,4,250m,250Mi,25,300.0,304.90000000000003,304.9,18294.666666666668,178739.19641812114,178.73919641812114,135734.83333333334,135.73483333333334,506047.0166666668,506.04701666666676,781722.296666667,781.722296666667
B3,4,250m,250Mi,25,320.0,308.40333333333336,308.4,18504.333333333332,164506.99347902802,164.506993479028,125018.66666666667,125.01866666666668,456614.73333333334,456.61473333333333,678907.956666667,678.907956666667
B3,4,250m,250Mi,25,340.0,381.89000000000004,381.89,22913.666666666668,3499907.564397255,3499.907564397255,3562404.8333333335,3562.4048333333335,6683164.616666667,6683.164616666667,7104255.646666666,7104.255646666666
B3,4,250m,250Mi,25,360.0,376.5233333333333,376.52,22591.666666666668,4191065.4566857642,4191.065456685764,4273627.333333333,4273.627333333333,7486626.133333333,7486.626133333333,7892577.946666668,7892.577946666668
B3,4,250m,250Mi,25,380.0,372.69666666666666,372.7,22362.0,4000044.49856211,4000.04449856211,4043665.1666666665,4043.6651666666667,7623584.2333333315,7623.584233333331,8252651.036666665,8252.651036666664
B3,4,250m,250Mi,25,400.0,371.36999999999995,371.37,22283.333333333332,4394342.114374038,4394.342114374038,4268164.333333333,4268.164333333333,7781947.933333334,7781.947933333334,8408107.729999967,8408.107729999967
B3,4,250m,250Mi,25,420.0,387.4633333333333,387.46,23247.666666666668,3075892.2377933287,3075.8922377933286,3238527.8333333335,3238.5278333333335,5557550.316666667,5557.550316666668,6145879.593333334,6145.879593333334
B4,8,125m,125Mi,12,20.0,19.99,19.99,1199.3333333333333,9003.071387497681,9.00307138749768,6339.5,6.3395,11506.533333333326,11.506533333333326,81613.70999999982,81.61370999999981
B4,8,125m,125Mi,12,40.0,39.99,39.99,2399.3333333333335,7683.046474955982,7.683046474955982,6053.333333333333,6.053333333333333,12215.533333333327,12.215533333333328,39893.06333333335,39.89306333333335
B4,8,125m,125Mi,12,60.0,62.43666666666667,62.44,3746.0,8520.89152977318,8.52089152977318,5930.166666666667,5.930166666666667,13482.183333333325,13.482183333333325,56543.316666666564,56.54331666666656
B4,8,125m,125Mi,12,80.0,83.08999999999999,83.09,4985.333333333333,8823.712580215746,8.823712580215746,5823.666666666667,5.823666666666667,14725.566666666664,14.725566666666664,83309.41000000015,83.30941000000016
B4,8,125m,125Mi,12,100.0,99.67999999999999,99.68,5980.666666666667,8375.894884214007,8.375894884214008,5758.333333333333,5.758333333333333,14728.283333333311,14.72828333333331,74231.30999999878,74.23130999999877
B4,8,125m,125Mi,12,120.0,123.96666666666665,123.97,7438.0,9249.384718286756,9.249384718286755,5658.666666666667,5.658666666666667,16814.633333333328,16.814633333333326,98175.27999999981,98.17527999999982
B4,8,125m,125Mi,12,140.0,141.32333333333335,141.32,8479.333333333334,10656.962755122577,10.656962755122576,5621.333333333333,5.621333333333333,21675.73333333331,21.675733333333312,133593.92000000054,133.59392000000054
B4,8,125m,125Mi,12,160.0,164.58,164.58,9875.0,12594.205388640039,12.59420538864004,5778.166666666667,5.778166666666667,32348.6166666666,32.3486166666666,178881.15666666688,178.88115666666687
B4,8,125m,125Mi,12,180.0,195.74,195.74,11744.666666666666,17992.060955121786,17.992060955121786,6151.0,6.151,72600.76666666668,72.60076666666667,244716.69999999952,244.71669999999952
B4,8,125m,125Mi,12,200.0,195.9366666666667,195.94,11756.333333333334,18886.675535484912,18.886675535484912,6198.666666666667,6.198666666666667,75455.54999999999,75.45554999999999,277115.2933333327,277.1152933333327
B4,8,125m,125Mi,12,220.0,240.12,240.12,14407.333333333334,31793.499810764904,31.793499810764903,9468.666666666666,9.468666666666666,128590.4333333333,128.5904333333333,310288.3866666665,310.2883866666665
B4,8,125m,125Mi,12,240.0,240.78666666666666,240.79,14448.0,32491.05238951575,32.49105238951575,10470.666666666666,10.470666666666666,122952.36666666654,122.95236666666653,310082.5033333327,310.08250333333274
B4,8,125m,125Mi,12,260.0,307.96,307.96,18477.333333333332,58181.3165771112,58.181316577111204,37889.0,37.889,182601.93333333326,182.60193333333325,371447.9933333323,371.4479933333323
B4,8,125m,125Mi,12,280.0,309.99,309.99,18600.333333333332,55532.92908404407,55.53292908404407,36143.333333333336,36.14333333333334,173378.46666666656,173.37846666666655,340894.55333333346,340.8945533333335
B4,8,125m,125Mi,12,300.0,311.09666666666664,311.1,18666.333333333332,52707.229019055776,52.707229019055774,34425.833333333336,34.42583333333334,165288.9833333333,165.2889833333333,306428.5599999999,306.4285599999999
B4,8,125m,125Mi,12,320.0,305.09,305.09,18305.666666666668,58236.44808452201,58.23644808452201,37794.833333333336,37.79483333333334,182166.03333333333,182.16603333333333,364872.11333333305,364.87211333333306
B4,8,125m,125Mi,12,340.0,426.15000000000003,426.15,25569.0,85958.73648545203,85.95873648545202,65127.0,65.127,233222.43333333303,233.22243333333302,412346.40666666673,412.3464066666667
B4,8,125m,125Mi,12,360.0,424.07666666666665,424.08,25445.0,86524.4033376106,86.5244033376106,64957.833333333336,64.95783333333334,236679.0166666666,236.6790166666666,429922.9100000001,429.9229100000001
B4,8,125m,125Mi,12,380.0,425.34,425.34,25520.333333333332,87451.4058572307,87.4514058572307,65578.0,65.578,240356.7833333329,240.35678333333288,428814.49999999936,428.8144999999994
B4,8,125m,125Mi,12,400.0,425.28999999999996,425.29,25519.0,87331.86801574014,87.33186801574014,65403.833333333336,65.40383333333334,238374.84999999983,238.37484999999984,426649.9499999997,426.6499499999997
B4,8,125m,125Mi,12,420.0,426.1766666666667,426.18,25570.666666666668,83918.43336466704,83.91843336466704,62931.5,62.9315,227577.2333333332,227.5772333333332,421756.31333333347,421.7563133333335
B4,8,125m,125Mi,12,440.0,428.84,428.84,25728.666666666668,80841.6752622292,80.8416752622292,61605.5,61.6055,215690.84999999998,215.69084999999998,396410.1266666665,396.4101266666665
B4,8,125m,125Mi,12,460.0,424.91333333333336,424.91,25495.666666666668,85762.50421611576,85.76250421611576,64610.333333333336,64.61033333333333,237179.98333333316,237.17998333333315,408929.57666666625,408.92957666666626
B4,8,125m,125Mi,12,480.0,423.2,423.2,25392.333333333332,87424.48319526606,87.42448319526606,64781.333333333336,64.78133333333334,243307.53333333324,243.30753333333323,445792.57666666695,445.79257666666695
B5,10,100m,100Mi,10,20.0,20.0,20.0,1200.0,9390.439722222223,9.390439722222224,6933.333333333333,6.933333333333333,15087.866666666661,15.087866666666661,46385.506666666515,46.385506666666515
B5,10,100m,100Mi,10,40.0,40.0,40.0,2400.0,7919.738611111111,7.919738611111111,6160.166666666667,6.160166666666667,12507.683333333307,12.507683333333308,34030.143333333195,34.03014333333319
B5,10,100m,100Mi,10,60.0,62.48333333333333,62.48,3749.0,8467.316853304867,8.467316853304867,6213.166666666667,6.213166666666667,14146.549999999996,14.146549999999996,55716.749999999825,55.71674999999983
B5,10,100m,100Mi,10,80.0,83.19333333333333,83.19,4991.666666666667,9056.624751823269,9.056624751823268,5914.833333333333,5.914833333333333,14363.616666666667,14.363616666666667,73692.1433333335,73.6921433333335
B5,10,100m,100Mi,10,100.0,99.31666666666666,99.32,5959.0,10556.941627904956,10.556941627904957,6057.0,6.057,19046.53333333333,19.04653333333333,115248.47999999979,115.24847999999979
B5,10,100m,100Mi,10,120.0,123.46,123.46,7407.666666666667,11649.028224585227,11.649028224585226,6038.333333333333,6.038333333333333,22595.333333333325,22.595333333333325,155646.6066666663,155.64660666666632
B5,10,100m,100Mi,10,140.0,141.26,141.26,8476.0,10046.558515618628,10.046558515618628,5779.833333333333,5.779833333333333,18592.699999999997,18.592699999999997,110432.01000000036,110.43201000000036
B5,10,100m,100Mi,10,160.0,164.68666666666667,164.69,9881.333333333334,11031.210503192402,11.031210503192401,5769.833333333333,5.769833333333333,21006.033333333286,21.006033333333285,134741.47333333315,134.74147333333315
B5,10,100m,100Mi,10,180.0,194.99666666666667,195.0,11700.0,15457.720413625526,15.457720413625525,6340.666666666667,6.340666666666667,49046.6166666666,49.0466166666666,214657.9433333336,214.65794333333358
B5,10,100m,100Mi,10,200.0,193.85333333333332,193.85,11633.0,15353.48792606063,15.35348792606063,6661.833333333333,6.661833333333333,45040.49999999997,45.04049999999997,211137.6566666666,211.1376566666666
B5,10,100m,100Mi,10,220.0,239.0,239.0,14340.333333333334,21898.19925521633,21.89819925521633,7871.0,7.871,88495.0999999999,88.49509999999991,255596.6999999998,255.5966999999998
B5,10,100m,100Mi,10,240.0,239.78666666666666,239.79,14387.333333333334,24025.13731421213,24.02513731421213,7792.166666666667,7.792166666666667,99594.03333333322,99.59403333333323,289648.6166666663,289.64861666666627
B5,10,100m,100Mi,10,260.0,305.2366666666667,305.24,18314.666666666668,43275.274498014194,43.27527449801419,19869.333333333332,19.869333333333334,152224.59999999986,152.22459999999987,340562.96333333367,340.56296333333364
B5,10,100m,100Mi,10,280.0,305.8,305.8,18348.0,43311.326591883866,43.31132659188387,21197.166666666668,21.197166666666668,146362.5666666666,146.3625666666666,335482.3699999983,335.4823699999983
B5,10,100m,100Mi,10,300.0,303.49,303.49,18210.333333333332,44479.52680519457,44.47952680519457,21697.0,21.697,155496.5,155.4965,332715.67333333316,332.71567333333314
B5,10,100m,100Mi,10,320.0,304.0733333333333,304.07,18244.666666666668,43341.44634306117,43.34144634306117,20287.0,20.287,153977.71666666665,153.97771666666665,337755.6199999995,337.75561999999945
B5,10,100m,100Mi,10,340.0,421.6333333333334,421.63,25300.0,66472.00964789467,66.47200964789467,49048.666666666664,49.04866666666666,184889.69999999995,184.88969999999995,359842.20999999996,359.84220999999997
B5,10,100m,100Mi,10,360.0,417.88000000000005,417.88,25072.666666666668,72456.13693996388,72.45613693996388,53038.833333333336,53.038833333333336,199533.13333333333,199.53313333333332,398271.66333333304,398.27166333333304
B5,10,100m,100Mi,10,380.0,431.77,431.77,25910.333333333332,67887.9481389904,67.8879481389904,49011.5,49.0115,193987.41666666663,193.98741666666663,379902.0966666666,379.90209666666664
B5,10,100m,100Mi,10,400.0,432.24,432.24,25942.666666666668,66461.12115556319,66.46112115556319,48542.0,48.542,188809.1999999998,188.8091999999998,361148.3799999997,361.1483799999997
B5,10,100m,100Mi,10,420.0,422.96000000000004,422.96,25385.333333333332,70212.44579825587,70.21244579825587,51814.666666666664,51.81466666666667,194984.36666666667,194.98436666666666,382486.0099999997,382.48600999999974
B5,10,100m,100Mi,10,440.0,420.92,420.92,25255.666666666668,70727.33926328678,70.72733926328678,51496.0,51.496,198481.33333333334,198.48133333333334,391070.82,391.07082
B5,10,100m,100Mi,10,460.0,421.74666666666667,421.75,25305.666666666668,67419.99256327494,67.41999256327493,49851.333333333336,49.851333333333336,185862.31666666665,185.86231666666666,373079.0899999998,373.0790899999998
B5,10,100m,100Mi,10,480.0,418.4466666666667,418.45,25107.0,69147.77881188062,69.14777881188061,50413.833333333336,50.413833333333336,192521.09999999995,192.52109999999996,387773.10333333333,387.7731033333333
