run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
B1,1,1000m,1Gi,100,20.0,19.993333333333336,19.99,1199.6666666666667,14312.10196413678,14.31210196413678,7118.5,7.1185,64199.783333333326,64.19978333333333,183296.46666666667,183.29646666666667
B1,1,1000m,1Gi,100,40.0,39.97666666666667,39.98,2398.6666666666665,81021.23685610275,81.02123685610276,45492.666666666664,45.492666666666665,282164.1333333331,282.16413333333315,769180.0733333324,769.1800733333324
B1,1,1000m,1Gi,100,60.0,62.35666666666666,62.36,3741.3333333333335,143268.82815380575,143.26882815380574,97033.5,97.0335,438557.28333333327,438.55728333333326,874912.7799999999,874.9127799999999
B1,1,1000m,1Gi,100,80.0,82.71,82.71,4962.666666666667,335857.73063207354,335.8577306320735,227006.5,227.0065,978852.6833333331,978.8526833333331,1339241.056666666,1339.241056666666
B1,1,1000m,1Gi,100,100.0,97.37333333333333,97.37,5842.333333333333,596833.1221519428,596.8331221519428,463644.3333333333,463.6443333333333,1476709.6666666663,1476.7096666666662,1847409.6000000006,1847.4096000000006
B1,1,1000m,1Gi,100,120.0,105.98,105.98,6359.0,4971628.548974483,4971.628548974483,4967493.0,4967.493,8277386.4833333315,8277.386483333332,8704723.676666666,8704.723676666667
B2,2,500m,500Mi,50,20.0,20.0,20.0,1200.0,12587.616944444444,12.587616944444443,7756.166666666667,7.756166666666667,19923.033333333315,19.923033333333315,135857.39666666655,135.85739666666655
B2,2,500m,500Mi,50,40.0,39.99,39.99,2399.3333333333335,15563.689458460756,15.563689458460756,7068.166666666667,7.068166666666667,51268.34999999846,51.26834999999846,209408.78999999864,209.40878999999865
B2,2,500m,500Mi,50,60.0,62.42333333333334,62.42,3745.3333333333335,45970.40804346906,45.970408043469064,10509.833333333334,10.509833333333335,183721.68333333323,183.72168333333323,424050.326666666,424.050326666666
B2,2,500m,500Mi,50,80.0,83.11999999999999,83.12,4987.333333333333,84347.84066385613,84.34784066385613,49638.166666666664,49.63816666666666,292273.64999999997,292.27365,591057.0399999991,591.0570399999991
B2,2,500m,500Mi,50,100.0,99.25666666666666,99.26,5955.333333333333,98690.37693279177,98.69037693279176,66163.5,66.1635,307921.44999999966,307.92144999999965,533127.9566666659,533.1279566666658
B2,2,500m,500Mi,50,120.0,123.84333333333332,123.84,7430.666666666667,143761.5582791244,143.76155827912442,96303.5,96.3035,409858.51666666643,409.85851666666645,812726.6966666648,812.7266966666648
B2,2,500m,500Mi,50,140.0,140.49666666666667,140.5,8431.0,171743.85084578046,171.74385084578046,125293.83333333333,125.29383333333332,508670.33333333296,508.67033333333296,829516.3399999967,829.5163399999967
B2,2,500m,500Mi,50,160.0,162.14333333333335,162.14,9728.666666666666,244470.1933357316,244.4701933357316,189295.0,189.295,651591.6999999998,651.5916999999998,918592.7866666672,918.5927866666672
B2,2,500m,500Mi,50,180.0,192.01333333333332,192.01,11521.333333333334,618932.7042251802,618.9327042251803,561076.1666666666,561.0761666666666,1255111.75,1255.11175,1487160.4266666668,1487.1604266666668
B2,2,500m,500Mi,50,200.0,191.29999999999998,191.3,11478.0,668399.6297091596,668.3996297091596,620473.8333333334,620.4738333333333,1438302.1500000001,1438.3021500000002,1736215.5633333342,1736.215563333334
B2,2,500m,500Mi,50,220.0,196.96,196.96,11817.666666666666,5134755.726585299,5134.755726585298,4814295.166666667,4814.295166666667,9790464.35,9790.46435,10242944.433333334,10242.944433333334
B2,2,500m,500Mi,50,240.0,194.45000000000002,194.45,11666.666666666666,5718441.058807753,5718.441058807753,5939424.5,5939.4245,10388883.333333334,10388.883333333333,10958950.776666665,10958.950776666665
B2,2,500m,500Mi,50,260.0,188.04,188.04,11944.666666666666,9833682.204140866,9833.682204140867,9017755.833333334,9017.755833333335,20443185.25,20443.18525,21319768.563333333,21319.76856333333
B2,2,500m,500Mi,50,280.0,191.68666666666664,191.69,12981.0,9009554.235105999,9009.554235106,9375615.833333334,9375.615833333333,16629985.15,16629.98515,17370046.406666666,17370.046406666665
B3,4,250m,250Mi,25,20.0,20.0,20.0,1200.0,12012.04361111111,12.01204361111111,7942.333333333333,7.942333333333333,18606.966666666656,18.606966666666658,122428.29666666647,122.42829666666647
B3,4,250m,250Mi,25,40.0,39.99333333333333,39.99,2399.6666666666665,10150.633324186003,10.150633324186003,7217.333333333333,7.217333333333333,15812.899999999981,15.812899999999981,80140.47666666645,80.14047666666644
B3,4,250m,250Mi,25,60.0,62.43333333333334,62.43,3746.0,13638.033176177363,13.638033176177363,6861.166666666667,6.861166666666667,28267.516666666637,28.267516666666637,169560.99333333256,169.56099333333256
B3,4,250m,250Mi,25,80.0,83.01666666666667,83.02,4981.0,16352.65460716823,16.35265460716823,6900.666666666667,6.900666666666667,58122.98333333285,58.12298333333285,215381.61000000095,215.38161000000093
B3,4,250m,250Mi,25,100.0,99.45333333333333,99.45,5967.333333333333,21041.202066443042,21.04120206644304,6963.666666666667,6.963666666666667,86033.79999999997,86.03379999999997,265813.0866666659,265.8130866666659
B3,4,250m,250Mi,25,120.0,123.46666666666665,123.47,7408.333333333333,49421.12535858091,49.42112535858091,18071.0,18.071,181195.46666666665,181.19546666666665,475747.75333333405,475.74775333333406
B3,4,250m,250Mi,25,140.0,139.95666666666668,139.96,8397.333333333334,62831.0092282405,62.831009228240504,34011.333333333336,34.01133333333333,209810.43333333315,209.81043333333315,480171.4499999986,480.17144999999863
B3,4,250m,250Mi,25,160.0,162.23,162.23,9734.0,78759.31431343243,78.75931431343244,48984.666666666664,48.98466666666666,264889.94999999995,264.88994999999994,535402.3233333331,535.4023233333331
B3,4,250m,250Mi,25,180.0,191.70000000000002,191.7,11502.0,85007.24139902479,85.00724139902479,60528.0,60.528,252740.74999999988,252.74074999999988,461850.1933333333,461.8501933333333
B3,4,250m,250Mi,25,200.0,192.38,192.38,11543.0,86560.66087577523,86.56066087577523,60952.833333333336,60.95283333333334,260148.90000000002,260.1489,501951.8666666669,501.9518666666669
B3,4,250m,250Mi,25,220.0,235.92666666666665,235.93,14155.666666666666,116197.589712994,116.197589712994,79750.33333333333,79.75033333333333,353096.1333333331,353.0961333333331,595930.6533333333,595.9306533333333
B3,4,250m,250Mi,25,240.0,233.38333333333333,233.38,14006.333333333334,117062.00860900017,117.06200860900017,82381.5,82.3815,335773.49999999994,335.77349999999996,561355.5800000009,561.3555800000009
