run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
B1,1,1000m,1Gi,100,19.98333333333333,19.98333333333333,19.98333333333333,1199.0,24105.091743119265,24.105091743119264,23502.0,23.502,38207.79999999999,38.20779999999999,50126.99999999999,50.126999999999995
B1,1,1000m,1Gi,100,20.0,20.0,20.0,1200.0,23597.220833333333,23.59722083333333,22913.25,22.91325,37457.825,37.457825,53752.43999999999,53.752439999999986
B1,1,1000m,1Gi,100,39.93333333333333,39.93333333333333,39.93333333333333,2396.0,26018.52754590985,26.018527545909848,24138.0,24.138,43815.5,43.8155,59785.8,59.7858
B1,1,1000m,1Gi,100,39.95,39.95,39.95,2397.0,24390.050062578222,24.390050062578222,23820.5,23.8205,42857.0,42.857,56213.33999999998,56.21333999999998
B1,1,1000m,1Gi,100,62.23333333333333,62.23333333333333,62.23333333333333,3734.0,22800.039367970006,22.800039367970008,22697.5,22.6975,46509.849999999984,46.509849999999986,63457.35000000001,63.45735000000001
B1,1,1000m,1Gi,100,62.31666666666667,62.31666666666667,62.31666666666667,3739.0,24817.803690826426,24.817803690826427,24499.0,24.499,47951.09999999999,47.95109999999999,66298.07999999997,66.29807999999997
B1,1,1000m,1Gi,100,62.48333333333333,62.48333333333333,62.48333333333333,3749.0,28355.793011469726,28.355793011469725,26732.0,26.732,52459.4,52.4594,75122.79999999999,75.12279999999998
B1,1,1000m,1Gi,100,82.51666666666667,82.51666666666667,82.51666666666667,4951.0,25548.769945465563,25.548769945465562,24115.0,24.115,54564.0,54.564,80678.5,80.6785
B1,1,1000m,1Gi,100,82.6,82.6,82.6,4956.0,28468.97195318805,28.468971953188053,24876.5,24.8765,54422.5,54.4225,101236.09999999996,101.23609999999996
B1,1,1000m,1Gi,100,82.76666666666667,82.76666666666667,82.76666666666667,4966.0,23883.65888038663,23.88365888038663,22588.0,22.588,51142.5,51.1425,67062.50000000001,67.06250000000001
B1,1,1000m,1Gi,100,98.45,98.45,98.45,5907.0,26284.324360927712,26.284324360927712,23601.0,23.601,58763.09999999998,58.76309999999998,88844.43999999997,88.84443999999998
B1,1,1000m,1Gi,100,98.88333333333334,98.88333333333334,98.88333333333334,5933.0,27760.08494859262,27.76008494859262,22402.0,22.402,57665.8,57.665800000000004,155171.88000000053,155.17188000000053
B1,1,1000m,1Gi,100,99.03333333333332,99.03333333333332,99.03333333333332,5942.0,21853.72467182767,21.85372467182767,17729.5,17.7295,51988.19999999997,51.98819999999997,73732.92000000006,73.73292000000005
B1,1,1000m,1Gi,100,121.56666666666666,121.56666666666666,121.56666666666666,7294.0,36151.61708253359,36.15161708253358,30440.5,30.4405,79280.44999999997,79.28044999999997,141119.54999999967,141.11954999999966
B1,1,1000m,1Gi,100,122.18333333333334,122.18333333333334,122.18333333333334,7331.0,29108.28986495703,29.10828986495703,24554.0,24.554,69300.5,69.3005,110166.0999999999,110.1660999999999
B1,1,1000m,1Gi,100,122.3,122.3,122.3,7338.0,33136.67729626601,33.13667729626601,28865.0,28.865,74481.45,74.48145,118892.03,118.89203
B1,1,1000m,1Gi,100,139.18333333333334,139.18333333333334,139.18333333333334,8351.0,33565.5337085379,33.5655337085379,29016.0,29.016,78254.5,78.2545,119190.5,119.1905
B1,1,1000m,1Gi,100,139.45,139.45,139.45,8367.0,34896.270108760604,34.8962701087606,27887.0,27.887,84067.4,84.06739999999999,181767.60000000012,181.76760000000013
B1,1,1000m,1Gi,100,139.58333333333334,139.58333333333334,139.58333333333334,8375.0,36376.719641791045,36.37671964179105,29132.0,29.132,89518.79999999987,89.51879999999987,191885.88000000015,191.88588000000016
