Config,Pods,CPU (m),Memory (MiB),Requests,Max RPS,CPU $,Memory $,Total $,$/M Req,$/RPS
Python C1,1,121.5,64.1,93075,108.5,$0.0031,$0.0002,$0.0033,$0.03,$0.0000
Python C2,2,199.8,121.2,313375,202.7,$0.0108,$0.0007,$0.0116,$0.04,$0.0001
Python C3,4,428.3,235.3,918112,394.9,$0.0334,$0.0020,$0.0354,$0.04,$0.0001
Python C4,7,618.7,377.7,1118303,430.1,$0.0527,$0.0034,$0.0561,$0.05,$0.0001
Python C5,8,664.2,417.5,1112558,425.2,$0.0567,$0.0038,$0.0605,$0.05,$0.0001
NodeJS C1,1,99.6,81.4,92800,108.2,$0.0025,$0.0002,$0.0027,$0.03,$0.0000
NodeJS C2,2,190.9,147.0,272688,210.6,$0.0086,$0.0007,$0.0093,$0.03,$0.0000
NodeJS C3,4,372.0,289.1,1095412,417.0,$0.0319,$0.0027,$0.0346,$0.03,$0.0001
NodeJS C4,7,628.5,481.7,2454380,639.4,$0.0805,$0.0066,$0.0871,$0.04,$0.0001
NodeJS C5,8,606.9,505.9,1117283,428.6,$0.0517,$0.0046,$0.0564,$0.05,$0.0001
Go C1,1,79.6,36.0,93612,110.0,$0.0020,$0.0001,$0.0021,$0.02,$0.0000
Go C2,2,154.2,64.9,269456,198.2,$0.0069,$0.0003,$0.0072,$0.03,$0.0000
Go C3,4,306.4,120.0,1166902,422.4,$0.0270,$0.0011,$0.0281,$0.02,$0.0001
Go C4,7,526.9,196.9,2605034,650.5,$0.0699,$0.0028,$0.0727,$0.03,$0.0001
Go C5,8,611.7,227.2,3457711,747.1,$0.0916,$0.0036,$0.0952,$0.03,$0.0001
