# Go-Series Aggregated Performance Data
# ===============================================
# 
# This file contains aggregated performance metrics averaged across iterations
# for each configuration (C1-C5) and target RPS level.
# 
# Columns Description:
# - run: Configuration (C1, C2, C3, C4, C5)
# - pods: Number of pods (1 to 10)
# - container_cpu: CPU allocation per pod
# - container_mem: Memory allocation per pod
# - target_conc: Container concurrency per pod
# - target_rps: Requested RPS for the test
# - throughput_rps: Actual throughput achieved (average across iterations)
# - actual_rps: Same as throughput_rps (for compatibility)
# - total_requests: Total requests processed (average across iterations)
# - average/median/p95/p99: Latency percentiles in microseconds
# - *_ms: Same latency metrics converted to milliseconds
# 
# C-Series Configuration (Constant Total Resources):
# - C1: 1 pod, 2000m CPU, 2Gi memory, concurrency=2000
# - C2: 2 pods, 1000m CPU each, 1Gi memory each, concurrency=1000
# - C3: 4 pods, 500m CPU each, 500Mi memory each, concurrency=500
# - C4: 7 pods, 250m CPU each, 250Mi memory each, concurrency=250
# - C5: 8 pods, 200m CPU each, 200Mi memory each, concurrency=200
# 
# Total resources: C1-C3 maintain 2000m CPU, 2Gi memory; C4-C5 use fewer total resources
# Tests horizontal scaling efficiency with higher resource allocation.
# 
run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
C1,1,2000m,2Gi,200,20.0,19.993333333333336,19.99,1199.6666666666667,10950.769404596424,10.950769404596423,6014.666666666667,6.014666666666667,18246.416666666653,18.246416666666654,167652.68666666668,167.65268666666668
C1,1,2000m,2Gi,200,40.0,39.983333333333334,39.98,2399.0,66378.4294533097,66.37842945330969,39954.5,39.9545,236745.48333333308,236.74548333333308,475257.3466666659,475.2573466666659
C1,1,2000m,2Gi,200,60.0,62.29333333333333,62.29,3737.6666666666665,146210.1194336037,146.2101194336037,112112.0,112.112,401252.63333333324,401.2526333333332,682596.5199999987,682.5965199999987
C1,1,2000m,2Gi,200,80.0,83.06,83.06,4983.666666666667,310213.9970034299,310.21399700342994,240636.0,240.636,808488.9666666667,808.4889666666667,1243039.606666668,1243.039606666668
C1,1,2000m,2Gi,200,100.0,98.84333333333332,98.84,5930.666666666667,834783.794616345,834.783794616345,694845.8333333334,694.8458333333334,1924761.849999999,1924.761849999999,2580431.513333333,2580.431513333333
C1,1,2000m,2Gi,200,120.0,109.42,109.42,6565.333333333333,4078369.9980118982,4078.369998011898,3940793.0,3940.793,7006506.55,7006.50655,7537359.276666667,7537.359276666667
C1,1,2000m,2Gi,200,140.0,106.46999999999998,106.47,6388.0,7521260.661923413,7521.260661923413,8092186.0,8092.186,13684372.783333333,13684.372783333332,14500788.15,14500.78815
C2,2,1000m,1Gi,100,20.0,20.0,20.0,1200.0,10740.471111111112,10.740471111111113,6349.166666666667,6.349166666666667,14857.199999999992,14.857199999999992,135228.63999999987,135.22863999999987
C2,2,1000m,1Gi,100,40.0,39.99333333333333,39.99,2399.6666666666665,13657.884440333934,13.657884440333934,6197.5,6.1975,46000.06666666653,46.00006666666653,187692.12999999974,187.69212999999974
C2,2,1000m,1Gi,100,60.0,62.32,62.32,3739.3333333333335,54741.78230118155,54.74178230118155,18212.0,18.212,228463.31666666665,228.46331666666666,395118.38666666625,395.11838666666625
C2,2,1000m,1Gi,100,80.0,82.96333333333332,82.96,4977.666666666667,82042.70610011823,82.04270610011822,50078.666666666664,50.07866666666666,271124.0166666666,271.1240166666666,498724.1033333312,498.7241033333312
C2,2,1000m,1Gi,100,100.0,99.57000000000001,99.57,5974.0,119660.8618819026,119.6608618819026,75536.5,75.5365,375835.7833333334,375.8357833333334,830466.5199999985,830.4665199999985
C2,2,1000m,1Gi,100,120.0,123.48333333333333,123.48,7409.0,153127.30495244497,153.12730495244497,101979.0,101.979,468159.73333333276,468.1597333333328,973084.1933333337,973.0841933333337
C2,2,1000m,1Gi,100,140.0,140.78666666666666,140.79,8447.333333333334,184715.10883134816,184.71510883134815,139564.5,139.5645,526652.2999999997,526.6522999999997,844531.8600000003,844.5318600000003
C2,2,1000m,1Gi,100,160.0,163.18666666666667,163.19,9791.333333333334,327918.96838767163,327.9189683876716,235239.5,235.2395,934647.2666666663,934.6472666666663,1383557.2299999988,1383.5572299999988
C2,2,1000m,1Gi,100,180.0,190.72666666666666,190.73,11443.666666666666,610708.7491448723,610.7087491448723,520700.6666666667,520.7006666666667,1439135.5,1439.1355,1822277.1066666674,1822.2771066666674
C2,2,1000m,1Gi,100,200.0,191.16666666666666,191.17,11470.0,742771.2654544022,742.7712654544022,678021.0,678.021,1602949.883333333,1602.949883333333,2012660.3300000012,2012.6603300000013
C2,2,1000m,1Gi,100,220.0,193.6833333333333,193.68,11621.0,5380987.257389792,5380.987257389792,5233973.666666667,5233.973666666667,9409573.200000001,9409.5732,9973382.333333334,9973.382333333335
C2,2,1000m,1Gi,100,240.0,189.09333333333333,189.09,11345.666666666666,5590679.5796828205,5590.67957968282,5733722.166666667,5733.722166666667,10107739.65,10107.73965,10875410.196666667,10875.410196666668
C3,4,500m,500Mi,50,20.0,20.0,20.0,1200.0,9920.893055555554,9.920893055555554,6615.666666666667,6.615666666666667,13307.416666666655,13.307416666666656,107767.58666666666,107.76758666666666
C3,4,500m,500Mi,50,40.0,39.986666666666665,39.99,2399.3333333333335,8895.72961123848,8.89572961123848,6097.333333333333,6.097333333333333,12950.049999999983,12.950049999999983,78477.52666666666,78.47752666666666
C3,4,500m,500Mi,50,60.0,62.473333333333336,62.47,3748.3333333333335,11330.428964970795,11.330428964970796,6025.0,6.025,18957.816666666622,18.957816666666623,151938.75666666622,151.93875666666622
C3,4,500m,500Mi,50,80.0,83.06333333333333,83.06,4983.666666666667,14598.4944492749,14.5984944492749,6056.0,6.056,44411.14999999991,44.41114999999991,189320.61999999965,189.32061999999965
C3,4,500m,500Mi,50,100.0,99.73666666666668,99.74,5984.333333333333,20180.714503618015,20.180714503618017,6065.666666666667,6.065666666666667,94028.76666666666,94.02876666666667,266544.85333333304,266.54485333333304
C3,4,500m,500Mi,50,120.0,123.95333333333333,123.95,7437.333333333333,42822.25457322847,42.82225457322847,10876.666666666666,10.876666666666667,164883.76666666655,164.88376666666656,382540.58666666667,382.5405866666667
C3,4,500m,500Mi,50,140.0,141.13666666666668,141.14,8468.333333333334,56612.187387409234,56.612187387409236,26243.666666666668,26.24366666666667,199597.73333333308,199.59773333333308,448349.3266666681,448.3493266666681
C3,4,500m,500Mi,50,160.0,163.60666666666665,163.61,9816.666666666666,67838.90000981501,67.83890000981502,43651.333333333336,43.65133333333333,207987.83333333337,207.98783333333338,432586.2599999995,432.58625999999947
C3,4,500m,500Mi,50,180.0,193.92666666666665,193.93,11640.0,89497.10915945152,89.49710915945151,59305.0,59.305,271365.28333333327,271.36528333333325,540442.8233333336,540.4428233333336
C3,4,500m,500Mi,50,200.0,194.86333333333334,194.86,11691.666666666666,87729.30700930922,87.72930700930922,60128.5,60.1285,265966.03333333303,265.96603333333303,496514.74666666676,496.5147466666668
C3,4,500m,500Mi,50,220.0,238.14333333333335,238.14,14288.666666666666,136516.614727161,136.516614727161,90361.5,90.3615,418993.633333333,418.99363333333304,768091.7333333333,768.0917333333333
C3,4,500m,500Mi,50,240.0,240.04666666666665,240.05,14403.0,137196.32932044772,137.19632932044772,94402.83333333333,94.40283333333333,407290.46666666656,407.29046666666653,729040.5066666655,729.0405066666656
C3,4,500m,500Mi,50,260.0,308.05,308.05,18483.333333333332,209366.8409765289,209.36684097652892,158339.5,158.3395,586340.6666666666,586.3406666666666,919847.3999999994,919.8473999999994
C3,4,500m,500Mi,50,280.0,310.25,310.25,18615.333333333332,207535.75566446743,207.53575566446744,158149.83333333334,158.14983333333333,580114.5833333334,580.1145833333334,871334.2266666647,871.3342266666647
C3,4,500m,500Mi,50,300.0,311.2966666666667,311.3,18678.333333333332,219397.20624620843,219.39720624620844,164520.66666666666,164.52066666666667,615393.2999999999,615.3933,920974.7399999994,920.9747399999994
C3,4,500m,500Mi,50,320.0,310.96,310.96,18667.666666666668,212270.95245166853,212.27095245166853,161896.83333333334,161.89683333333335,583871.6,583.8716,906321.286666667,906.321286666667
C3,4,500m,500Mi,50,340.0,413.2633333333333,413.26,24796.0,1913529.9189968046,1913.5299189968046,1890207.3333333333,1890.2073333333333,3510189.0833333335,3510.1890833333337,4120276.7900000005,4120.276790000001
C3,4,500m,500Mi,50,360.0,404.22333333333336,404.22,24253.333333333332,2831326.583353127,2831.326583353127,2958741.0,2958.741,5035229.416666667,5035.229416666667,6082975.21,6082.97521
C3,4,500m,500Mi,50,380.0,394.66333333333336,394.66,23680.0,3216856.556905665,3216.856556905665,3155375.3333333335,3155.3753333333334,5958881.55,5958.88155,7539452.02666667,7539.4520266666705
C3,4,500m,500Mi,50,400.0,404.40333333333336,404.4,24264.0,2463931.8145460393,2463.9318145460393,2425036.5,2425.0365,4343345.216666666,4343.345216666666,5046906.840000008,5046.906840000008
C3,4,500m,500Mi,50,420.0,398.1566666666667,398.16,23889.666666666668,2941094.8270357028,2941.0948270357026,2934501.0,2934.501,5529921.066666667,5529.921066666668,6657201.546666667,6657.201546666667
C3,4,500m,500Mi,50,440.0,402.0933333333333,402.09,24128.333333333332,3029335.9000436217,3029.3359000436217,3173629.1666666665,3173.6291666666666,5335325.366666666,5335.325366666666,6543356.043333315,6543.356043333315
C3,4,500m,500Mi,50,460.0,400.1766666666667,400.18,24011.333333333332,2879115.0157731418,2879.1150157731417,2957036.3333333335,2957.0363333333335,5338248.05,5338.24805,6247520.583333328,6247.520583333328
