# Nodejs-Series Aggregated Performance Data
# ===============================================
# 
# This file contains aggregated performance metrics averaged across iterations
# for each configuration (C1-C5) and target RPS level.
# 
# Columns Description:
# - run: Configuration (C1, C2, C3, C4, C5)
# - pods: Number of pods (1 to 10)
# - container_cpu: CPU allocation per pod
# - container_mem: Memory allocation per pod
# - target_conc: Container concurrency per pod
# - target_rps: Requested RPS for the test
# - throughput_rps: Actual throughput achieved (average across iterations)
# - actual_rps: Same as throughput_rps (for compatibility)
# - total_requests: Total requests processed (average across iterations)
# - average/median/p95/p99: Latency percentiles in microseconds
# - *_ms: Same latency metrics converted to milliseconds
# 
# C-Series Configuration (Constant Total Resources):
# - C1: 1 pod, 2000m CPU, 2Gi memory, concurrency=2000
# - C2: 2 pods, 1000m CPU each, 1Gi memory each, concurrency=1000
# - C3: 4 pods, 500m CPU each, 500Mi memory each, concurrency=500
# - C4: 7 pods, 250m CPU each, 250Mi memory each, concurrency=250
# - C5: 8 pods, 200m CPU each, 200Mi memory each, concurrency=200
# 
# Total resources: C1-C3 maintain 2000m CPU, 2Gi memory; C4-C5 use fewer total resources
# Tests horizontal scaling efficiency with higher resource allocation.
# 
run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
C1,1,2000m,2Gi,200,20.0,20.0,20.0,1200.0,13968.683055555555,13.968683055555555,6982.0,6.982,32816.916666666635,32.816916666666636,178077.6366666666,178.0776366666666
C1,1,2000m,2Gi,200,40.0,39.973333333333336,39.97,2398.3333333333335,62382.03486781155,62.38203486781155,28101.333333333332,28.101333333333333,210823.29999999993,210.82329999999993,443798.4233333334,443.7984233333334
C1,1,2000m,2Gi,200,60.0,62.419999999999995,62.42,3746.6666666666665,178631.31841236175,178.63131841236176,118947.16666666667,118.94716666666667,575382.1499999997,575.3821499999997,1014899.4366666665,1014.8994366666665
C1,1,2000m,2Gi,200,80.0,82.91666666666667,82.92,4975.0,221864.28621295348,221.8642862129535,173956.0,173.956,592394.0333333329,592.3940333333329,872314.1566666662,872.3141566666661
C1,1,2000m,2Gi,200,100.0,98.62333333333333,98.62,5917.333333333333,692872.9340779749,692.8729340779748,540317.3333333334,540.3173333333334,1814873.4833333332,1814.873483333333,2439540.6066666627,2439.540606666663
C1,1,2000m,2Gi,200,120.0,107.78666666666668,107.79,6467.333333333333,3748981.8357491107,3748.981835749111,3496687.6666666665,3496.6876666666667,6566730.083333331,6566.730083333331,7304403.766666667,7304.403766666666
C1,1,2000m,2Gi,200,140.0,103.81,103.81,6228.666666666667,7506631.842896444,7506.631842896444,7246893.166666667,7246.893166666667,14363550.799999999,14363.550799999999,15011942.133333333,15011.942133333332
C2,2,1000m,1Gi,100,20.0,20.0,20.0,1200.0,13708.14,13.70814,8641.333333333334,8.641333333333334,20549.383333333324,20.549383333333324,144911.64666666667,144.91164666666666
C2,2,1000m,1Gi,100,40.0,40.0,40.0,2400.0,15288.752499999997,15.288752499999998,7624.666666666667,7.624666666666667,38293.69999999991,38.29369999999991,196069.1033333325,196.0691033333325
C2,2,1000m,1Gi,100,60.0,62.47666666666667,62.48,3748.6666666666665,46519.465929346836,46.519465929346836,13023.5,13.0235,183946.84999999983,183.94684999999984,393430.9499999986,393.43094999999863
C2,2,1000m,1Gi,100,80.0,83.03,83.03,4982.0,75631.27277956194,75.63127277956194,48790.0,48.79,243570.3833333334,243.57038333333338,432838.2800000005,432.8382800000005
C2,2,1000m,1Gi,100,100.0,99.44,99.44,5966.333333333333,99716.0380234208,99.7160380234208,69055.33333333333,69.05533333333332,296393.7666666666,296.3937666666666,530597.7999999999,530.5977999999999
C2,2,1000m,1Gi,100,120.0,123.14666666666666,123.15,7388.666666666667,162868.47313358143,162.86847313358143,108464.5,108.4645,504476.88333333324,504.47688333333326,981473.1366666667,981.4731366666667
C2,2,1000m,1Gi,100,140.0,139.15,139.15,8349.0,223071.06855168333,223.07106855168334,161222.5,161.2225,662413.2833333327,662.4132833333327,1051662.85,1051.6628500000002
C2,2,1000m,1Gi,100,160.0,160.86333333333334,160.86,9652.0,334826.7735691346,334.8267735691346,242257.16666666666,242.25716666666665,930693.5999999996,930.6935999999996,1623883.60666667,1623.88360666667
C2,2,1000m,1Gi,100,180.0,186.14666666666668,186.15,11169.0,1377331.8593223777,1377.3318593223778,1358278.3333333333,1358.2783333333332,2872788.849999998,2872.788849999998,4001247.313333333,4001.247313333333
