runtime,run,pods,cpu,max_throughput,max_throughput_target,p95_at_320rps,median_at_320rps
Python,B1,1,1000m,334.51666666666665,334.51666666666665,1469794.5999999994,783408.0
Python,B2,2,500m,344.9,344.9,1911273.5,1408451.0
Python,B3,4,250m,324.31666666666666,324.31666666666666,268130.65,25906.5
Python,B4,8,125m,318.9833333333333,318.9833333333333,309502.2999999998,38641.0
Python,B5,10,100m,320.2333333333333,320.2333333333333,335761.6,41468.5
Node.js,B1,1,1000m,335.2333333333333,335.2333333333333,1508258.5,588287.5
Node.js,B2,2,500m,335.8,335.8,281110.99999999953,43733.0
Node.js,B3,4,250m,345.3,345.3,258651.0,47029.0
Node.js,B4,8,125m,341.71666666666664,341.71666666666664,369623.0,45286.0
Node.js,B5,10,100m,347.06666666666666,347.06666666666666,483294.7,44895.0
Go,B1,1,1000m,325.5833333333333,325.5833333333333,256440.45,30773.5
Go,B2,2,500m,325.7333333333333,325.7333333333333,294354.0,32878.0
Go,B3,4,250m,317.3833333333333,317.3833333333333,292967.8,36114.0
Go,B4,8,125m,319.95,319.95,328588.4,35146.0
Go,B5,10,100m,317.06666666666666,317.06666666666666,223820.35,32392.5
