run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,19.95,4711.0,,4711,4711,98094.0,,98094,98094,22391.02172096909,,22391.02172096909,22391.02172096909,21895.0,,21895.0,21895.0,36270.6,,36270.6,36270.6,49722.43999999999,,49722.43999999999,49722.43999999999,8801.19658604603,,8801.19658604603,8801.19658604603,19.95,,19.95,19.95,1197.0,,1197,1197
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,20.0,5643.0,24.041630560342615,5626,5660,88429.5,10108.091437061697,81282,95577,24282.371666666666,650.8281524719114,23822.166666666668,24742.576666666668,23270.0,370.5239533417509,23008.0,23532.0,37077.149999999994,13.505739520659455,37067.6,37086.7,45947.770000000004,358.8142650453008,45694.05,46201.49,7261.628600517963,756.8777494572826,6726.435211347505,7796.821989688419,20.0,0.0,20.0,20.0,1200.0,0.0,1200,1200
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,39.88333333333333,4399.0,,4399,4399,110160.0,,110160,110160,23196.402423735897,,23196.402423735897,23196.402423735897,22731.0,,22731.0,22731.0,41048.20000000001,,41048.20000000001,41048.20000000001,53366.43999999995,,53366.43999999995,53366.43999999995,10467.09055149676,,10467.09055149676,10467.09055149676,39.88333333333333,,39.88333333333333,39.88333333333333,2393.0,,2393,2393
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,39.95,4228.0,,4228,4228,161583.0,,161583,161583,24573.727158948685,,24573.727158948685,24573.727158948685,23867.0,,23867.0,23867.0,43438.799999999945,,43438.799999999945,43438.799999999945,58607.67999999996,,58607.67999999996,58607.67999999996,12127.579192051278,,12127.579192051278,12127.579192051278,39.95,,39.95,39.95,2397.0,,2397,2397
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,39.96666666666667,3809.0,,3809,3809,94526.0,,94526,94526,21824.864470391996,,21824.864470391996,21824.864470391996,22752.0,,22752.0,22752.0,40664.30000000001,,40664.30000000001,40664.30000000001,51997.12000000004,,51997.12000000004,51997.12000000004,11688.119621962784,,11688.119621962784,11688.119621962784,39.96666666666667,,39.96666666666667,39.96666666666667,2398.0,,2398,2398
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.266666666666666,4096.0,,4096,4096,167414.0,,167414,167414,24325.9397751606,,24325.9397751606,24325.9397751606,24350.0,,24350.0,24350.0,45369.0,,45369.0,45369.0,67403.40000000002,,67403.40000000002,67403.40000000002,14115.135742351657,,14115.135742351657,14115.135742351657,62.266666666666666,,62.266666666666666,62.266666666666666,3736.0,,3736,3736
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.333333333333336,4156.0,,4156,4156,156040.0,,156040,156040,23164.052673796792,,23164.052673796792,23164.052673796792,23344.5,,23344.5,23344.5,45112.6,,45112.6,45112.6,62087.26000000006,,62087.26000000006,62087.26000000006,13239.006292566111,,13239.006292566111,13239.006292566111,62.333333333333336,,62.333333333333336,62.333333333333336,3740.0,,3740,3740
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.35,3500.0,,3500,3500,99658.0,,99658,99658,21320.296444800857,,21320.296444800857,21320.296444800857,22376.0,,22376.0,22376.0,42254.0,,42254.0,42254.0,54852.59999999998,,54852.59999999998,54852.59999999998,12391.74439951167,,12391.74439951167,12391.74439951167,62.35,,62.35,62.35,3741.0,,3741,3741
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.36666666666666,3906.0,,3906,3906,134561.0,,134561,134561,22241.45224605423,,22241.45224605423,22241.45224605423,20737.5,,20737.5,20737.5,48145.34999999998,,48145.34999999998,48145.34999999998,71000.43000000001,,71000.43000000001,71000.43000000001,14639.692544424255,,14639.692544424255,14639.692544424255,82.36666666666666,,82.36666666666666,82.36666666666666,4942.0,,4942,4942
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.48333333333333,3643.0,151.32085117392117,3536,3750,328881.0,136652.62810498744,232253,425509,25129.467165083857,1309.8212265115026,24203.28369367549,26055.65063649222,22777.0,270.1147904132612,22586.0,22968.0,53187.499999999956,6191.285554713131,48809.59999999999,57565.39999999993,95018.95999999913,35246.33147793856,70096.0399999999,119941.87999999836,21375.679388587247,7861.590387669914,15816.695514554873,26934.663262619622,82.48333333333333,0.0,82.48333333333333,82.48333333333333,4949.0,0.0,4949,4949
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,98.31666666666666,3378.0,,3378,3378,264636.0,,264636,264636,22603.00627224953,,22603.00627224953,22603.00627224953,20057.0,,20057.0,20057.0,50311.49999999998,,50311.49999999998,50311.49999999998,74228.8999999999,,74228.8999999999,74228.8999999999,17644.69050449122,,17644.69050449122,17644.69050449122,98.31666666666666,,98.31666666666666,98.31666666666666,5899.0,,5899,5899
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,98.66666666666669,3207.0,,3207,3207,156608.0,,156608,156608,23784.31908783784,,23784.31908783784,23784.31908783784,22297.0,,22297.0,22297.0,52436.9,,52436.9,52436.9,75064.75000000007,,75064.75000000007,75064.75000000007,16032.913682022248,,16032.913682022248,16032.913682022248,98.66666666666669,,98.66666666666669,98.66666666666669,5920.0,,5920,5920
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,99.01666666666668,3759.0,,3759,3759,251625.0,,251625,251625,22722.54839252651,,22722.54839252651,22722.54839252651,21390.0,,21390.0,21390.0,49543.0,,49543.0,49543.0,72398.8000000001,,72398.8000000001,72398.8000000001,16258.120988839775,,16258.120988839775,16258.120988839775,99.01666666666668,,99.01666666666668,99.01666666666668,5941.0,,5941,5941
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,122.31666666666666,3592.0,,3592,3592,213164.0,,213164,213164,24492.819048916743,,24492.819048916743,24492.819048916743,21476.0,,21476.0,21476.0,55761.1,,55761.1,55761.1,90311.59999999998,,90311.59999999998,90311.59999999998,18648.78910178246,,18648.78910178246,18648.78910178246,122.31666666666666,,122.31666666666666,122.31666666666666,7339.0,,7339,7339
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,123.06666666666666,3453.0,,3453,3453,411274.0,,411274,411274,26833.0346695558,,26833.0346695558,26833.0346695558,21951.0,,21951.0,21951.0,61817.65,,61817.65,61817.65,116344.79000000004,,116344.79000000004,116344.79000000004,28861.012259526145,,28861.012259526145,28861.012259526145,123.06666666666666,,123.06666666666666,123.06666666666666,7384.0,,7384,7384
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,123.41666666666669,3454.0,,3454,3454,200732.0,,200732,200732,23644.795813639437,,23644.795813639437,23644.795813639437,20818.0,,20818.0,20818.0,55193.399999999936,,55193.399999999936,55193.399999999936,85364.12000000001,,85364.12000000001,85364.12000000001,17745.632964755594,,17745.632964755594,17745.632964755594,123.41666666666669,,123.41666666666669,123.41666666666669,7405.0,,7405,7405
