run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,20.0,4951.666666666667,138.05916606054558,4807,5082,174512.33333333334,77851.9655007716,85576,230324,9693.095833333333,727.0547172128986,8858.455,10188.771666666667,7842.666666666667,417.92234127087926,7396.5,8225.0,19082.899999999983,2638.2170859313305,16116.249999999984,21165.749999999985,36600.06666666666,4304.475925467973,34037.7,41569.64,8611.962115296661,2847.474013524096,5500.301134450882,11087.728860525522,20.0,0.0,20.0,20.0,1200.0,0.0,1200,1200
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,39.96666666666667,3553.0,,3553,3553,123030.0,,123030,123030,8194.929107589658,,8194.929107589658,8194.929107589658,6669.0,,6669.0,6669.0,17569.400000000012,,17569.400000000012,17569.400000000012,29998.70000000014,,29998.70000000014,29998.70000000014,5915.400738599793,,5915.400738599793,5915.400738599793,39.96666666666667,,39.96666666666667,39.96666666666667,2398.0,,2398,2398
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,40.0,3998.0,132.93607486307093,3904,4092,165563.0,103479.42057240174,92392,238734,8881.889791666665,326.5522235258377,8650.9825,9112.797083333331,7115.25,3.8890872965260113,7112.5,7118.0,17460.149999999987,256.25549750199684,17278.94999999999,17641.34999999998,34355.31499999996,3515.5864236355196,31869.41999999992,36841.20999999999,8376.25734844146,4048.0426020027808,5513.858974033257,11238.655722849662,40.0,0.0,40.0,40.0,2400.0,0.0,2400,2400
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.4,2980.0,,2980,2980,184895.0,,184895,184895,9076.5734508547,,9076.5734508547,9076.5734508547,6747.5,,6747.5,6747.5,21150.999999999996,,21150.999999999996,21150.999999999996,47577.30000000002,,47577.30000000002,47577.30000000002,9458.91700006134,,9458.91700006134,9458.91700006134,62.4,,62.4,62.4,3744.0,,3744,3744
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.41666666666666,3334.0,,3334,3334,145932.0,,145932,145932,8649.808811748999,,8649.808811748999,8649.808811748999,6498.0,,6498.0,6498.0,19236.799999999952,,19236.799999999952,19236.799999999952,47359.2,,47359.2,47359.2,8503.074995678837,,8503.074995678837,8503.074995678837,62.41666666666666,,62.41666666666666,62.41666666666666,3745.0,,3745,3745
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.45,3454.0,,3454,3454,192145.0,,192145,192145,8097.450760608487,,8097.450760608487,8097.450760608487,6400.0,,6400.0,6400.0,17560.299999999992,,17560.299999999992,17560.299999999992,30689.85999999999,,30689.85999999999,30689.85999999999,6898.070364189554,,6898.070364189554,6898.070364189554,62.45,,62.45,62.45,3747.0,,3747,3747
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.93333333333334,3460.0,,3460,3460,103758.0,,103758,103758,9003.298834405145,,9003.298834405145,9003.298834405145,6637.5,,6637.5,6637.5,22262.5,,22262.5,22262.5,43727.75,,43727.75,43727.75,7738.379217466054,,7738.379217466054,7738.379217466054,82.93333333333334,,82.93333333333334,82.93333333333334,4976.0,,4976,4976
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.96666666666667,3324.0,,3324,3324,145625.0,,145625,145625,8318.150261149056,,8318.150261149056,8318.150261149056,6095.5,,6095.5,6095.5,20071.44999999997,,20071.44999999997,20071.44999999997,44513.26999999989,,44513.26999999989,44513.26999999989,8009.337143561228,,8009.337143561228,8009.337143561228,82.96666666666667,,82.96666666666667,82.96666666666667,4978.0,,4978,4978
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,83.0,3035.0,,3035,3035,182481.0,,182481,182481,9449.53232931727,,9449.53232931727,9449.53232931727,6410.0,,6410.0,6410.0,23923.650000000005,,23923.650000000005,23923.650000000005,59872.50000000003,,59872.50000000003,59872.50000000003,11408.456586422906,,11408.456586422906,11408.456586422906,83.0,,83.0,83.0,4980.0,,4980,4980
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,98.71666666666668,3343.0,,3343,3343,269440.0,,269440,269440,10890.284653047442,,10890.284653047442,10890.284653047442,6814.0,,6814.0,6814.0,28009.199999999964,,28009.199999999964,28009.199999999964,71890.07999999984,,71890.07999999984,71890.07999999984,16251.434161189314,,16251.434161189314,16251.434161189314,98.71666666666668,,98.71666666666668,98.71666666666668,5923.0,,5923,5923
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,98.98333333333332,3149.0,,3149,3149,258223.0,,258223,258223,10295.067856541506,,10295.067856541506,10295.067856541506,6677.0,,6677.0,6677.0,28106.4,,28106.4,28106.4,62041.01999999999,,62041.01999999999,62041.01999999999,12776.52146670995,,12776.52146670995,12776.52146670995,98.98333333333332,,98.98333333333332,98.98333333333332,5939.0,,5939,5939
