run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,19.98333333333333,5483.0,,5483,5483,107447.0,,107447,107447,24105.091743119265,,24105.091743119265,24105.091743119265,23502.0,,23502.0,23502.0,38207.79999999999,,38207.79999999999,38207.79999999999,50126.99999999999,,50126.99999999999,50126.99999999999,8468.148763917063,,8468.148763917063,8468.148763917063,19.98333333333333,,19.98333333333333,19.98333333333333,1199.0,,1199,1199
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,20.0,5258.5,337.28993462598316,5020,5497,130297.5,42753.797310882226,100066,160529,23597.220833333333,1816.745882676558,22312.5875,24881.854166666668,22913.25,2009.2439187415748,21492.5,24334.0,37457.825,727.789654536254,36943.2,37972.45,53752.43999999999,4966.265482714328,50240.76,57264.119999999966,9976.044310250489,1982.292752533642,8574.351662637004,11377.736957863974,20.0,0.0,20.0,20.0,1200.0,0.0,1200,1200
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,39.93333333333333,4354.0,,4354,4354,407822.0,,407822,407822,26018.52754590985,,26018.52754590985,26018.52754590985,24138.0,,24138.0,24138.0,43815.5,,43815.5,43815.5,59785.8,,59785.8,59785.8,19999.69578538648,,19999.69578538648,19999.69578538648,39.93333333333333,,39.93333333333333,39.93333333333333,2396.0,,2396,2396
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,39.95,4655.5,573.46359954229,4250,5061,121008.0,6239.510237190096,116596,125420,24390.050062578222,595.308980629986,23969.10304547351,24810.997079682937,23820.5,193.04015126392747,23684.0,23957.0,42857.0,371.93816690412143,42594.0,43119.99999999999,56213.33999999998,1557.1905535290439,55112.23999999996,57314.44,11496.674190012625,44.30749713681718,11465.34405832978,11528.004321695473,39.95,0.0,39.95,39.95,2397.0,0.0,2397,2397
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.23333333333333,4329.0,,4329,4329,138107.0,,138107,138107,22800.039367970006,,22800.039367970006,22800.039367970006,22697.5,,22697.5,22697.5,46509.849999999984,,46509.849999999984,46509.849999999984,63457.35000000001,,63457.35000000001,63457.35000000001,13771.25276711965,,13771.25276711965,13771.25276711965,62.23333333333333,,62.23333333333333,62.23333333333333,3734.0,,3734,3734
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.31666666666667,4527.0,,4527,4527,187331.0,,187331,187331,24817.803690826426,,24817.803690826426,24817.803690826426,24499.0,,24499.0,24499.0,47951.09999999999,,47951.09999999999,47951.09999999999,66298.07999999997,,66298.07999999997,66298.07999999997,14773.000833392123,,14773.000833392123,14773.000833392123,62.31666666666667,,62.31666666666667,62.31666666666667,3739.0,,3739,3739
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,62.48333333333333,4517.0,,4517,4517,242893.0,,242893,242893,28355.793011469726,,28355.793011469726,28355.793011469726,26732.0,,26732.0,26732.0,52459.4,,52459.4,52459.4,75122.79999999999,,75122.79999999999,75122.79999999999,16389.6347709016,,16389.6347709016,16389.6347709016,62.48333333333333,,62.48333333333333,62.48333333333333,3749.0,,3749,3749
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.51666666666667,3345.0,,3345,3345,280024.0,,280024,280024,25548.769945465563,,25548.769945465563,25548.769945465563,24115.0,,24115.0,24115.0,54564.0,,54564.0,54564.0,80678.5,,80678.5,80678.5,17535.902835747824,,17535.902835747824,17535.902835747824,82.51666666666667,,82.51666666666667,82.51666666666667,4951.0,,4951,4951
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.6,4033.0,,4033,4033,630784.0,,630784,630784,28468.97195318805,,28468.97195318805,28468.97195318805,24876.5,,24876.5,24876.5,54422.5,,54422.5,54422.5,101236.09999999996,,101236.09999999996,101236.09999999996,36968.989420144986,,36968.989420144986,36968.989420144986,82.6,,82.6,82.6,4956.0,,4956,4956
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,82.76666666666667,4205.0,,4205,4205,103972.0,,103972,103972,23883.65888038663,,23883.65888038663,23883.65888038663,22588.0,,22588.0,22588.0,51142.5,,51142.5,51142.5,67062.50000000001,,67062.50000000001,67062.50000000001,14810.765108158124,,14810.765108158124,14810.765108158124,82.76666666666667,,82.76666666666667,82.76666666666667,4966.0,,4966,4966
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,98.45,3848.0,,3848,3848,276251.0,,276251,276251,26284.324360927712,,26284.324360927712,26284.324360927712,23601.0,,23601.0,23601.0,58763.09999999998,,58763.09999999998,58763.09999999998,88844.43999999997,,88844.43999999997,88844.43999999997,19570.307938618276,,19570.307938618276,19570.307938618276,98.45,,98.45,98.45,5907.0,,5907,5907
