rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_go_a3,3,1200.0,0.0,1200,1200,4673.333333333333,583.4949299979678,4064,5227,77442.66666666667,9877.352749260976,70108,88674,22081.066666666666,1061.105474945364,20949.225833333334,23053.37,22332.333333333332,622.1395207936346,21629.5,22812.5,33236.56666666667,249.22826050296771,32983.299999999996,33481.55,42476.883333333324,1979.5957656131045,40270.52,44097.53,20.0,0.0,20.0,20.0,1200.0,4673.333333333333,77442.66666666667,22081.066666666666,22332.333333333332,33236.56666666667,42476.883333333324,20.0
40,60,fibonacci_go_a3,3,2399.0,1.0,2398,2400,4232.0,232.9785397842471,3965,4394,88593.0,21803.72612651333,73632,113610,22811.57137679811,949.6641840942393,22157.754481033764,23900.880416666667,22639.5,286.0493838483139,22420.0,22963.0,40686.63333333333,1023.2661449170192,39709.09999999999,41750.2,52158.85666666662,1899.8338317423995,50122.05999999999,53882.91999999979,39.983333333333334,0.01666666666666572,39.96666666666667,40.0,2399.0,4232.0,88593.0,22811.57137679811,22639.5,40686.63333333333,52158.85666666662,39.983333333333334
60,60,fibonacci_go_a3,3,3745.6666666666665,1.5275252316519465,3744,3747,3743.6666666666665,103.79948619012202,3668,3862,132487.33333333334,46524.87264177446,94375,184333,22319.970871793248,940.0386545908491,21495.282167645488,23343.53456098212,22239.666666666668,586.6984603127345,21682.5,22852.0,45567.51666666666,804.1999787573554,44840.25,46431.2,64842.98333333336,3869.6347139533896,60553.04000000006,68070.25000000003,62.42777777777778,0.025458753860867434,62.4,62.45,3745.6666666666665,3743.6666666666665,132487.33333333334,22319.970871793248,22239.666666666668,45567.51666666666,64842.98333333336,62.42777777777778
80,60,fibonacci_go_a3,3,4981.666666666667,1.1547005383792517,4981,4983,3623.6666666666665,130.5118130030126,3487,3747,244378.33333333334,73066.08729317132,162770,303722,26257.6566196983,2604.788714699236,24135.372415177677,29164.565924142084,23397.666666666668,2283.160601739031,22068.0,26034.0,57359.19999999999,4784.286730537781,52536.0,62103.59999999998,103734.24666666651,26658.47604358767,81868.99999999962,133431.39999999988,83.02777777777777,0.019245008972986432,83.01666666666667,83.05,4981.666666666667,3623.6666666666665,244378.33333333334,26257.6566196983,23397.666666666668,57359.19999999999,103734.24666666651,83.02777777777777
100,60,fibonacci_go_a3,3,5948.666666666667,18.147543451754935,5932,5968,3396.3333333333335,66.52317891782783,3321,3447,248308.0,46852.1388732681,198776,291917,27633.079616278585,1462.27809168033,25981.519939678285,28763.030776992935,24037.833333333332,733.293995157013,23283.0,24747.5,65936.74999999999,3201.094258609085,62337.69999999998,68465.75,110459.03666666667,13094.94352185357,96249.04999999999,122040.05000000015,99.14444444444445,0.30245905752925334,98.86666666666666,99.46666666666667,5948.666666666667,3396.3333333333335,248308.0,27633.079616278585,24037.833333333332,65936.74999999999,110459.03666666667,99.14444444444445
120,60,fibonacci_go_a3,3,7379.0,10.816653826391969,7367,7388,3495.0,153.52198539622916,3318,3592,530873.0,86887.009679238,461804,628427,60220.15250687465,7220.04922944045,51883.6876611918,64469.786914115415,37677.0,2934.006688813098,35287.0,40951.5,216445.66666666663,55797.06539400916,155308.49999999994,264620.99999999994,349486.55666666664,91981.1487323473,279922.92000000016,453775.2599999997,122.98333333333333,0.180277563773203,122.78333333333333,123.13333333333334,7379.0,3495.0,530873.0,60220.15250687465,37677.0,216445.66666666663,349486.55666666664,122.98333333333333
140,60,fibonacci_go_a3,3,8085.0,179.60790628477355,7895,8252,4340.666666666667,640.1189993535056,3837,5061,4621162.0,2659349.7342863725,1673314,6839925,1104393.7765761241,732350.0948891183,388795.78914202616,1852418.7327422418,1143772.8333333333,876472.2456633087,324174.5,2067768.0,2256382.5999999996,1180109.9092701396,950510.35,3246487.3,2957472.006666666,1449303.2479583034,1443142.3499999992,4331551.879999997,134.75,2.9934651047462193,131.58333333333334,137.53333333333333,8085.0,4340.666666666667,4621162.0,1104393.7765761241,1143772.8333333333,2256382.5999999996,2957472.006666666,134.75
160,60,fibonacci_go_a3,3,7992.333333333333,106.44403850537302,7871,8070,7087.666666666667,2390.033123898774,4481,9176,20061651.333333332,1777922.6815990433,18266217,21821529,5270079.503132367,620903.3403196111,4734522.927757125,5950659.588235294,5159945.333333333,654477.179629346,4436789.5,5711588.0,10281263.033333333,518335.02402087004,9969164.75,10879598.5,10906301.036666667,491056.574300163,10388057.809999999,11364682.6,133.20555555555555,1.7740673084228822,131.18333333333334,134.5,7992.333333333333,7087.666666666667,20061651.333333332,5270079.503132367,5159945.333333333,10281263.033333333,10906301.036666667,133.20555555555555
180,60,fibonacci_go_a3,3,7805.333333333333,160.32882876555087,7674,7984,7173.0,1509.610545803122,6025,8883,30010257.0,4927.602966960711,30004707,30014118,9513700.518238842,256454.19122308947,9281947.013026051,9789222.148032317,9177535.666666666,369300.9798661294,8766242.5,9480710.0,18202787.849999994,791697.5461960366,17508251.799999997,19064837.149999995,20694679.74,2378108.608588828,18115170.15,22799908.790000003,130.08888888888887,2.6721471460925086,127.9,133.06666666666666,7805.333333333333,7173.0,30010257.0,9513700.518238842,9177535.666666666,18202787.849999994,20694679.74,130.08888888888887
200,60,fibonacci_go_a3,3,7966.333333333333,317.2417584955255,7670,8301,7466.333333333333,1101.2449016151372,6571,8696,30008053.666666668,8185.3387427359,30001716,30017295,9222527.289329508,1003198.5467138909,8211454.931815444,10217662.120078227,9320780.666666666,582783.1891369065,8813204.0,9957205.5,17890987.333333332,1391404.5045894345,16320738.0,18970635.799999997,18950649.15,1940011.2782089678,16740798.0,20373477.509999998,132.7722222222222,5.287362641592091,127.83333333333333,138.35,7966.333333333333,7466.333333333333,30008053.666666668,9222527.289329508,9320780.666666666,17890987.333333332,18950649.15,132.7722222222222
