2025-08-29T13:13:27+01:00  13:13:27 up 11 days, 23:59,  1 user,  load average: 0.73, 7.60, 14.75
2025-08-29T13:13:32+01:00  13:13:32 up 11 days, 23:59,  1 user,  load average: 0.75, 7.49, 14.68
2025-08-29T13:13:37+01:00  13:13:37 up 11 days, 23:59,  1 user,  load average: 0.85, 7.39, 14.61
2025-08-29T13:13:42+01:00  13:13:42 up 11 days, 23:59,  1 user,  load average: 1.10, 7.34, 14.55
2025-08-29T13:13:47+01:00  13:13:47 up 11 days, 23:59,  1 user,  load average: 1.18, 7.25, 14.49
2025-08-29T13:13:52+01:00  13:13:52 up 11 days, 23:59,  1 user,  load average: 1.56, 7.23, 14.44
2025-08-29T13:13:58+01:00  13:13:58 up 11 days, 23:59,  1 user,  load average: 1.84, 7.19, 14.39
2025-08-29T13:14:03+01:00  13:14:03 up 11 days, 23:59,  1 user,  load average: 2.09, 7.15, 14.34
2025-08-29T13:14:08+01:00  13:14:08 up 11 days, 23:59,  1 user,  load average: 2.24, 7.10, 14.28
2025-08-29T13:14:13+01:00  13:14:13 up 11 days, 23:59,  1 user,  load average: 2.31, 7.03, 14.22
2025-08-29T13:14:18+01:00  13:14:18 up 11 days, 23:59,  1 user,  load average: 2.28, 6.95, 14.16
2025-08-29T13:14:23+01:00  13:14:23 up 11 days, 23:59,  1 user,  load average: 2.50, 6.92, 14.11
2025-08-29T13:14:28+01:00  13:14:28 up 12 days, 0 min,  1 user,  load average: 2.62, 6.87, 14.05
2025-08-29T13:14:33+01:00  13:14:33 up 12 days, 0 min,  1 user,  load average: 2.49, 6.77, 13.98
2025-08-29T13:14:38+01:00  13:14:38 up 12 days, 0 min,  1 user,  load average: 2.45, 6.69, 13.92
2025-08-29T13:14:43+01:00  13:14:43 up 12 days, 0 min,  1 user,  load average: 2.25, 6.58, 13.84
2025-08-29T13:14:48+01:00  13:14:48 up 12 days, 0 min,  1 user,  load average: 2.39, 6.54, 13.79
2025-08-29T13:14:53+01:00  13:14:53 up 12 days, 0 min,  1 user,  load average: 2.68, 6.53, 13.75
2025-08-29T13:14:58+01:00  13:14:58 up 12 days, 0 min,  1 user,  load average: 2.55, 6.43, 13.68
2025-08-29T13:15:03+01:00  13:15:03 up 12 days, 0 min,  1 user,  load average: 2.34, 6.33, 13.60
2025-08-29T13:15:08+01:00  13:15:08 up 12 days, 0 min,  1 user,  load average: 3.12, 6.42, 13.60
2025-08-29T13:15:13+01:00  13:15:13 up 12 days, 0 min,  1 user,  load average: 4.23, 6.60, 13.61
2025-08-29T13:15:18+01:00  13:15:18 up 12 days, 0 min,  1 user,  load average: 4.21, 6.55, 13.56
2025-08-29T13:15:23+01:00  13:15:23 up 12 days, 0 min,  1 user,  load average: 4.19, 6.51, 13.51
2025-08-29T13:15:28+01:00  13:15:28 up 12 days, 1 min,  1 user,  load average: 4.18, 6.47, 13.46
2025-08-29T13:15:33+01:00  13:15:33 up 12 days, 1 min,  1 user,  load average: 3.92, 6.38, 13.39
2025-08-29T13:15:38+01:00  13:15:38 up 12 days, 1 min,  1 user,  load average: 3.69, 6.29, 13.32
2025-08-29T13:15:43+01:00  13:15:43 up 12 days, 1 min,  1 user,  load average: 3.47, 6.20, 13.26
2025-08-29T13:15:48+01:00  13:15:48 up 12 days, 1 min,  1 user,  load average: 3.27, 6.12, 13.19
2025-08-29T13:15:53+01:00  13:15:53 up 12 days, 1 min,  1 user,  load average: 3.01, 6.01, 13.12
2025-08-29T13:15:58+01:00  13:15:58 up 12 days, 1 min,  1 user,  load average: 3.41, 6.05, 13.09
2025-08-29T13:16:03+01:00  13:16:03 up 12 days, 1 min,  1 user,  load average: 3.78, 6.08, 13.07
2025-08-29T13:16:08+01:00  13:16:08 up 12 days, 1 min,  1 user,  load average: 3.64, 6.01, 13.01
2025-08-29T13:16:13+01:00  13:16:13 up 12 days, 1 min,  1 user,  load average: 4.39, 6.13, 13.01
2025-08-29T13:16:18+01:00  13:16:18 up 12 days, 1 min,  1 user,  load average: 5.16, 6.26, 13.01
2025-08-29T13:16:23+01:00  13:16:23 up 12 days, 1 min,  1 user,  load average: 5.30, 6.27, 12.98
2025-08-29T13:16:28+01:00  13:16:28 up 12 days, 2 min,  1 user,  load average: 5.20, 6.23, 12.93
2025-08-29T13:16:33+01:00  13:16:33 up 12 days, 2 min,  1 user,  load average: 5.10, 6.20, 12.88
2025-08-29T13:16:38+01:00  13:16:38 up 12 days, 2 min,  1 user,  load average: 5.02, 6.16, 12.83
2025-08-29T13:16:43+01:00  13:16:43 up 12 days, 2 min,  1 user,  load average: 4.61, 6.06, 12.76
2025-08-29T13:16:48+01:00  13:16:48 up 12 days, 2 min,  1 user,  load average: 4.72, 6.06, 12.73
2025-08-29T13:16:53+01:00  13:16:53 up 12 days, 2 min,  1 user,  load average: 4.43, 5.97, 12.66
2025-08-29T13:16:58+01:00  13:16:58 up 12 days, 2 min,  1 user,  load average: 5.91, 6.25, 12.72
2025-08-29T13:17:03+01:00  13:17:03 up 12 days, 2 min,  1 user,  load average: 5.76, 6.22, 12.67
2025-08-29T13:17:08+01:00  13:17:08 up 12 days, 2 min,  1 user,  load average: 5.62, 6.18, 12.63
2025-08-29T13:17:13+01:00  13:17:13 up 12 days, 2 min,  1 user,  load average: 5.33, 6.11, 12.57
2025-08-29T13:17:18+01:00  13:17:18 up 12 days, 2 min,  1 user,  load average: 5.38, 6.11, 12.53
2025-08-29T13:17:23+01:00  13:17:23 up 12 days, 2 min,  1 user,  load average: 5.35, 6.09, 12.49
2025-08-29T13:17:28+01:00  13:17:28 up 12 days, 3 min,  1 user,  load average: 5.64, 6.14, 12.47
2025-08-29T13:17:33+01:00  13:17:33 up 12 days, 3 min,  1 user,  load average: 6.15, 6.24, 12.47
2025-08-29T13:17:38+01:00  13:17:38 up 12 days, 3 min,  1 user,  load average: 6.54, 6.31, 12.46
2025-08-29T13:17:43+01:00  13:17:43 up 12 days, 3 min,  1 user,  load average: 6.18, 6.24, 12.41
2025-08-29T13:17:48+01:00  13:17:48 up 12 days, 3 min,  1 user,  load average: 5.76, 6.16, 12.34
2025-08-29T13:17:53+01:00  13:17:53 up 12 days, 3 min,  1 user,  load average: 6.10, 6.22, 12.33
2025-08-29T13:17:58+01:00  13:17:58 up 12 days, 3 min,  1 user,  load average: 6.82, 6.37, 12.35
2025-08-29T13:18:03+01:00  13:18:03 up 12 days, 3 min,  1 user,  load average: 7.15, 6.44, 12.34
2025-08-29T13:18:08+01:00  13:18:08 up 12 days, 3 min,  1 user,  load average: 8.58, 6.75, 12.41
2025-08-29T13:18:13+01:00  13:18:13 up 12 days, 3 min,  1 user,  load average: 7.97, 6.66, 12.35
2025-08-29T13:18:18+01:00  13:18:18 up 12 days, 3 min,  1 user,  load average: 7.98, 6.68, 12.32
2025-08-29T13:18:23+01:00  13:18:23 up 12 days, 3 min,  1 user,  load average: 8.22, 6.75, 12.31
2025-08-29T13:18:28+01:00  13:18:28 up 12 days, 4 min,  1 user,  load average: 8.44, 6.82, 12.31
2025-08-29T13:18:33+01:00  13:18:33 up 12 days, 4 min,  1 user,  load average: 7.93, 6.74, 12.25
2025-08-29T13:18:38+01:00  13:18:38 up 12 days, 4 min,  1 user,  load average: 8.89, 6.96, 12.29
2025-08-29T13:18:43+01:00  13:18:43 up 12 days, 4 min,  1 user,  load average: 8.50, 6.91, 12.25
2025-08-29T13:18:48+01:00  13:18:48 up 12 days, 4 min,  1 user,  load average: 8.30, 6.90, 12.22
