target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,39.98,40.00,40.00,39.99,39.98,40.00,100.0
60.00,62.38,62.46,62.47,62.44,62.38,62.47,104.1
80.00,83.13,83.03,83.05,83.07,83.03,83.13,103.8
100.00,99.48,99.48,99.30,99.42,99.30,99.48,99.4
120.00,122.62,122.95,123.00,122.86,122.62,123.00,102.4
140.00,132.03,135.80,133.08,133.64,132.03,135.80,95.5
160.00,130.75,136.57,133.21,133.51,130.75,136.57,83.4
180.00,135.60,133.57,132.18,133.78,132.18,135.60,74.3
200.00,127.94,130.45,128.29,128.89,127.94,130.45,64.4
220.00,128.22,123.75,123.80,125.26,123.75,128.22,56.9
240.00,125.38,129.18,128.12,127.56,125.38,129.18,53.1
260.00,116.93,120.33,114.55,117.27,114.55,120.33,45.1
280.00,114.63,114.42,114.23,114.43,114.23,114.63,40.9
300.00,109.65,116.66,108.27,111.53,108.27,116.66,37.2
320.00,114.67,114.32,120.03,116.34,114.32,120.03,36.4
340.00,104.42,111.85,89.04,101.77,89.04,111.85,29.9
360.00,101.80,99.07,95.59,98.82,95.59,101.80,27.5
380.00,101.36,101.33,95.68,99.46,95.68,101.36,26.2
400.00,104.74,92.83,100.45,99.34,92.83,104.74,24.8
420.00,93.18,96.79,95.10,95.02,93.18,96.79,22.6
440.00,98.28,98.48,110.95,102.57,98.28,110.95,23.3
460.00,99.00,97.12,105.03,100.38,97.12,105.03,21.8
480.00,99.87,102.62,99.43,100.64,99.43,102.62,21.0
500.00,92.93,98.95,94.42,95.43,92.93,98.95,19.1

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,135.60,180.00
Max Iter2,136.57,160.00
Max Iter3,133.21,160.00
Overall Max,136.57,160.00
Avg of Max,135.13,
