min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
4075,552394,17086.48,6511.5,50712.04999999998,289870.17999999993,47660.81968124272,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4293,299596,11095.321666666667,6325.0,26265.64999999929,146880.78,23628.528818990482,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4169,318225,10975.0825,6437.0,18135.84999999999,119997.16,23291.931059826144,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
3642,580811,72713.03418090871,50670.0,224168.89999999997,404053.86,81149.65435758582,40.0,39.98,2399,target_rps40.00_iter01_rps39.98_lat.csv
3793,906206,78804.08681135226,52001.5,252644.25,477694.2500000001,95950.72958050758,40.0,39.93,2396,target_rps40.00_iter02_rps39.93_lat.csv
3528,1499621,107497.67973311093,43594.5,423602.55,1064701.0400000052,188901.70287195433,40.0,39.97,2398,target_rps40.00_iter03_rps39.97_lat.csv
3705,1537505,152819.1007213465,111423.0,458983.89999999956,773399.2599999993,156859.01003204688,60.0,62.38,3743,target_rps60.00_iter01_rps62.38_lat.csv
3699,911231,135398.73644859812,99891.0,397244.8,592638.6,129231.26885543329,60.0,62.4,3745,target_rps60.00_iter02_rps62.40_lat.csv
3696,2748088,213450.18332442545,125764.5,794316.2999999995,1573123.6700000023,288096.2944732927,60.0,62.37,3742,target_rps60.00_iter03_rps62.37_lat.csv
3918,3058305,569686.2922025723,332344.0,1932554.25,2667110.5,605280.8611140084,80.0,82.93,4976,target_rps80.00_iter01_rps82.93_lat.csv
3699,1741247,371838.08998371335,294334.0,947182.7,1408701.1000000022,288627.8376721316,80.0,81.87,4912,target_rps80.00_iter02_rps81.87_lat.csv
4375,1551834,304886.01345651736,229077.0,820209.6999999997,1188063.82,252794.57109689974,80.0,82.98,4979,target_rps80.00_iter03_rps82.98_lat.csv
5090,3039309,613085.079618918,569120.0,1306687.9999999998,1552237.8699999992,374716.9148668165,100.0,97.97,5878,target_rps100.00_iter01_rps97.97_lat.csv
4355,4025338,967904.8543340742,815146.0,2442613.3999999994,3147402.4399999985,703797.1502132386,100.0,97.48,5849,target_rps100.00_iter02_rps97.48_lat.csv
4306,2629415,741591.0990534144,665358.0,1606585.0,2000565.6500000001,463530.0161483824,100.0,98.6,5916,target_rps100.00_iter03_rps98.60_lat.csv
5662,9760775,3228749.045011601,3069272.0,6769337.799999997,7540632.919999999,1561050.436735819,120.0,106.77,6465,target_rps120.00_iter01_rps106.77_lat.csv
6708,16219731,4819681.067717548,4086694.0,9442905.2,9842351.88,3357895.8418868636,120.0,103.61,6217,target_rps120.00_iter02_rps103.61_lat.csv
4215,15318106,5891486.937163659,6819243.0,8591605.049999999,9070669.28,2530134.0773777794,120.0,105.28,6318,target_rps120.00_iter03_rps105.28_lat.csv
5206,15642304,7452275.982576128,6756357.0,13957496.0,15007781.400000002,4051919.9551064624,140.0,102.35,6141,target_rps140.00_iter01_rps102.35_lat.csv
7510,24349725,7155102.05052731,6970538.0,13986193.6,14543924.48,3917348.810062293,140.0,105.88,6353,target_rps140.00_iter02_rps105.88_lat.csv
4701,30003394,9865350.420368182,10406348.0,17437268.0,17881791.6,5388962.763475789,140.0,98.67,5921,target_rps140.00_iter03_rps98.67_lat.csv
