2025-08-18T13:00:59+01:00  13:00:59 up 23:46,  1 user,  load average: 1.00, 2.08, 4.82
2025-08-18T13:01:04+01:00  13:01:04 up 23:46,  1 user,  load average: 1.24, 2.11, 4.81
2025-08-18T13:01:09+01:00  13:01:09 up 23:46,  1 user,  load average: 1.95, 2.24, 4.84
2025-08-18T13:01:14+01:00  13:01:14 up 23:46,  1 user,  load average: 2.43, 2.34, 4.86
2025-08-18T13:01:19+01:00  13:01:19 up 23:46,  1 user,  load average: 2.96, 2.45, 4.88
2025-08-18T13:01:24+01:00  13:01:24 up 23:46,  1 user,  load average: 2.80, 2.42, 4.86
2025-08-18T13:01:29+01:00  13:01:29 up 23:47,  1 user,  load average: 2.90, 2.45, 4.86
2025-08-18T13:01:34+01:00  13:01:34 up 23:47,  1 user,  load average: 3.31, 2.54, 4.87
2025-08-18T13:01:39+01:00  13:01:39 up 23:47,  1 user,  load average: 3.76, 2.65, 4.90
2025-08-18T13:01:44+01:00  13:01:44 up 23:47,  1 user,  load average: 3.94, 2.70, 4.90
2025-08-18T13:01:49+01:00  13:01:49 up 23:47,  1 user,  load average: 3.95, 2.73, 4.90
2025-08-18T13:01:54+01:00  13:01:54 up 23:47,  1 user,  load average: 5.71, 3.11, 5.01
2025-08-18T13:01:59+01:00  13:01:59 up 23:47,  1 user,  load average: 6.46, 3.31, 5.06
2025-08-18T13:02:04+01:00  13:02:04 up 23:47,  1 user,  load average: 6.02, 3.27, 5.04
2025-08-18T13:02:09+01:00  13:02:09 up 23:47,  1 user,  load average: 5.86, 3.28, 5.04
2025-08-18T13:02:14+01:00  13:02:14 up 23:47,  1 user,  load average: 5.95, 3.35, 5.05
2025-08-18T13:02:19+01:00  13:02:19 up 23:47,  1 user,  load average: 6.59, 3.52, 5.10
2025-08-18T13:02:24+01:00  13:02:24 up 23:48,  1 user,  load average: 6.55, 3.56, 5.10
2025-08-18T13:02:29+01:00  13:02:29 up 23:48,  1 user,  load average: 6.82, 3.67, 5.13
2025-08-18T13:02:34+01:00  13:02:34 up 23:48,  1 user,  load average: 6.52, 3.66, 5.12
2025-08-18T13:02:40+01:00  13:02:40 up 23:48,  1 user,  load average: 6.47, 3.70, 5.12
2025-08-18T13:02:45+01:00  13:02:45 up 23:48,  1 user,  load average: 6.52, 3.75, 5.13
2025-08-18T13:02:50+01:00  13:02:50 up 23:48,  1 user,  load average: 7.60, 4.02, 5.21
2025-08-18T13:02:55+01:00  13:02:55 up 23:48,  1 user,  load average: 7.47, 4.06, 5.21
2025-08-18T13:03:00+01:00  13:03:00 up 23:48,  1 user,  load average: 7.43, 4.11, 5.22
2025-08-18T13:03:05+01:00  13:03:05 up 23:48,  1 user,  load average: 7.72, 4.22, 5.26
2025-08-18T13:03:10+01:00  13:03:10 up 23:48,  1 user,  load average: 7.58, 4.25, 5.26
2025-08-18T13:03:15+01:00  13:03:15 up 23:48,  1 user,  load average: 7.77, 4.35, 5.29
2025-08-18T13:03:20+01:00  13:03:20 up 23:48,  1 user,  load average: 7.95, 4.44, 5.31
2025-08-18T13:03:25+01:00  13:03:25 up 23:49,  1 user,  load average: 8.52, 4.62, 5.36
2025-08-18T13:03:30+01:00  13:03:30 up 23:49,  1 user,  load average: 8.96, 4.77, 5.41
2025-08-18T13:03:35+01:00  13:03:35 up 23:49,  1 user,  load average: 8.72, 4.79, 5.41
2025-08-18T13:03:40+01:00  13:03:40 up 23:49,  1 user,  load average: 8.18, 4.75, 5.39
2025-08-18T13:03:45+01:00  13:03:45 up 23:49,  1 user,  load average: 8.17, 4.80, 5.41
2025-08-18T13:03:50+01:00  13:03:50 up 23:49,  1 user,  load average: 8.15, 4.85, 5.42
2025-08-18T13:03:55+01:00  13:03:55 up 23:49,  1 user,  load average: 8.38, 4.96, 5.45
2025-08-18T13:04:00+01:00  13:04:00 up 23:49,  1 user,  load average: 7.71, 4.87, 5.42
2025-08-18T13:04:05+01:00  13:04:05 up 23:49,  1 user,  load average: 8.21, 5.03, 5.47
2025-08-18T13:04:10+01:00  13:04:10 up 23:49,  1 user,  load average: 7.56, 4.94, 5.44
2025-08-18T13:04:15+01:00  13:04:15 up 23:49,  1 user,  load average: 7.03, 4.88, 5.42
2025-08-18T13:04:20+01:00  13:04:20 up 23:49,  1 user,  load average: 6.63, 4.83, 5.40
2025-08-18T13:04:25+01:00  13:04:25 up 23:50,  1 user,  load average: 6.50, 4.83, 5.40
2025-08-18T13:04:30+01:00  13:04:30 up 23:50,  1 user,  load average: 6.06, 4.77, 5.37
2025-08-18T13:04:35+01:00  13:04:35 up 23:50,  1 user,  load average: 6.29, 4.84, 5.39
2025-08-18T13:04:40+01:00  13:04:40 up 23:50,  1 user,  load average: 6.43, 4.89, 5.41
2025-08-18T13:04:45+01:00  13:04:45 up 23:50,  1 user,  load average: 6.48, 4.93, 5.41
2025-08-18T13:04:50+01:00  13:04:50 up 23:50,  1 user,  load average: 6.92, 5.04, 5.45
2025-08-18T13:04:55+01:00  13:04:55 up 23:50,  1 user,  load average: 6.84, 5.06, 5.45
2025-08-18T13:05:00+01:00  13:05:00 up 23:50,  1 user,  load average: 6.62, 5.04, 5.45
2025-08-18T13:05:05+01:00  13:05:05 up 23:50,  1 user,  load average: 7.77, 5.31, 5.53
