rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_go_b3,3,1199.3333333333333,0.5773502691896258,1199,1200,5267.0,616.0754823883191,4735,5942,90473.66666666667,8669.555601836426,83251,100088,24083.697953618757,1275.12758701423,22614.460833333334,24901.72560467056,23271.166666666668,1177.0875427653345,21963.5,24246.0,38013.66666666665,1551.7342888952658,36813.299999999996,39765.89999999997,47754.41333333331,1587.8511127096695,46185.019999999975,49360.09999999998,19.98888888888889,0.009622504486493216,19.983333333333334,20.0,1199.3333333333333,5267.0,90473.66666666667,24083.697953618757,23271.166666666668,38013.66666666665,47754.41333333331,19.98888888888889
40,60,fibonacci_go_b3,3,2394.3333333333335,3.0550504633038935,2391,2397,4443.666666666667,202.52489558899504,4243,4648,233516.0,96870.83310780392,125165,311754,26357.385672289154,1033.397728957544,25474.532831451277,27494.03796412182,24916.0,1055.648142138279,24073.0,26100.0,50187.26666666664,2187.3191910037385,47712.5,51861.69999999995,68260.4333333333,1391.116250258528,66716.19999999997,69415.57999999997,39.90555555555556,0.050917507721731765,39.85,39.95,2394.3333333333335,4443.666666666667,233516.0,26357.385672289154,24916.0,50187.26666666664,68260.4333333333,39.90555555555556
60,60,fibonacci_go_b3,3,3729.6666666666665,2.0816659994661326,3728,3732,4203.333333333333,182.2672031204005,3998,4346,325547.0,302042.50454033783,143410,674199,27405.439790658984,1817.9528553990594,26027.74919527897,29465.93703108253,25516.666666666668,2449.695559316164,23480.0,28235.0,56325.583333333314,3010.202026581159,53317.399999999994,59337.79999999999,78282.77666666667,4521.1173290496845,73157.72,81706.03,62.16111111111112,0.03469443332443755,62.13333333333333,62.2,3729.6666666666665,4203.333333333333,325547.0,27405.439790658984,25516.666666666668,56325.583333333314,78282.77666666667,62.16111111111112
80,60,fibonacci_go_b3,3,4936.666666666667,10.503967504392488,4926,4947,4011.6666666666665,296.80015723266274,3672,4221,156045.0,25583.622906070203,126685,173556,27006.26714140539,1783.0879101552478,24990.05740853042,28375.725339274864,24102.833333333332,2238.7848452527396,21576.0,25839.0,59697.76666666666,2388.131709796039,56963.999999999985,61377.79999999999,80642.8933333334,1649.2555383970528,78989.51999999999,82288.0,82.27777777777777,0.17506612507321237,82.1,82.45,4936.666666666667,4011.6666666666665,156045.0,27006.26714140539,24102.833333333332,59697.76666666666,80642.8933333334,82.27777777777777
100,60,fibonacci_go_b3,3,5862.333333333333,33.70954365359064,5831,5898,3725.3333333333335,257.65157351224025,3437,3933,178003.33333333334,24517.541808536458,154351,203303,29297.073088396617,1976.4712070028015,27258.691759918616,31205.189847367517,25554.833333333332,2021.4502426063655,23466.5,27502.0,65394.21666666665,4599.732001522844,60560.59999999999,69717.5,88971.96333333333,6105.004790009071,82180.84999999995,94005.09999999998,97.70555555555556,0.5618257275598404,97.18333333333334,98.3,5862.333333333333,3725.3333333333335,178003.33333333334,29297.073088396617,25554.833333333332,65394.21666666665,88971.96333333333,97.70555555555556
120,60,fibonacci_go_b3,3,7197.333333333333,18.929694486000912,7184,7219,3666.0,126.12295588036304,3524,3765,218626.66666666666,67470.9232287015,178256,296518,33012.090240779595,2335.8707728449685,30429.491027959382,34977.1318207127,28827.666666666668,3148.9024013667577,25332.0,31442.0,74133.86666666661,2693.36168631939,71049.99999999997,76024.39999999994,104072.49666666666,1241.8534926606092,103221.56,105497.53,119.95555555555556,0.3154949081000135,119.73333333333333,120.31666666666666,7197.333333333333,3666.0,218626.66666666666,33012.090240779595,28827.666666666668,74133.86666666661,104072.49666666666,119.95555555555556
140,60,fibonacci_go_b3,3,8077.666666666667,11.015141094572204,8065,8085,4240.333333333333,419.2187177754988,3857,4688,179876.66666666666,21461.024494029483,155380,195367,35532.07505018131,3658.687789668514,32611.029386236827,39635.818552875695,30782.333333333332,4550.073662407383,27181.0,35896.0,79140.09999999998,5412.285808232993,74049.19999999995,84824.8,108827.64,6258.596666601917,101619.19999999994,112877.76,134.62777777777777,0.18358568490954263,134.41666666666666,134.75,8077.666666666667,4240.333333333333,179876.66666666666,35532.07505018131,30782.333333333332,79140.09999999998,108827.64,134.62777777777777
160,60,fibonacci_go_b3,3,9259.0,62.55397669213365,9187,9300,4231.0,413.3509404852008,3953,4706,260360.0,67414.47720630933,200689,333488,38278.58895884106,1755.166327739552,36291.14313704147,39616.046021505375,33011.5,1952.0597454996093,30980.0,34873.0,85599.84999999998,2016.5494086433914,83352.29999999997,87250.74999999997,121398.31333333335,5666.272913629708,116366.97999999997,127536.26000000004,154.3166666666667,1.0425662782022256,153.11666666666667,155.0,9259.0,4231.0,260360.0,38278.58895884106,33011.5,85599.84999999998,121398.31333333335,154.3166666666667
180,60,fibonacci_go_b3,3,10713.666666666666,78.3602790534422,10624,10769,3960.6666666666665,119.39988833048938,3861,4093,326821.6666666667,142282.65119238303,233044,490538,44676.34776492144,2220.5928889542665,42183.648814006025,46443.150632675846,38884.333333333336,2560.129016931243,36014.5,40933.5,99908.78333333333,3877.8235391560843,95850.35000000002,103576.39999999994,139469.17000000007,2886.213685765473,136457.07000000012,142210.4000000001,178.56111111111113,1.3060046508906993,177.06666666666666,179.48333333333332,10713.666666666666,3960.6666666666665,326821.6666666667,44676.34776492144,38884.333333333336,99908.78333333333,139469.17000000007,178.56111111111113
200,60,fibonacci_go_b3,3,10638.666666666666,236.7220592452958,10500,10912,4315.666666666667,298.92529724553816,4035,4630,295568.3333333333,75550.95492006262,232279,379211,45396.78182438298,6547.338917271704,38288.09659090909,51179.93412033511,38860.666666666664,6379.362670622617,32201.5,44917.5,103128.06666666661,11881.133201460007,89608.04999999986,111905.05,146936.0599999997,21247.653301616814,122498.77999999947,161046.0699999996,177.31111111111113,3.9453676540882685,175.0,181.86666666666667,10638.666666666666,4315.666666666667,295568.3333333333,45396.78182438298,38860.666666666664,103128.06666666661,146936.0599999997,177.31111111111113
