target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,19.97,20.00,19.97,19.98,19.97,20.00,99.9
40.00,39.95,39.97,39.93,39.95,39.93,39.97,99.9
60.00,61.97,61.82,62.28,62.02,61.82,62.28,103.4
80.00,82.73,82.50,82.10,82.44,82.10,82.73,103.1
100.00,98.15,98.80,98.89,98.61,98.15,98.89,98.6
120.00,121.62,122.58,121.62,121.94,121.62,122.58,101.6
140.00,137.87,136.95,138.12,137.65,136.95,138.12,98.3
160.00,158.45,158.78,157.95,158.39,157.95,158.78,99.0
180.00,185.63,182.75,187.43,185.27,182.75,187.43,102.9
200.00,187.71,190.12,186.43,188.09,186.43,190.12,94.0
220.00,225.80,229.07,226.88,227.25,225.80,229.07,103.3
240.00,226.68,226.54,227.08,226.77,226.54,227.08,94.5
260.00,258.00,239.88,235.51,244.46,235.51,258.00,94.0
280.00,243.42,236.89,236.76,239.02,236.76,243.42,85.4
300.00,244.42,244.63,237.67,242.24,237.67,244.63,80.7
320.00,254.15,258.03,258.37,256.85,254.15,258.37,80.3
340.00,282.28,281.52,284.45,282.75,281.52,284.45,83.2
360.00,282.47,283.48,282.72,282.89,282.47,283.48,78.6
380.00,285.75,279.55,279.46,281.59,279.46,285.75,74.1
400.00,265.26,262.15,273.07,266.83,262.15,273.07,66.7
420.00,285.22,280.22,278.54,281.33,278.54,285.22,67.0
440.00,284.99,285.24,283.33,284.52,283.33,285.24,64.7
460.00,285.88,284.84,281.68,284.13,281.68,285.88,61.8
480.00,290.98,290.19,281.82,287.66,281.82,290.98,59.9
500.00,291.09,292.98,291.03,291.70,291.03,292.98,58.3

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,291.09,500.00
Max Iter2,292.98,500.00
Max Iter3,291.03,500.00
Overall Max,292.98,500.00
Avg of Max,291.70,
