min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
6290,152726,26303.14941569282,23813.0,44637.299999999996,61715.61999999999,11249.999998673886,19.966666666666665,19.966666666666665,1198,target_rps20.00_iter01_rps19.97_lat.csv
5817,528373,23596.300833333335,22215.5,40174.54999999997,57146.21,19937.361509412403,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5948,88611,25650.033388981636,24377.0,39279.84999999999,51300.35,8555.102540180842,19.966666666666665,19.966666666666665,1198,target_rps20.00_iter03_rps19.97_lat.csv
5267,139767,27400.99123904881,26159.0,53471.79999999998,70478.43999999994,14691.364986593371,39.95,39.95,2397,target_rps40.00_iter01_rps39.95_lat.csv
5675,209559,27896.776063386154,26147.0,55298.35000000002,77654.65000000005,15759.786317082822,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter02_rps39.97_lat.csv
5449,111299,27432.59098497496,25063.0,56706.25,76233.0,15682.790651507697,39.93333333333333,39.93333333333333,2396,target_rps40.00_iter03_rps39.93_lat.csv
4398,212782,33275.45346960732,29793.5,71647.54999999996,100987.82999999999,21187.01567568962,61.96666666666667,61.96666666666667,3718,target_rps60.00_iter01_rps61.97_lat.csv
4961,198558,30598.311674305744,26610.0,68570.4,99002.16000000008,20038.046497807343,61.81666666666667,61.81666666666667,3709,target_rps60.00_iter02_rps61.82_lat.csv
4488,203435,26952.92587637142,24526.0,56272.399999999994,77715.55999999994,16421.180579936172,62.28333333333333,62.28333333333333,3737,target_rps60.00_iter03_rps62.28_lat.csv
4097,168211,27516.095688960515,22232.0,63652.59999999995,87347.54,18561.13868343032,82.73333333333333,82.73333333333333,4964,target_rps80.00_iter01_rps82.73_lat.csv
5676,209103,33974.58303030303,30298.0,72916.45000000001,98086.55000000019,21106.095214250432,82.5,82.5,4950,target_rps80.00_iter02_rps82.50_lat.csv
4529,289577,30681.04505784453,25974.0,69080.29999999996,96941.45999999998,20565.71342673425,82.11666666666666,82.11666666666666,4927,target_rps80.00_iter03_rps82.10_lat.csv
4837,306342,36215.386822890134,30560.0,81947.39999999992,122321.75999999998,25884.63079319174,98.15,98.15,5889,target_rps100.00_iter01_rps98.15_lat.csv
4813,267431,32604.249325236167,27632.0,72050.74999999994,103138.03999999963,21505.607166601138,98.8,98.8,5928,target_rps100.00_iter02_rps98.80_lat.csv
4579,295142,27953.23222109875,23364.0,62016.59999999999,85893.81000000003,18393.416581995134,98.9,98.9,5934,target_rps100.00_iter03_rps98.89_lat.csv
4765,279281,38293.71426613677,33591.0,83998.59999999999,118719.04,24727.155979881674,121.61666666666666,121.61666666666666,7297,target_rps120.00_iter01_rps121.62_lat.csv
4469,337193,34447.05084976207,29230.0,81345.79999999997,114351.54000000001,24489.773285820516,122.58333333333333,122.58333333333333,7355,target_rps120.00_iter02_rps122.58_lat.csv
4621,238397,37267.90914074277,32266.0,84830.4,116045.59999999999,24342.003772665492,121.61666666666666,121.61666666666666,7297,target_rps120.00_iter03_rps121.62_lat.csv
4358,755155,35497.48005319149,29902.5,80318.4,112690.46999999999,26407.955370689662,137.86666666666667,137.86666666666667,8272,target_rps140.00_iter01_rps137.87_lat.csv
4830,276512,38960.752007787785,32090.5,91108.69999999997,123233.36999999998,27219.15255330699,136.96666666666667,136.96666666666667,8218,target_rps140.00_iter02_rps136.95_lat.csv
4908,332444,40552.423624517374,33580.5,94790.74999999997,138803.34,29852.087669649587,138.13333333333333,138.13333333333333,8288,target_rps140.00_iter03_rps138.12_lat.csv
3393,327361,49966.17397706953,41208.0,123635.29999999993,169302.20000000036,37623.00062527246,158.45,158.45,9507,target_rps160.00_iter01_rps158.45_lat.csv
5123,398511,54573.8892620972,45178.0,132546.59999999998,205352.13999999998,40975.33473112219,158.78333333333333,158.78333333333333,9527,target_rps160.00_iter02_rps158.78_lat.csv
5612,386112,50626.32320354543,39430.0,131545.7999999999,204478.12,41547.071671137826,157.95,157.95,9477,target_rps160.00_iter03_rps157.95_lat.csv
4433,357333,57171.46193212426,43749.5,148025.39999999997,226206.57999999987,46246.04338965954,185.63333333333333,185.63333333333333,11138,target_rps180.00_iter01_rps185.63_lat.csv
4669,573517,69694.70287277702,56746.0,169884.9999999998,304104.24000000005,56179.91082627121,182.75,182.75,10965,target_rps180.00_iter02_rps182.75_lat.csv
4458,477456,48140.063756002135,37343.5,117398.25,210933.74999999983,40993.53386639595,187.43333333333334,187.43333333333334,11246,target_rps180.00_iter03_rps187.43_lat.csv
4398,566916,57291.94797123324,46693.0,144528.29999999993,214753.0999999997,46101.19187476557,187.71666666666667,187.71666666666667,11263,target_rps200.00_iter01_rps187.71_lat.csv
4653,306070,52384.73167952314,42689.0,126832.29999999997,178611.51,37916.867944484366,190.13333333333333,190.13333333333333,11408,target_rps200.00_iter02_rps190.12_lat.csv
4739,437632,52608.2960843912,44654.0,119746.75,177352.09999999995,36757.625408666354,186.43333333333334,186.43333333333334,11186,target_rps200.00_iter03_rps186.43_lat.csv
5937,523135,86859.66555949218,67668.0,228460.49999999997,343435.80000000005,69471.143251699,225.8,225.8,13548,target_rps220.00_iter01_rps225.80_lat.csv
4951,564543,94094.00312841033,75788.0,239653.99999999994,372442.55999999994,73896.57334622047,229.08333333333334,229.08333333333334,13745,target_rps220.00_iter02_rps229.07_lat.csv
4812,600302,80526.90053625211,63981.0,198434.99999999997,359893.8799999987,66218.31496679674,226.88333333333333,226.88333333333333,13613,target_rps220.00_iter03_rps226.88_lat.csv
6623,656666,85982.14511504814,70175.0,199875.8,311020.8799999993,67161.44041809348,226.71666666666667,226.71666666666667,13603,target_rps240.00_iter01_rps226.68_lat.csv
6307,737481,89415.84791881159,72076.5,222433.39999999997,347636.43000000017,68342.28894046902,226.63333333333333,226.63333333333333,13598,target_rps240.00_iter02_rps226.54_lat.csv
5472,714819,93775.40447706422,76895.0,226294.99999999985,327147.84,67077.10555385171,227.08333333333334,227.08333333333334,13625,target_rps240.00_iter03_rps227.08_lat.csv
6045,807815,151515.77397481434,126156.0,369662.39999999997,519341.91999999987,105131.58985994835,258.0833333333333,258.0833333333333,15485,target_rps260.00_iter01_rps258.00_lat.csv
6418,624167,102922.27964982978,87500.0,232964.5999999999,351955.12,69439.90576030541,239.88333333333333,239.88333333333333,14393,target_rps260.00_iter02_rps239.88_lat.csv
7326,581532,115260.55091642488,98810.0,260541.0,365541.6000000002,73534.37695657185,235.51666666666668,235.51666666666668,14131,target_rps260.00_iter03_rps235.51_lat.csv
7272,639575,114883.39483773791,93149.5,277162.0,434886.3500000001,82825.33227141185,243.43333333333334,243.43333333333334,14606,target_rps280.00_iter01_rps243.42_lat.csv
5724,634190,104937.55033415406,86984.0,246198.19999999975,347872.1200000004,71706.24824043243,236.91666666666666,236.91666666666666,14215,target_rps280.00_iter02_rps236.89_lat.csv
6274,658488,112487.66077713642,90454.0,279761.75,392844.6000000002,80945.66588947813,236.76666666666668,236.76666666666668,14206,target_rps280.00_iter03_rps236.76_lat.csv
