2025-09-05T13:15:30+01:00  13:15:30 up 19 days, 1 min,  1 user,  load average: 0.83, 1.92, 5.83
2025-09-05T13:15:35+01:00  13:15:35 up 19 days, 1 min,  1 user,  load average: 0.76, 1.89, 5.79
2025-09-05T13:15:40+01:00  13:15:40 up 19 days, 1 min,  1 user,  load average: 0.70, 1.86, 5.76
2025-09-05T13:15:45+01:00  13:15:45 up 19 days, 1 min,  1 user,  load average: 0.73, 1.84, 5.74
2025-09-05T13:15:50+01:00  13:15:50 up 19 days, 1 min,  1 user,  load average: 0.67, 1.81, 5.70
2025-09-05T13:15:55+01:00  13:15:55 up 19 days, 1 min,  1 user,  load average: 0.70, 1.80, 5.68
2025-09-05T13:16:00+01:00  13:16:00 up 19 days, 1 min,  1 user,  load average: 0.64, 1.77, 5.65
2025-09-05T13:16:05+01:00  13:16:05 up 19 days, 1 min,  1 user,  load average: 0.75, 1.77, 5.63
2025-09-05T13:16:10+01:00  13:16:10 up 19 days, 1 min,  1 user,  load average: 0.93, 1.79, 5.61
2025-09-05T13:16:15+01:00  13:16:15 up 19 days, 1 min,  1 user,  load average: 0.85, 1.76, 5.58
2025-09-05T13:16:20+01:00  13:16:20 up 19 days, 1 min,  1 user,  load average: 0.95, 1.77, 5.56
2025-09-05T13:16:25+01:00  13:16:25 up 19 days, 2 min,  1 user,  load average: 0.95, 1.75, 5.54
2025-09-05T13:16:30+01:00  13:16:30 up 19 days, 2 min,  1 user,  load average: 1.28, 1.81, 5.54
2025-09-05T13:16:35+01:00  13:16:35 up 19 days, 2 min,  1 user,  load average: 1.65, 1.88, 5.54
2025-09-05T13:16:40+01:00  13:16:40 up 19 days, 2 min,  1 user,  load average: 1.60, 1.86, 5.52
2025-09-05T13:16:45+01:00  13:16:45 up 19 days, 2 min,  1 user,  load average: 1.79, 1.90, 5.51
2025-09-05T13:16:50+01:00  13:16:50 up 19 days, 2 min,  1 user,  load average: 1.65, 1.87, 5.48
2025-09-05T13:16:55+01:00  13:16:55 up 19 days, 2 min,  1 user,  load average: 1.52, 1.84, 5.45
2025-09-05T13:17:00+01:00  13:17:00 up 19 days, 2 min,  1 user,  load average: 1.56, 1.84, 5.43
2025-09-05T13:17:05+01:00  13:17:05 up 19 days, 2 min,  1 user,  load average: 2.07, 1.94, 5.44
2025-09-05T13:17:10+01:00  13:17:10 up 19 days, 2 min,  1 user,  load average: 1.99, 1.93, 5.42
2025-09-05T13:17:15+01:00  13:17:15 up 19 days, 2 min,  1 user,  load average: 2.55, 2.04, 5.44
2025-09-05T13:17:20+01:00  13:17:20 up 19 days, 2 min,  1 user,  load average: 2.34, 2.01, 5.41
2025-09-05T13:17:25+01:00  13:17:25 up 19 days, 3 min,  1 user,  load average: 2.32, 2.01, 5.39
2025-09-05T13:17:30+01:00  13:17:30 up 19 days, 3 min,  1 user,  load average: 2.21, 1.99, 5.37
2025-09-05T13:17:35+01:00  13:17:35 up 19 days, 3 min,  1 user,  load average: 2.19, 1.99, 5.35
2025-09-05T13:17:40+01:00  13:17:40 up 19 days, 3 min,  1 user,  load average: 2.02, 1.96, 5.32
2025-09-05T13:17:45+01:00  13:17:45 up 19 days, 3 min,  1 user,  load average: 1.94, 1.94, 5.30
2025-09-05T13:17:50+01:00  13:17:50 up 19 days, 3 min,  1 user,  load average: 1.78, 1.91, 5.27
2025-09-05T13:17:55+01:00  13:17:55 up 19 days, 3 min,  1 user,  load average: 1.64, 1.88, 5.24
2025-09-05T13:18:00+01:00  13:18:00 up 19 days, 3 min,  1 user,  load average: 1.67, 1.88, 5.22
2025-09-05T13:18:05+01:00  13:18:05 up 19 days, 3 min,  1 user,  load average: 1.53, 1.85, 5.19
2025-09-05T13:18:10+01:00  13:18:10 up 19 days, 3 min,  1 user,  load average: 1.57, 1.85, 5.18
2025-09-05T13:18:15+01:00  13:18:15 up 19 days, 3 min,  1 user,  load average: 1.45, 1.82, 5.15
2025-09-05T13:18:20+01:00  13:18:20 up 19 days, 3 min,  1 user,  load average: 1.33, 1.79, 5.12
2025-09-05T13:18:25+01:00  13:18:25 up 19 days, 4 min,  1 user,  load average: 1.86, 1.89, 5.14
2025-09-05T13:18:30+01:00  13:18:30 up 19 days, 4 min,  1 user,  load average: 1.87, 1.90, 5.12
2025-09-05T13:18:35+01:00  13:18:35 up 19 days, 4 min,  1 user,  load average: 1.72, 1.87, 5.09
2025-09-05T13:18:40+01:00  13:18:40 up 19 days, 4 min,  1 user,  load average: 1.59, 1.83, 5.06
