min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
4315,420451,14054.990833333333,6166.0,21456.24999999997,268444.89,39847.046594853375,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
3762,365356,8554.460833333333,5760.0,14250.699999999997,114255.75,17810.612822980926,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4020,319662,10242.856547122603,6118.0,19032.29999999999,120257.41999999998,22529.12505234336,20.0,19.98,1199,target_rps20.00_iter03_rps19.98_lat.csv
3602,859164,71349.68794326241,44234.0,244699.19999999992,495626.43999999994,98168.53369272815,40.0,39.95,2397,target_rps40.00_iter01_rps39.95_lat.csv
3636,937885,65399.943333333336,35279.0,237524.79999999987,535122.4999999999,96986.22823363525,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
3595,745209,62385.65708333333,40350.5,228012.44999999943,395023.09999999794,82569.86421345657,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
3579,1151375,153229.67833288806,119750.0,422108.29999999964,656964.2199999996,139466.19813536952,60.0,62.38,3743,target_rps60.00_iter01_rps62.38_lat.csv
3383,705734,143807.73497194765,115609.0,392676.8999999999,564005.5399999999,122727.10799879798,60.0,62.38,3743,target_rps60.00_iter02_rps62.38_lat.csv
3905,1415314,141592.94499597533,100977.0,388972.69999999995,826819.7999999968,155188.72183789502,60.0,62.12,3727,target_rps60.00_iter03_rps62.12_lat.csv
3820,2468853,395840.0863554398,297503.0,1026473.5,1634587.7000000041,335707.55277215265,80.0,83.18,4991,target_rps80.00_iter01_rps83.18_lat.csv
3799,1811528,294766.9221352599,243926.0,695414.7999999999,1090353.0000000005,224733.25648172983,80.0,83.05,4983,target_rps80.00_iter02_rps83.05_lat.csv
3841,1332006,240034.98251959012,180479.0,703578.5999999999,1004178.1199999998,213479.67785206225,80.0,82.95,4977,target_rps80.00_iter03_rps82.95_lat.csv
3947,2903666,726320.2617528542,622917.5,1614212.25,2175680.2999999993,469339.2072573158,100.0,99.27,5956,target_rps100.00_iter01_rps99.27_lat.csv
4005,3170751,865659.8333052703,723856.0,2036364.4999999977,2689488.7999999993,579906.5081721357,100.0,98.98,5939,target_rps100.00_iter02_rps98.98_lat.csv
5951,3651525,912371.2887909106,737764.0,2123708.8,2876125.439999999,635394.3625372913,100.0,98.28,5897,target_rps100.00_iter03_rps98.28_lat.csv
5113,13449009,3536358.159090909,2550551.5,7786126.5,8178286.34,2489764.3131350996,120.0,108.53,6512,target_rps120.00_iter01_rps108.53_lat.csv
4235,11053999,4383153.559067198,4598337.0,6678715.3999999985,7247199.789999999,1697992.1377644178,120.0,108.63,6518,target_rps120.00_iter02_rps108.63_lat.csv
4645,10562947,4315598.2758775875,4673490.5,6554677.75,7186591.700000002,1593370.5836269879,120.0,111.1,6666,target_rps120.00_iter03_rps111.10_lat.csv
9091,21932425,7121168.192133131,7459705.0,12020799.45,13177874.589999998,3621911.5954303783,140.0,110.17,6610,target_rps140.00_iter01_rps110.17_lat.csv
5587,23795579,7919100.535161857,7976228.0,14723614.5,15257486.000000002,4421230.178578037,140.0,104.52,6271,target_rps140.00_iter02_rps104.52_lat.csv
11544,23715519,7523513.258475251,8840625.0,14308704.4,15067003.860000001,4610130.173554609,140.0,104.72,6283,target_rps140.00_iter03_rps104.72_lat.csv
