2025-09-06T13:30:56+01:00  13:30:56 up 20 days, 16 min,  1 user,  load average: 0.69, 1.73, 2.41
2025-09-06T13:31:01+01:00  13:31:01 up 20 days, 16 min,  1 user,  load average: 0.72, 1.72, 2.40
2025-09-06T13:31:06+01:00  13:31:06 up 20 days, 16 min,  1 user,  load average: 0.74, 1.71, 2.39
2025-09-06T13:31:11+01:00  13:31:11 up 20 days, 16 min,  1 user,  load average: 0.84, 1.71, 2.39
2025-09-06T13:31:16+01:00  13:31:16 up 20 days, 16 min,  1 user,  load average: 0.85, 1.70, 2.38
2025-09-06T13:31:21+01:00  13:31:21 up 20 days, 16 min,  1 user,  load average: 0.78, 1.67, 2.37
2025-09-06T13:31:26+01:00  13:31:26 up 20 days, 17 min,  1 user,  load average: 0.88, 1.68, 2.36
2025-09-06T13:31:31+01:00  13:31:31 up 20 days, 17 min,  1 user,  load average: 0.81, 1.65, 2.35
2025-09-06T13:31:36+01:00  13:31:36 up 20 days, 17 min,  1 user,  load average: 0.75, 1.62, 2.34
2025-09-06T13:31:41+01:00  13:31:41 up 20 days, 17 min,  1 user,  load average: 0.69, 1.59, 2.33
2025-09-06T13:31:46+01:00  13:31:46 up 20 days, 17 min,  1 user,  load average: 0.63, 1.57, 2.31
2025-09-06T13:31:51+01:00  13:31:51 up 20 days, 17 min,  1 user,  load average: 0.82, 1.59, 2.32
2025-09-06T13:31:56+01:00  13:31:56 up 20 days, 17 min,  1 user,  load average: 0.75, 1.56, 2.30
2025-09-06T13:32:01+01:00  13:32:01 up 20 days, 17 min,  1 user,  load average: 0.69, 1.54, 2.29
2025-09-06T13:32:06+01:00  13:32:06 up 20 days, 17 min,  1 user,  load average: 0.64, 1.51, 2.28
2025-09-06T13:32:11+01:00  13:32:11 up 20 days, 17 min,  1 user,  load average: 0.59, 1.49, 2.27
2025-09-06T13:32:16+01:00  13:32:16 up 20 days, 17 min,  1 user,  load average: 0.54, 1.46, 2.25
