target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,39.98,40.00,40.00,39.99,39.98,40.00,100.0
60.00,62.45,62.42,62.45,62.44,62.42,62.45,104.1
80.00,83.20,83.13,82.93,83.09,82.93,83.20,103.9
100.00,99.68,99.60,99.87,99.72,99.60,99.87,99.7
120.00,124.18,124.18,124.12,124.16,124.12,124.18,103.5
140.00,141.38,141.75,141.60,141.58,141.38,141.75,101.1
160.00,164.46,164.11,164.75,164.44,164.11,164.75,102.8
180.00,196.02,196.36,196.57,196.32,196.02,196.57,109.1
200.00,196.75,196.25,196.50,196.50,196.25,196.75,98.2
220.00,243.13,244.82,245.02,244.32,243.13,245.02,111.1
240.00,245.10,242.48,243.21,243.60,242.48,245.10,101.5
260.00,318.57,317.98,318.33,318.29,317.98,318.57,122.4
280.00,319.48,320.45,318.86,319.60,318.86,320.45,114.1
300.00,319.46,318.85,318.83,319.05,318.83,319.46,106.3
320.00,319.40,318.78,318.25,318.81,318.25,319.40,99.6
340.00,459.45,457.98,457.55,458.33,457.55,459.45,134.8
360.00,458.48,456.96,457.27,457.57,456.96,458.48,127.1
380.00,459.43,456.99,456.04,457.49,456.04,459.43,120.4
400.00,463.85,457.69,459.57,460.37,457.69,463.85,115.1
420.00,458.76,456.95,458.40,458.04,456.95,458.76,109.1
440.00,456.92,458.46,457.22,457.53,456.92,458.46,104.0
460.00,455.10,457.24,460.47,457.60,455.10,460.47,99.5
480.00,460.92,456.72,456.78,458.14,456.72,460.92,95.4
500.00,456.05,451.77,450.38,452.73,450.38,456.05,90.5

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,463.85,400.00
Max Iter2,458.46,440.00
Max Iter3,460.47,460.00
Overall Max,463.85,400.00
Avg of Max,460.93,
