timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-06T15:55:22.258410,2,2,4,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:24.501792,2,2,4,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:26.794942,2,2,4,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:29.040492,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:31.338883,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:33.556309,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:35.785757,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:38.001801,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:40.269286,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:42.520438,2,2,3,24,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:44.802344,2,2,51,38,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:47.069174,2,2,51,38,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:49.410000,2,2,51,38,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:51.672233,2,2,51,38,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:53.896524,2,2,51,38,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:56.112278,2,2,51,38,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:55:58.354513,2,2,65,43,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:56:00.644570,2,2,65,43,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:56:02.897769,2,2,65,43,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:56:05.142131,2,2,65,43,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
2025-09-06T15:56:07.373521,2,2,65,43,"fibonacci-go-c2-00001-deployment-6c49bb7485-77x9c:Ready|fibonacci-go-c2-00001-deployment-6c49bb7485-hqrtw:Ready"
