timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-07T09:42:54.226707,7,7,7,85,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:42:56.554170,7,7,7,85,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:42:58.795065,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:01.053769,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:03.316083,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:05.565319,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:07.803049,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:10.033749,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:12.269724,7,7,8,86,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T09:43:14.518302,7,7,47,103,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
