rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_a1,3,1199.6666666666667,0.5773502691896258,1199,1200,5420.0,837.8263543240927,4459,5997,207324.33333333334,175879.49497975406,100576,410322,24616.165870169585,1639.0459938081954,23200.132610508757,26411.66083333333,22570.333333333332,612.7979547398419,21873.0,23023.0,38566.39999999999,1944.7514159912523,36333.79999999999,39891.69999999997,65971.96333333332,23617.1976667858,43688.17,90728.05999999997,19.994444444444444,0.009622504486493216,19.983333333333334,20.0,1199.6666666666667,5420.0,207324.33333333334,24616.165870169585,22570.333333333332,38566.39999999999,65971.96333333332,19.994444444444444
40,60,fibonacci_nodejs_a1,3,2394.6666666666665,0.5773502691896258,2394,2395,4106.0,161.13038198924497,3957,4277,109608.66666666667,11674.029310111113,101469,122984,23035.15917286838,313.7203557021094,22715.56617954071,23342.657059314955,22608.5,107.01985797037857,22485.0,22674.0,41811.96666666665,704.3101968119732,41012.5,42340.899999999994,59073.976666666604,3243.7916102045892,55973.91999999985,62444.55999999997,39.911111111111104,0.009622504486493216,39.9,39.916666666666664,2394.6666666666665,4106.0,109608.66666666667,23035.15917286838,22608.5,41811.96666666665,59073.976666666604,39.911111111111104
60,60,fibonacci_nodejs_a1,3,3736.6666666666665,3.7859388972001824,3734,3741,3708.3333333333335,296.09514236699886,3465,4038,138330.33333333334,37589.228780773534,108574,180574,21517.045929377604,1066.9199663307045,20391.326727370113,22513.363052208835,21139.833333333332,1219.3088547752507,19877.5,22311.0,44927.18333333333,1158.551716943763,43654.34999999999,45920.2,64946.37333333333,1095.8917286545343,64191.37999999996,66203.34000000004,62.27777777777778,0.06309898162000352,62.233333333333334,62.35,3736.6666666666665,3708.3333333333335,138330.33333333334,21517.045929377604,21139.833333333332,44927.18333333333,64946.37333333333,62.27777777777778
80,60,fibonacci_nodejs_a1,3,4949.666666666667,9.60902353693305,4941,4960,3914.3333333333335,320.3081849302845,3689,4281,165706.33333333334,27441.064435136865,149593,197391,25073.134722347662,2798.3431575876893,22252.735448666128,27848.8875,22913.666666666668,2542.967869111471,20308.5,25389.5,55247.76666666666,3979.754259163922,51123.29999999999,59065.0,85268.21333333333,7244.733736655444,78596.64999999995,92974.79,82.49444444444444,0.16015039228222244,82.35,82.66666666666667,4949.666666666667,3914.3333333333335,165706.33333333334,25073.134722347662,22913.666666666668,55247.76666666666,85268.21333333333,82.49444444444444
100,60,fibonacci_nodejs_a1,3,5911.666666666667,8.144527815247079,5906,5921,3552.3333333333335,343.8900017932091,3192,3877,252999.66666666666,60127.32161283532,183682,291063,27169.828379441413,3150.3765012999297,23534.952710690763,29112.291229258382,22453.666666666668,2703.796281773709,19583.0,24952.0,69098.91666666664,9495.75268321752,60520.0,79301.99999999994,120602.0300000001,21507.569102032652,98347.40000000001,141275.2400000005,98.52777777777779,0.13574213025411838,98.43333333333334,98.68333333333334,5911.666666666667,3552.3333333333335,252999.66666666666,27169.828379441413,22453.666666666668,69098.91666666664,120602.0300000001,98.52777777777779
120,60,fibonacci_nodejs_a1,3,7344.333333333333,11.015141094572204,7337,7357,3364.3333333333335,202.0552729659222,3195,3588,888477.3333333334,364678.5315594179,467458,1105877,76061.38772587776,28601.20733582385,47432.617691154424,104634.9524458373,41735.0,9677.45632901539,30594.0,48055.0,272003.7333333333,135298.65339940868,157001.99999999997,421083.3999999999,420534.04000000004,144075.47579196098,304176.6400000005,581685.8399999999,122.40555555555555,0.18358568490953447,122.28333333333333,122.61666666666666,7344.333333333333,3364.3333333333335,888477.3333333334,76061.38772587776,41735.0,272003.7333333333,420534.04000000004,122.40555555555555
140,60,fibonacci_nodejs_a1,3,7687.666666666667,11.67618659209133,7675,7698,7114.333333333333,810.0323038825879,6218,7794,9992835.0,612533.7039371793,9511498,10682317,2309550.7100330745,218079.69215646185,2117106.949857106,2546423.9374592835,2059887.3333333333,352614.6303375448,1716647.5,2421183.0,5031478.016666666,557538.3060413116,4418102.55,5507508.199999999,6821445.100000001,299253.8171283026,6570838.909999999,7152782.78,128.12777777777777,0.19460310986819032,127.91666666666667,128.3,7687.666666666667,7114.333333333333,9992835.0,2309550.7100330745,2059887.3333333333,5031478.016666666,6821445.100000001,128.12777777777777
160,60,fibonacci_nodejs_a1,3,7710.0,267.7704240576244,7401,7874,6556.333333333333,1074.8071144783762,5870,7795,21469607.333333332,3540263.307040499,17624896,24594922,6264318.931342788,1213988.2174427812,5021789.218186436,7447595.643696798,6346746.666666667,1307891.5219406895,5111234.0,7716641.0,11556895.149999999,1573505.4150357714,10258815.749999998,13306917.0,12738421.466666667,1004815.1875297057,11973682.26,13876459.0,128.5,4.4628404009604035,123.35,131.23333333333332,7710.0,6556.333333333333,21469607.333333332,6264318.931342788,6346746.666666667,11556895.149999999,12738421.466666667,128.5
180,60,fibonacci_nodejs_a1,3,7719.0,154.1557653803451,7569,7877,6030.0,1331.7443448349986,4549,7129,30013299.333333332,5997.028458606257,30006425,30017459,9474797.393167064,474490.2963156759,8952802.76894757,9879955.20788484,9554582.666666666,190700.99125681893,9347375.0,9722728.0,18530138.833333332,1894739.1040841031,16479404.199999997,20215734.8,20805032.37333333,1271353.851658918,19981902.599999998,22269300.28,128.65,2.569262756339081,126.15,131.28333333333333,7719.0,6030.0,30013299.333333332,9474797.393167064,9554582.666666666,18530138.833333332,20805032.37333333,128.65
200,60,fibonacci_nodejs_a1,3,7625.666666666667,57.11683931498077,7574,7687,6889.333333333333,1219.9448074947215,5580,7994,30015365.666666668,10958.037521989661,30002738,30022376,9914463.871003548,510748.03719225695,9531751.36542214,10494422.634143122,9823107.833333334,232554.41511952278,9565826.5,10018354.0,19437530.53333333,1292565.738964705,18464772.4,20904232.2,20873838.886666667,1312877.0306251585,19819792.640000004,22344464.669999998,127.09444444444445,0.9519473219163496,126.23333333333333,128.11666666666667,7625.666666666667,6889.333333333333,30015365.666666668,9914463.871003548,9823107.833333334,19437530.53333333,20873838.886666667,127.09444444444445
220,60,fibonacci_nodejs_a1,3,7422.666666666667,71.45161533046915,7342,7478,6108.333333333333,1184.726691407488,4813,7137,30041265.333333332,21543.162867446677,30020013,30063088,14012078.368990675,165767.55506710484,13869820.645055844,14194116.821610056,13953419.666666666,453267.1201734506,13457176.0,14345617.0,27025018.21666667,484906.93432064186,26467845.449999996,27351600.6,29086260.40666665,808967.6563975208,28475123.06,30003639.53,123.71111111111111,1.1908602555078265,122.36666666666666,124.63333333333334,7422.666666666667,6108.333333333333,30041265.333333332,14012078.368990675,13953419.666666666,27025018.21666667,29086260.40666665,123.71111111111111
