target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,19.98,20.00,19.99,19.98,20.00,100.0
40.00,39.98,39.95,40.00,39.98,39.95,40.00,99.9
60.00,62.30,62.35,62.35,62.33,62.30,62.35,103.9
80.00,82.90,82.88,83.05,82.94,82.88,83.05,103.7
100.00,99.17,99.35,98.98,99.17,98.98,99.35,99.2
120.00,122.50,122.17,122.91,122.53,122.17,122.91,102.1
140.00,126.90,131.36,130.97,129.74,126.90,131.36,92.7
160.00,126.17,128.13,127.55,127.28,126.17,128.13,79.6
180.00,127.70,121.00,125.73,124.81,121.00,127.70,69.3
200.00,126.63,126.62,127.29,126.85,126.62,127.29,63.4
220.00,126.22,122.73,122.06,123.67,122.06,126.22,56.2
240.00,118.93,120.16,121.70,120.26,118.93,121.70,50.1
260.00,112.28,105.59,109.00,108.96,105.59,112.28,41.9
280.00,107.50,105.68,104.40,105.86,104.40,107.50,37.8
300.00,104.35,101.28,96.93,100.85,96.93,104.35,33.6
320.00,102.42,99.32,100.94,100.89,99.32,102.42,31.5
340.00,100.92,89.50,93.67,94.70,89.50,100.92,27.9
360.00,91.27,90.70,96.52,92.83,90.70,96.52,25.8
380.00,88.27,92.87,97.48,92.87,88.27,97.48,24.4
400.00,91.03,93.22,83.83,89.36,83.83,93.22,22.3
420.00,96.03,95.95,88.69,93.56,88.69,96.03,22.3
440.00,83.02,96.42,94.58,91.34,83.02,96.42,20.8
460.00,104.13,91.88,88.81,94.94,88.81,104.13,20.6
480.00,90.78,102.68,124.66,106.04,90.78,124.66,22.1
500.00,62.65,92.36,86.57,80.53,62.65,92.36,16.1

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,127.70,180.00
Max Iter2,131.36,140.00
Max Iter3,130.97,140.00
Overall Max,131.36,140.00
Avg of Max,130.01,
