min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5594,174752,23844.790833333333,22040.0,37111.049999999996,63919.649999999994,12174.163600171854,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4991,75901,22020.02502085071,22793.0,37167.099999999955,46346.35999999999,9227.971679200939,19.983333333333334,19.983333333333334,1199,target_rps20.00_iter02_rps19.98_lat.csv
5589,110243,25408.694166666668,24102.5,38551.09999999999,48810.21,8112.112942936998,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
5053,91208,25754.190496040017,24362.0,44086.899999999994,54869.34,10567.206736766677,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
4590,80182,23220.143929912392,23050.0,42682.79999999996,55819.19999999998,11563.068985034533,39.95,39.95,2397,target_rps40.00_iter02_rps39.95_lat.csv
3858,82210,22945.934166666666,22741.5,42817.94999999999,56815.44999999997,11665.600785886081,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
4503,249752,26314.74023542001,23988.0,52301.24999999997,87115.69000000003,17995.14146871514,62.3,62.3,3738,target_rps60.00_iter01_rps62.30_lat.csv
4318,163809,27562.506549051057,25911.0,53038.0,79381.79999999996,15520.075479292713,62.35,62.35,3741,target_rps60.00_iter02_rps62.35_lat.csv
4478,148153,25277.186313819835,24265.0,49018.0,70749.79999999999,14782.597082530789,62.35,62.35,3741,target_rps60.00_iter03_rps62.35_lat.csv
3731,246429,28624.01065540812,24732.5,62591.69999999999,146040.66999999975,24920.001014651913,82.9,82.9,4974,target_rps80.00_iter01_rps82.90_lat.csv
3086,124665,23967.712045043234,22016.0,56648.39999999999,76118.95999999993,17636.768737613234,82.88333333333334,82.88333333333334,4973,target_rps80.00_iter02_rps82.88_lat.csv
4091,429927,30889.168773831025,25318.0,64246.19999999998,209904.80000000086,35959.5853205018,83.05,83.05,4983,target_rps80.00_iter03_rps83.05_lat.csv
4210,269995,31419.816638655462,26824.0,75161.90000000001,116052.60000000006,25245.35762650052,99.16666666666667,99.16666666666667,5950,target_rps100.00_iter01_rps99.17_lat.csv
3840,194313,28782.397416540847,25352.0,70347.0,106344.59999999996,22576.210955831684,99.35,99.35,5961,target_rps100.00_iter02_rps99.35_lat.csv
3991,317614,33554.99781107931,27883.0,82948.19999999995,143261.51999999973,28965.755900171553,98.98333333333333,98.98333333333333,5939,target_rps100.00_iter03_rps98.98_lat.csv
3320,932993,98432.06979591837,56696.5,305643.8499999998,597584.4800000002,111627.3856780559,122.5,122.5,7350,target_rps120.00_iter01_rps122.50_lat.csv
3720,1118577,143973.59140518418,76141.5,421325.0,597150.6000000001,152891.12304391438,122.16666666666667,122.16666666666667,7330,target_rps120.00_iter02_rps122.17_lat.csv
3659,960512,137105.20623728813,88448.0,409665.49999999965,511080.9200000001,132399.57794816204,122.91666666666667,122.91666666666667,7375,target_rps120.00_iter03_rps122.91_lat.csv
7777,12362657,2641052.523771999,2554931.0,5686814.549999999,6762667.899999999,1672866.9534156749,126.9,126.9,7614,target_rps140.00_iter01_rps126.90_lat.csv
6113,9383378,2011603.398502918,1683818.0,4068938.3499999996,5068858.949999999,1211878.721089575,131.36666666666667,131.36666666666667,7882,target_rps140.00_iter02_rps131.36_lat.csv
8673,8700229,1850520.8656146603,1445964.0,4502342.8,4926372.2700000005,1284036.0047183563,130.96666666666667,130.96666666666667,7858,target_rps140.00_iter03_rps130.97_lat.csv
6956,24759099,5878465.222721268,5760077.0,12629522.099999998,13111605.089999996,4029642.582440581,126.16666666666667,126.16666666666667,7570,target_rps160.00_iter01_rps126.17_lat.csv
8407,26394995,6058356.771852237,5201569.5,12949035.199999986,14573703.08,3744333.6628943835,128.13333333333333,128.13333333333333,7688,target_rps160.00_iter02_rps128.13_lat.csv
7961,23037199,6302880.019205644,6170990.5,12206831.899999997,14740103.170000002,3682137.9676365107,127.56666666666666,127.56666666666666,7654,target_rps160.00_iter03_rps127.55_lat.csv
8887,30003028,9840928.253945481,9693370.0,18714583.799999997,20735154.76,5581635.816339491,127.78333333333333,127.78333333333333,7667,target_rps180.00_iter01_rps127.70_lat.csv
7526,30013539,11043148.728109965,10528189.0,21187530.599999998,23546095.720000003,6242426.999702688,121.25,121.25,7275,target_rps180.00_iter02_rps121.00_lat.csv
5754,30008776,10688207.536527263,10859294.5,21149668.75,21763958.95,6505466.947988449,125.93333333333334,125.93333333333334,7556,target_rps180.00_iter03_rps125.73_lat.csv
8625,30010773,10550540.474106204,10107447.0,20077500.1,21063010.14,5889608.252702096,126.8,126.8,7608,target_rps200.00_iter01_rps126.63_lat.csv
8535,30005598,9730842.706810413,8421678.5,20408052.0,21946199.849999998,6165285.675593647,126.76666666666667,126.76666666666667,7606,target_rps200.00_iter02_rps126.62_lat.csv
