target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,19.03,19.95,20.00,19.66,19.03,20.00,98.3
40.00,39.83,39.80,39.77,39.80,39.77,39.83,99.5
60.00,61.73,61.80,61.48,61.67,61.48,61.80,102.8
80.00,81.10,81.50,81.18,81.26,81.10,81.50,101.6
100.00,95.88,96.37,96.58,96.28,95.88,96.58,96.3
120.00,116.71,116.83,118.09,117.21,116.71,118.09,97.7
140.00,133.81,131.15,130.72,131.89,130.72,133.81,94.2
160.00,146.59,145.74,148.66,147.00,145.74,148.66,91.9
180.00,166.93,167.66,170.40,168.33,166.93,170.40,93.5
200.00,164.95,169.25,167.97,167.39,164.95,169.25,83.7
220.00,197.00,197.05,193.34,195.80,193.34,197.05,89.0
240.00,191.58,200.13,192.92,194.88,191.58,200.13,81.2
260.00,242.78,236.79,225.21,234.93,225.21,242.78,90.4
280.00,232.26,232.56,230.06,231.63,230.06,232.56,82.7
300.00,235.21,235.58,230.98,233.92,230.98,235.58,78.0
320.00,245.24,227.73,234.90,235.96,227.73,245.24,73.7
340.00,259.25,259.65,259.67,259.52,259.25,259.67,76.3
360.00,264.34,261.74,257.22,261.10,257.22,264.34,72.5
380.00,258.17,252.45,256.74,255.79,252.45,258.17,67.3
400.00,261.71,259.85,257.79,259.78,257.79,261.71,64.9
420.00,255.65,253.23,257.84,255.57,253.23,257.84,60.9
440.00,259.00,258.36,257.76,258.37,257.76,259.00,58.7
460.00,258.02,259.50,255.23,257.58,255.23,259.50,56.0
480.00,257.63,259.30,256.40,257.78,256.40,259.30,53.7
500.00,255.46,257.80,254.44,255.90,254.44,257.80,51.2

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,264.34,360.00
Max Iter2,261.74,360.00
Max Iter3,259.67,340.00
Overall Max,264.34,360.00
Avg of Max,261.92,
