min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5725,187094,10140.3775,8462.5,18896.799999999992,28352.94,7884.019411970463,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5728,48751,10369.68,8809.5,20461.649999999998,33327.14,4972.396379439864,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5522,104992,10530.78,8767.0,20749.199999999997,33766.4,6093.872626931636,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4440,70408,9513.234166666667,8046.5,18594.59999999997,30397.619999999984,4961.413681284059,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4682,105565,9661.309166666666,8149.0,19217.349999999988,31986.1599999999,5315.667559229913,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4297,59062,9090.089658048373,7703.0,17509.200000000004,26668.09000000004,4496.7985670562,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
3856,111562,8820.388621794871,7121.0,19456.35,30569.660000000007,5374.3071609604995,62.4,62.4,3744,target_rps60.00_iter01_rps62.40_lat.csv
4061,69179,8938.831910352188,7302.0,18803.6,30508.259999999966,5146.453333521556,62.46666666666667,62.46666666666667,3748,target_rps60.00_iter02_rps62.47_lat.csv
4307,115407,9493.40181430096,7717.0,20044.549999999996,35251.00999999989,6187.177872060006,62.46666666666667,62.46666666666667,3748,target_rps60.00_iter03_rps62.47_lat.csv
3733,139450,9115.247186495177,7011.0,20599.0,35447.75,6845.632153598935,82.93333333333334,82.93333333333334,4976,target_rps80.00_iter01_rps82.91_lat.csv
3595,136276,8456.712224448898,6804.5,18582.100000000013,31628.499999999985,6015.035599785277,83.16666666666667,83.16666666666667,4990,target_rps80.00_iter02_rps83.17_lat.csv
3577,146370,8895.333734456479,6996.5,20262.25,32530.199999999582,6246.000311513695,83.1,83.1,4986,target_rps80.00_iter03_rps83.10_lat.csv
