timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-05T11:43:54.269650,8,8,9,327,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:43:56.585738,8,8,9,327,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:43:58.881809,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:01.229815,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:03.528575,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:05.833750,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:08.173158,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:10.455973,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:12.810373,8,8,52,311,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:15.194164,8,8,91,325,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:17.492975,8,8,91,325,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:19.777879,8,8,91,325,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:22.096706,8,8,91,325,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
2025-09-05T11:44:24.381092,8,8,91,325,"fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-2skks:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-79tf7:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-8nslf:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-9hkw5:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-f9jjp:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-lt29b:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-t75j4:Ready|fibonacci-nodejs-b4-00001-deployment-68d76fbfc6-tptlc:Ready"
