rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_b4,3,1200.0,0.0,1200,1200,5756.333333333333,299.4066354196803,5433,6024,313177.0,220327.30756535832,177464,567395,11236.738333333333,2142.3525481661572,9896.820833333333,13707.569166666666,8092.5,218.92978326394973,7843.0,8252.5,17796.883333333328,1931.723888352922,15755.899999999994,19596.699999999993,90844.2166666665,83879.33945300622,38844.03999999998,187609.61999999994,20.0,0.0,20.0,20.0,1200.0,5756.333333333333,313177.0,11236.738333333333,8092.5,17796.883333333328,90844.2166666665,20.0
40,60,fibonacci_nodejs_b4,3,2400.0,0.0,2400,2400,5080.666666666667,8.082903768654761,5072,5088,586555.6666666666,152914.48490033025,410751,688684,9226.385,168.12530377967255,9080.568333333333,9410.285416666668,7113.5,36.065911883661,7080.5,7152.0,13444.71666666665,525.2789266982975,12972.349999999999,14010.399999999965,38229.146666666435,2490.3265057082876,35451.149999999805,40261.399999999805,40.0,0.0,40.0,40.0,2400.0,5080.666666666667,586555.6666666666,9226.385,7113.5,13444.71666666665,38229.146666666435,40.0
60,60,fibonacci_nodejs_b4,3,3747.0,2.0,3745,3749,4925.333333333333,159.0167706040257,4744,5041,579422.6666666666,347761.1425451862,319935,974567,9967.958334782457,1864.0145154897748,8731.07868765004,12111.89698425407,7024.666666666667,68.97342483401367,6950.0,7086.0,15464.199999999992,1960.1514941452886,14269.599999999991,17726.399999999994,61089.75333333325,38409.001451005424,37810.519999999786,105422.01999999996,62.449999999999996,0.029999999999997584,62.42,62.48,3747.0,4925.333333333333,579422.6666666666,9967.958334782457,7024.666666666667,15464.199999999992,61089.75333333325,62.449999999999996
80,60,fibonacci_nodejs_b4,3,4991.666666666667,5.859465277082315,4985,4996,4618.0,117.84311604841413,4516,4747,965375.6666666666,584951.5248098199,550851,1634477,10524.27594188281,1099.471959878669,9291.364237084501,11403.001000800641,6549.166666666667,75.41938300817193,6464.0,6607.5,15376.466666666669,1934.830841658608,14148.25,17606.80000000001,85148.05666666695,19482.70290741543,73279.29999999986,107633.11999999968,83.19333333333333,0.10016652800877829,83.08,83.27,4991.666666666667,4618.0,965375.6666666666,10524.27594188281,6549.166666666667,15376.466666666669,85148.05666666695,83.19333333333333
100,60,fibonacci_nodejs_b4,3,5972.666666666667,7.234178138070236,5968,5981,4559.333333333333,101.68742957383343,4484,4675,1195883.6666666667,262684.4111882799,896323,1386903,12624.225195868006,1237.8608397444593,11807.692075724577,14048.49111930295,6824.166666666667,186.16278718727148,6654.0,7023.0,19931.466666666656,2023.542342856557,17603.199999999968,21266.199999999997,136040.07333333296,20435.633342790028,113751.47999999911,153894.73999999996,99.54333333333334,0.11846237095944895,99.47,99.68,5972.666666666667,4559.333333333333,1195883.6666666667,12624.225195868006,6824.166666666667,19931.466666666656,136040.07333333296,99.54333333333334
120,60,fibonacci_nodejs_b4,3,7447.333333333333,11.239810200058244,7435,7457,4303.0,10.535653752852738,4293,4314,859704.6666666666,280003.38098732545,541837,1069844,11958.068110827951,1567.7798031629166,10851.80863618077,13752.195830531271,6402.0,25.865034312755125,6379.0,6430.0,20268.98333333332,3206.0245766109388,17918.39999999999,23921.099999999988,145538.9733333329,36418.16721540151,115727.14000000009,186129.97999999998,124.12333333333333,0.1844812546936226,123.92,124.28,7447.333333333333,4303.0,859704.6666666666,11958.068110827951,6402.0,20268.98333333332,145538.9733333329,124.12333333333333
140,60,fibonacci_nodejs_b4,3,8467.666666666666,20.256686138984662,8445,8484,4324.666666666667,95.34323957855288,4225,4415,661767.0,57706.683261126695,596278,705163,12269.585195256956,867.6201101673863,11616.759145621902,13254.123031379515,6562.333333333333,156.83537016034788,6397.0,6709.0,23883.749999999953,2486.752681208976,21656.64999999997,26566.99999999997,145837.89666666693,28701.64415506879,120309.91000000107,176905.59999999963,141.12666666666667,0.3370954365359072,140.75,141.4,8467.666666666666,4324.666666666667,661767.0,12269.585195256956,6562.333333333333,23883.749999999953,145837.89666666693,141.12666666666667
160,60,fibonacci_nodejs_b4,3,9848.0,26.0,9832,9878,4246.333333333333,13.316656236958787,4235,4261,1111012.0,740093.2576148765,571834,1954799,14602.086131204653,814.4639524788572,13898.16541810083,15494.160598047192,6843.166666666667,187.54355049783325,6627.0,6962.5,41599.799999999894,8327.075603565627,32666.949999999968,49147.34999999967,185527.79666666687,5911.441936146812,178715.34000000005,189305.47000000064,164.13,0.4334743360338565,163.86,164.63,9848.0,4246.333333333333,1111012.0,14602.086131204653,6843.166666666667,41599.799999999894,185527.79666666687,164.13
180,60,fibonacci_nodejs_b4,3,11740.0,7.937253933193772,11734,11749,4200.666666666667,54.92115560813823,4140,4247,744367.6666666666,90144.3325413935,640807,805225,19312.60951547334,1938.9759322154173,17081.79935247508,20593.066643940685,7434.833333333333,295.06877729324964,7148.0,7737.5,75563.21666666669,8016.102661570274,66387.19999999997,81204.05,232318.9866666666,31004.11988485004,201335.15999999957,263343.3600000002,195.67,0.13076696830620888,195.58,195.82,11740.0,4200.666666666667,744367.6666666666,19312.60951547334,7434.833333333333,75563.21666666669,232318.9866666666,195.67
200,60,fibonacci_nodejs_b4,3,11690.0,50.714889332423866,11654,11748,4246.0,193.65174928205528,4025,4386,1026893.0,290991.8200448253,805769,1356554,23087.753036966915,2001.694736936464,21068.63032005448,25071.552256735886,7961.5,480.46644003509755,7425.5,8353.5,93252.8333333333,14071.365998396699,80462.79999999992,108326.25000000001,288373.3799999994,13752.802106738569,274930.02999999985,302416.0400000007,194.8133333333333,0.8364408725865493,194.22,195.77,11690.0,4246.0,1026893.0,23087.753036966915,7961.5,93252.8333333333,288373.3799999994,194.8133333333333
220,60,fibonacci_nodejs_b4,3,14290.333333333334,84.71324178269495,14200,14368,4176.0,157.90186826000507,4012,4327,920230.6666666666,110140.12595931301,794425,999275,39746.61934617444,2003.3903461840623,37433.70824053452,40940.55212193246,15712.166666666666,1267.6389798887274,14307.5,16771.0,147277.84999999998,6927.80743399379,140092.99999999997,153916.2499999999,323710.74666666664,31263.18484646343,292873.69999999995,355383.3200000002,238.17333333333332,1.4113941098549865,236.67,239.47,14290.333333333334,4176.0,920230.6666666666,39746.61934617444,15712.166666666666,147277.84999999998,323710.74666666664,238.17333333333332
240,60,fibonacci_nodejs_b4,3,14374.0,60.852280154485584,14305,14420,4280.666666666667,104.84432904708453,4209,4401,862104.3333333334,52462.269854947495,801556,894026,37848.35680273952,1222.469606162829,36541.318030513175,38963.5786622213,14803.666666666666,1009.4911259309481,13842.0,15855.0,140521.76666666658,8222.540802168953,131355.6999999999,147248.99999999985,307399.61999999965,19267.38561365256,296271.3399999998,329647.67999999924,239.55999999999997,1.0073231854772462,238.42,240.33,14374.0,4280.666666666667,862104.3333333334,37848.35680273952,14803.666666666666,140521.76666666658,307399.61999999965,239.55999999999997
260,60,fibonacci_nodejs_b4,3,18275.0,81.2219182240853,18218,18368,4281.0,93.06449376641986,4186,4372,1279275.3333333333,235554.84830148015,1007307,1418577,62804.685365033365,2654.994138085584,61205.080847125435,65869.42535226712,43176.666666666664,824.0542053368415,42684.0,44128.0,185612.89999999982,10422.738096464911,179162.4499999999,197637.3999999999,376449.63666666625,27031.678194818865,357048.36999999976,407325.8399999999,304.57666666666665,1.3479737880735418,303.63,306.12,18275.0,4281.0,1279275.3333333333,62804.685365033365,43176.666666666664,185612.89999999982,376449.63666666625,304.57666666666665
280,60,fibonacci_nodejs_b4,3,18263.0,81.6639455328972,18176,18338,4246.666666666667,185.618784968907,4139,4461,1233101.3333333333,671072.1246850694,717194,1991772,62394.447829358694,2964.142531569865,59008.66686730506,64521.511553697186,42770.333333333336,908.6083222892763,41778.0,43561.5,188960.73333333328,12339.845953286153,174862.69999999998,197800.25,367858.97666666657,35064.320883214714,328054.3399999997,394180.0,304.37999999999994,1.361065758881613,302.93,305.63,18263.0,4246.666666666667,1233101.3333333333,62394.447829358694,42770.333333333336,188960.73333333328,367858.97666666657,304.37999999999994
300,60,fibonacci_nodejs_b4,3,18259.666666666668,21.501937897160182,18236,18278,4174.666666666667,184.1855948040816,3973,4334,1303508.0,270927.20590594073,1020028,1559838,62612.01513004614,1276.6003979629995,61657.80044966001,64062.16632016632,42011.333333333336,216.21883205061795,41765.5,42172.0,189632.73333333328,5713.733463623678,183878.79999999996,195305.3999999999,395802.3600000005,27054.792132980965,365139.9000000001,416312.5799999996,304.32666666666665,0.35921210076127824,303.93,304.63,18259.666666666668,4174.666666666667,1303508.0,62612.01513004614,42011.333333333336,189632.73333333328,395802.3600000005,304.32666666666665
320,60,fibonacci_nodejs_b4,3,18268.0,96.57639463140049,18162,18351,4127.666666666667,149.07827921375176,3990,4286,1088372.3333333333,140970.01959754893,952357,1233823,65360.111595200586,3454.6322588013386,62213.51604614291,69056.77612597731,43963.0,2227.6990371232823,41994.0,46381.0,195993.58333333337,6666.023628883563,190500.5,203409.7500000001,393986.78333333327,6775.160054259551,386444.89999999985,399558.5,304.45,1.6108072510390423,302.68,305.83,18268.0,4127.666666666667,1088372.3333333333,65360.111595200586,43963.0,195993.58333333337,393986.78333333327,304.45
340,60,fibonacci_nodejs_b4,3,25640.333333333332,76.39589866827495,25588,25728,4348.333333333333,299.6903957976187,4024,4615,1157700.0,266965.148646785,879972,1412412,90547.01272475945,2856.384371242753,87457.15562810945,93091.20050771334,67897.83333333333,1732.5057238962686,65911.5,69097.0,249833.06666666653,13308.097385645955,236362.9499999997,262972.99999999994,440184.41999999975,20550.330221587574,417028.50999999983,456253.3599999994,427.3066666666667,1.2971250260993932,426.46,428.8,25640.333333333332,4348.333333333333,1157700.0,90547.01272475945,67897.83333333333,249833.06666666653,440184.41999999975,427.3066666666667
360,60,fibonacci_nodejs_b4,3,25369.666666666668,147.33069379234365,25204,25486,4403.333333333333,167.93550349266033,4217,4543,1400929.3333333333,370608.45544905384,1022203,1762848,93538.51149972215,739.0217800979509,92817.38097486133,94294.21125323707,69500.16666666667,542.4924730660632,68984.5,70066.0,257424.56666666662,3153.5246381364145,254597.0,260825.4,459815.7533333341,17590.204797493458,441638.31999999983,476753.10000000143,422.6766666666667,2.714209522740135,419.61,424.77,25369.666666666668,4403.333333333333,1400929.3333333333,93538.51149972215,69500.16666666667,257424.56666666662,459815.7533333341,422.6766666666667
380,60,fibonacci_nodejs_b4,3,25400.666666666668,60.69870948655608,25343,25464,4556.0,182.7812900709479,4348,4691,1124901.6666666667,208360.8542992981,903366,1316945,94003.84002294242,2508.3779604720635,91202.54121453656,96042.06587911006,70306.5,1796.4068998976818,68249.0,71563.5,259635.81666666656,8107.3892644817615,251801.19999999987,267990.89999999997,441371.6299999999,14787.85836462819,428206.8899999998,457371.96,423.01,0.557584074378024,422.38,423.44,25400.666666666668,4556.0,1124901.6666666667,94003.84002294242,70306.5,259635.81666666656,441371.6299999999,423.01
400,60,fibonacci_nodejs_b4,3,25414.0,99.2320512737694,25300,25481,4435.333333333333,128.5392287721275,4289,4530,1063873.0,218929.43230411026,929626,1316505,92716.1201409666,7051.87728368662,86709.29007905138,100480.57158006362,69301.16666666667,3179.259282180888,66454.5,72732.0,254854.71666666667,28307.545228098345,232138.15,286567.0,437962.0766666669,48292.20603598099,387329.02999999997,483511.2,423.56666666666666,1.650828075037897,421.67,424.68,25414.0,4435.333333333333,1063873.0,92716.1201409666,69301.16666666667,254854.71666666667,437962.0766666669,423.56666666666666
