min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
5510,726355,16409.851666666666,8231.0,19591.55,279523.4699999997,55772.17581262778,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
6084,253576,10698.185,8232.0,16660.699999999997,54017.16999999992,14332.354261568764,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5803,288375,9725.1725,7676.0,15197.849999999986,80192.41999999993,13344.442766100943,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
5123,533543,10414.221759066277,7490.0,17032.899999999998,80064.95999999999,21086.048841214088,40.0,39.98,2399,target_rps40.00_iter01_rps39.98_lat.csv
5213,274783,9209.248333333333,7612.5,14789.849999999973,34038.849999999766,10095.969626208795,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
5212,359133,9912.802083333334,7605.5,16399.64999999998,56889.56999999956,14931.583413676495,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
4919,804539,12663.173169428113,7586.0,20672.199999999997,113079.97000000045,36038.44091297065,60.0,62.37,3742,target_rps60.00_iter01_rps62.37_lat.csv
5049,379919,10605.537620064035,7274.0,18027.649999999994,98714.29999999842,19504.412964973933,60.0,62.47,3748,target_rps60.00_iter02_rps62.47_lat.csv
4955,343290,9296.86335735255,7295.0,16458.499999999985,46054.43999999986,11613.294015368205,60.0,62.45,3747,target_rps60.00_iter03_rps62.45_lat.csv
4771,444709,9251.220352564103,6819.5,15263.349999999999,62154.400000000096,16028.669549365564,80.0,83.2,4992,target_rps80.00_iter01_rps83.20_lat.csv
4584,546087,10983.260381143431,6983.0,19143.200000000015,99361.19999999994,24292.623522485603,80.0,83.08,4985,target_rps80.00_iter02_rps83.08_lat.csv
4475,413045,9917.429631114675,7123.5,18806.149999999994,73345.29000000001,15505.07512624396,80.0,83.13,4988,target_rps80.00_iter03_rps83.13_lat.csv
4596,638311,10369.604791422349,6834.0,17605.399999999994,96523.07999999999,22908.13849457798,100.0,99.48,5969,target_rps100.00_iter01_rps99.48_lat.csv
4531,1433163,14342.704339051463,7085.5,21536.0,143788.1500000001,60869.43737688544,100.0,99.1,5946,target_rps100.00_iter02_rps99.10_lat.csv
4584,494057,10117.653775322284,6780.0,17860.399999999958,90363.68,19811.894135195063,100.0,99.55,5973,target_rps100.00_iter03_rps99.55_lat.csv
4565,881481,10899.996471705794,6669.0,20092.799999999985,99279.07999999946,27117.38740602252,120.0,122.82,7369,target_rps120.00_iter01_rps122.82_lat.csv
4494,462109,11164.000675128274,6841.0,21281.25,104965.09999999989,23173.05615644221,120.0,123.43,7406,target_rps120.00_iter02_rps123.43_lat.csv
4509,818157,13159.377625201938,6751.5,22845.499999999996,178144.92999999967,36610.63372055363,120.0,123.8,7428,target_rps120.00_iter03_rps123.80_lat.csv
4382,1139731,10984.17103870133,6627.0,19882.0,121369.0,25601.89886429578,140.0,141.68,8501,target_rps140.00_iter01_rps141.68_lat.csv
4468,1117906,13353.189594148183,6703.5,20572.75,166886.75,47475.32421423134,140.0,141.27,8476,target_rps140.00_iter02_rps141.27_lat.csv
4524,1040848,13585.582998344762,6775.5,22877.899999999954,193837.97000000026,40014.667795076384,140.0,140.96,8458,target_rps140.00_iter03_rps140.96_lat.csv
4412,756905,11711.77862362972,6789.0,21352.24999999997,119057.61999999997,28645.00647540975,160.0,164.21,9852,target_rps160.00_iter01_rps164.21_lat.csv
4131,714463,13453.969204187417,6901.0,28131.800000000017,171185.06000000008,35278.57530100086,160.0,163.98,9839,target_rps160.00_iter02_rps163.98_lat.csv
4251,465671,11390.462005463927,6663.0,22367.5,120883.16000000012,24761.82314648582,160.0,164.72,9883,target_rps160.00_iter03_rps164.72_lat.csv
4389,568448,13507.848899922952,7486.0,35957.0,145096.20000000022,26532.537885381113,180.0,194.68,11681,target_rps180.00_iter01_rps194.68_lat.csv
4240,974383,14822.620011911853,7330.0,40311.8,175319.3599999985,38687.89068154884,180.0,195.88,11753,target_rps180.00_iter02_rps195.88_lat.csv
4201,1005394,15753.710159700986,7302.0,51859.35,191095.87999999966,38853.21487919786,180.0,196.18,11772,target_rps180.00_iter03_rps196.18_lat.csv
4299,1008913,13132.076388300127,7240.0,28496.499999999945,135316.33999999939,33577.39034586377,200.0,196.58,11795,target_rps200.00_iter01_rps196.58_lat.csv
4359,1303649,18341.853276595746,7546.0,53421.44999999997,259535.3800000001,55520.304115709376,200.0,195.83,11750,target_rps200.00_iter02_rps195.83_lat.csv
4268,1241703,15735.458635703919,7267.0,44227.399999999994,194397.2399999998,46115.59782495351,200.0,195.2,11713,target_rps200.00_iter03_rps195.20_lat.csv
4219,699833,20032.10885989011,8448.5,75498.14999999997,232790.77999999997,43311.03193529687,220.0,242.66,14560,target_rps220.00_iter01_rps242.66_lat.csv
4410,812945,21049.480396231644,8555.0,79805.5,251454.05,46939.463568575964,220.0,240.6,14436,target_rps220.00_iter02_rps240.60_lat.csv
4653,742579,25023.521214642264,9112.5,96103.0499999999,313357.2500000002,55309.212080429716,220.0,240.4,14424,target_rps220.00_iter03_rps240.40_lat.csv
4496,739476,23801.972700750208,9268.5,94711.0,259568.09999999971,49359.58363588287,240.0,239.93,14396,target_rps240.00_iter01_rps239.93_lat.csv
4581,1197538,27700.904270262676,10647.5,106964.14999999994,291330.18999999954,52660.45815553278,240.0,237.3,14238,target_rps240.00_iter02_rps237.30_lat.csv
4431,1325541,26801.25711694111,9593.0,109716.29999999987,292606.430000001,55375.30944525418,240.0,238.86,14332,target_rps240.00_iter03_rps238.86_lat.csv
4174,925036,50651.328465171835,25626.0,172810.3999999999,404856.7199999999,75410.02013387975,260.0,306.98,18419,target_rps260.00_iter01_rps306.98_lat.csv
4688,1441650,47335.034073754585,24546.0,156109.55,351610.1999999996,72600.275820263,260.0,309.12,18548,target_rps260.00_iter02_rps309.12_lat.csv
4412,726804,45869.134105161604,23551.0,154415.20000000016,350069.559999999,64454.489586894444,260.0,310.95,18657,target_rps260.00_iter03_rps310.95_lat.csv
4405,949964,46569.579815411504,24289.0,155921.0,332147.8000000003,66105.79868838942,280.0,305.18,18311,target_rps280.00_iter01_rps305.18_lat.csv
4439,2576593,46351.569934994586,22616.0,156956.44999999998,369172.56999999995,73080.1086638512,280.0,307.65,18460,target_rps280.00_iter02_rps307.65_lat.csv
4770,898806,49526.66019147278,27355.5,164745.75,354778.3499999979,67685.39903821996,280.0,299.43,17966,target_rps280.00_iter03_rps299.43_lat.csv
4521,832031,44523.423133315235,22801.0,151486.89999999997,323205.66000000044,62572.516954069,300.0,306.92,18415,target_rps300.00_iter01_rps306.92_lat.csv
4327,660601,42413.16834266456,22899.0,143219.40000000014,273090.20000000036,53277.87705128553,300.0,306.62,18397,target_rps300.00_iter02_rps306.62_lat.csv
4255,822471,43367.063980914165,21818.0,147365.5999999998,320170.2199999995,61358.47579058619,300.0,307.37,18443,target_rps300.00_iter03_rps307.37_lat.csv
4290,871632,46828.67357765387,24017.0,157224.79999999976,357135.43999999826,68388.97581785718,320.0,307.88,18473,target_rps320.00_iter01_rps307.88_lat.csv
4345,892345,43231.76027618945,21685.5,144128.64999999988,323773.8600000017,62060.702123817726,320.0,308.96,18538,target_rps320.00_iter02_rps308.96_lat.csv
4321,901731,44103.16524554776,22585.5,149368.09999999995,321606.89999999985,62575.29071038036,320.0,308.83,18530,target_rps320.00_iter03_rps308.83_lat.csv
4438,1479946,72058.01312067882,52938.5,195040.25,386567.8000000003,79849.85664717248,340.0,424.26,25456,target_rps340.00_iter01_rps424.26_lat.csv
4379,862676,70802.86299535177,53297.0,192412.5,360791.75000000047,69185.15131468067,340.0,423.1,25386,target_rps340.00_iter02_rps423.10_lat.csv
4289,1001075,75321.66111067226,55724.5,206344.19999999946,415875.2399999988,79360.84585691773,340.0,421.97,25318,target_rps340.00_iter03_rps421.97_lat.csv
4449,891773,72855.90775083215,55094.5,196358.5,355617.1500000008,70169.77874775638,360.0,420.57,25236,target_rps360.00_iter01_rps420.57_lat.csv
