min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
4946,454469,15433.326666666666,7106.0,56552.999999999985,159120.60999999993,32966.75828704761,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4715,722744,13985.3275,6802.5,16707.699999999997,264197.3499999999,49900.54067897037,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4872,413018,12487.395,7037.5,25190.04999999991,110914.94999999995,27720.7148872579,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4441,624173,53709.895702962036,22081.0,172328.19999999998,316091.47999999975,67515.38498893709,40.0,39.95,2397,target_rps40.00_iter01_rps39.95_lat.csv
4203,1201971,85533.68056713928,47123.0,273909.15,726801.2600000007,130449.89573459428,40.0,39.97,2398,target_rps40.00_iter02_rps39.97_lat.csv
4041,1087125,47902.528333333335,15100.0,186232.5499999998,288502.5299999998,65298.66820492358,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
3970,2097960,153424.86575927408,100824.0,501815.49999999924,831706.4599999998,173252.05498836777,60.0,62.45,3747,target_rps60.00_iter01_rps62.45_lat.csv
4386,1485671,194459.8161195623,136230.0,587580.6999999998,973652.3999999994,199734.28087273118,60.0,62.38,3747,target_rps60.00_iter02_rps62.38_lat.csv
4016,1621905,188009.27335824879,119787.5,636750.25,1239339.4500000004,228164.86069891194,60.0,62.43,3746,target_rps60.00_iter03_rps62.43_lat.csv
4082,1285649,235932.7142857143,182260.0,598378.0999999999,880830.0500000004,188769.54333213836,80.0,83.07,4984,target_rps80.00_iter01_rps83.07_lat.csv
4286,1977569,223480.11120064463,166402.0,655402.7999999986,1006508.4199999985,206390.9897218616,80.0,82.73,4964,target_rps80.00_iter02_rps82.73_lat.csv
4339,1126455,206180.0331525015,173206.0,523401.19999999995,729603.9999999994,154637.59668045997,80.0,82.95,4977,target_rps80.00_iter03_rps82.95_lat.csv
4372,3801551,717339.2326212275,484860.0,2238138.0499999993,3066311.5199999996,675994.3035258891,100.0,98.3,5898,target_rps100.00_iter01_rps98.30_lat.csv
5125,2174769,429668.1824449302,357120.0,976035.5999999999,1328125.0199999998,299540.8275360105,100.0,99.12,5947,target_rps100.00_iter02_rps99.12_lat.csv
5736,4385192,931611.387167767,778972.0,2230446.8,2924185.2799999877,664657.259801292,100.0,98.45,5907,target_rps100.00_iter03_rps98.45_lat.csv
6960,13133697,3931485.587222401,3282865.0,7871290.649999996,9010067.54,2189721.0609666845,120.0,103.57,6214,target_rps120.00_iter01_rps103.57_lat.csv
29016,8447893,2867644.516594083,3108871.0,4886204.799999998,5443871.88,1305518.565193265,120.0,110.98,6659,target_rps120.00_iter02_rps110.98_lat.csv
518150,11330467,4447815.403430847,4098327.0,6942694.8,7459271.880000001,1626287.45838008,120.0,108.81,6529,target_rps120.00_iter03_rps108.81_lat.csv
9325,21441332,7671435.632154341,7095368.5,15035050.5,15552417.12,4035741.730699486,140.0,103.67,6220,target_rps140.00_iter01_rps103.67_lat.csv
111054,24321883,7829952.381393083,7753624.0,14511890.1,14868581.96,4069216.463313282,140.0,102.65,6159,target_rps140.00_iter02_rps102.65_lat.csv
5947,22383586,7018507.515141906,6891687.0,13543711.8,14614827.32,4087475.5576965995,140.0,105.11,6307,target_rps140.00_iter03_rps105.11_lat.csv
