2025-09-06T13:01:21+01:00  13:01:21 up 19 days, 23:46,  1 user,  load average: 1.87, 2.19, 2.23
2025-09-06T13:01:26+01:00  13:01:26 up 19 days, 23:47,  1 user,  load average: 1.96, 2.20, 2.24
2025-09-06T13:01:31+01:00  13:01:31 up 19 days, 23:47,  1 user,  load average: 2.44, 2.30, 2.27
2025-09-06T13:01:36+01:00  13:01:36 up 19 days, 23:47,  1 user,  load average: 2.33, 2.28, 2.26
2025-09-06T13:01:41+01:00  13:01:41 up 19 days, 23:47,  1 user,  load average: 2.46, 2.31, 2.27
2025-09-06T13:01:46+01:00  13:01:46 up 19 days, 23:47,  1 user,  load average: 2.42, 2.30, 2.27
2025-09-06T13:01:51+01:00  13:01:51 up 19 days, 23:47,  1 user,  load average: 2.63, 2.35, 2.28
2025-09-06T13:01:56+01:00  13:01:56 up 19 days, 23:47,  1 user,  load average: 2.58, 2.34, 2.28
2025-09-06T13:02:01+01:00  13:02:01 up 19 days, 23:47,  1 user,  load average: 2.61, 2.35, 2.29
2025-09-06T13:02:06+01:00  13:02:06 up 19 days, 23:47,  1 user,  load average: 2.40, 2.31, 2.27
2025-09-06T13:02:11+01:00  13:02:11 up 19 days, 23:47,  1 user,  load average: 2.37, 2.31, 2.27
2025-09-06T13:02:16+01:00  13:02:16 up 19 days, 23:47,  1 user,  load average: 2.18, 2.27, 2.26
2025-09-06T13:02:21+01:00  13:02:21 up 19 days, 23:47,  1 user,  load average: 2.73, 2.38, 2.30
2025-09-06T13:02:26+01:00  13:02:26 up 19 days, 23:48,  1 user,  load average: 2.75, 2.39, 2.30
2025-09-06T13:02:31+01:00  13:02:31 up 19 days, 23:48,  1 user,  load average: 2.93, 2.44, 2.31
2025-09-06T13:02:36+01:00  13:02:36 up 19 days, 23:48,  1 user,  load average: 2.77, 2.41, 2.31
2025-09-06T13:02:41+01:00  13:02:41 up 19 days, 23:48,  1 user,  load average: 2.95, 2.45, 2.32
2025-09-06T13:02:46+01:00  13:02:46 up 19 days, 23:48,  1 user,  load average: 3.12, 2.50, 2.34
2025-09-06T13:02:51+01:00  13:02:51 up 19 days, 23:48,  1 user,  load average: 3.19, 2.52, 2.35
2025-09-06T13:02:56+01:00  13:02:56 up 19 days, 23:48,  1 user,  load average: 2.93, 2.48, 2.33
2025-09-06T13:03:01+01:00  13:03:01 up 19 days, 23:48,  1 user,  load average: 2.86, 2.47, 2.33
2025-09-06T13:03:06+01:00  13:03:06 up 19 days, 23:48,  1 user,  load average: 2.87, 2.48, 2.33
2025-09-06T13:03:11+01:00  13:03:11 up 19 days, 23:48,  1 user,  load average: 3.28, 2.57, 2.37
2025-09-06T13:03:16+01:00  13:03:16 up 19 days, 23:48,  1 user,  load average: 3.42, 2.61, 2.38
2025-09-06T13:03:21+01:00  13:03:21 up 19 days, 23:48,  1 user,  load average: 3.71, 2.69, 2.40
2025-09-06T13:03:26+01:00  13:03:26 up 19 days, 23:49,  1 user,  load average: 3.49, 2.66, 2.40
2025-09-06T13:03:31+01:00  13:03:31 up 19 days, 23:49,  1 user,  load average: 3.61, 2.70, 2.41
2025-09-06T13:03:36+01:00  13:03:36 up 19 days, 23:49,  1 user,  load average: 3.40, 2.67, 2.40
2025-09-06T13:03:41+01:00  13:03:41 up 19 days, 23:49,  1 user,  load average: 3.13, 2.62, 2.39
2025-09-06T13:03:46+01:00  13:03:46 up 19 days, 23:49,  1 user,  load average: 2.88, 2.58, 2.38
2025-09-06T13:03:51+01:00  13:03:51 up 19 days, 23:49,  1 user,  load average: 2.73, 2.55, 2.37
2025-09-06T13:03:56+01:00  13:03:56 up 19 days, 23:49,  1 user,  load average: 2.59, 2.53, 2.36
2025-09-06T13:04:01+01:00  13:04:01 up 19 days, 23:49,  1 user,  load average: 2.46, 2.50, 2.35
2025-09-06T13:04:06+01:00  13:04:06 up 19 days, 23:49,  1 user,  load average: 2.58, 2.53, 2.36
2025-09-06T13:04:11+01:00  13:04:11 up 19 days, 23:49,  1 user,  load average: 2.38, 2.49, 2.35
2025-09-06T13:04:16+01:00  13:04:16 up 19 days, 23:49,  1 user,  load average: 2.43, 2.50, 2.35
2025-09-06T13:04:21+01:00  13:04:21 up 19 days, 23:49,  1 user,  load average: 2.47, 2.50, 2.36
2025-09-06T13:04:26+01:00  13:04:26 up 19 days, 23:50,  1 user,  load average: 2.44, 2.50, 2.36
2025-09-06T13:04:31+01:00  13:04:31 up 19 days, 23:50,  1 user,  load average: 2.24, 2.45, 2.34
2025-09-06T13:04:36+01:00  13:04:36 up 19 days, 23:50,  1 user,  load average: 2.14, 2.43, 2.34
2025-09-06T13:04:41+01:00  13:04:41 up 19 days, 23:50,  1 user,  load average: 2.69, 2.54, 2.37
2025-09-06T13:04:46+01:00  13:04:46 up 19 days, 23:50,  1 user,  load average: 2.63, 2.53, 2.37
2025-09-06T13:04:51+01:00  13:04:51 up 19 days, 23:50,  1 user,  load average: 2.98, 2.60, 2.39
2025-09-06T13:04:56+01:00  13:04:56 up 19 days, 23:50,  1 user,  load average: 2.74, 2.56, 2.38
2025-09-06T13:05:01+01:00  13:05:01 up 19 days, 23:50,  1 user,  load average: 2.52, 2.52, 2.37
2025-09-06T13:05:06+01:00  13:05:06 up 19 days, 23:50,  1 user,  load average: 2.32, 2.48, 2.35
2025-09-06T13:05:11+01:00  13:05:11 up 19 days, 23:50,  1 user,  load average: 2.22, 2.45, 2.35
2025-09-06T13:05:16+01:00  13:05:16 up 19 days, 23:50,  1 user,  load average: 2.36, 2.48, 2.36
2025-09-06T13:05:21+01:00  13:05:21 up 19 days, 23:50,  1 user,  load average: 2.65, 2.54, 2.38
2025-09-06T13:05:26+01:00  13:05:26 up 19 days, 23:51,  1 user,  load average: 2.52, 2.51, 2.37
