target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,39.98,40.00,39.99,39.98,40.00,100.0
60.00,62.47,62.42,62.43,62.44,62.42,62.47,104.1
80.00,83.20,83.08,83.17,83.15,83.08,83.20,103.9
100.00,99.36,99.50,99.65,99.50,99.36,99.65,99.5
120.00,123.97,124.40,123.95,124.11,123.95,124.40,103.4
140.00,140.80,140.87,141.35,141.01,140.80,141.35,100.7
160.00,163.93,164.20,164.85,164.33,163.93,164.85,102.7
180.00,195.52,195.16,195.38,195.35,195.16,195.52,108.5
200.00,194.45,194.28,193.65,194.13,193.65,194.45,97.1
220.00,237.38,236.60,239.43,237.80,236.60,239.43,108.1
240.00,236.95,234.49,238.55,236.66,234.49,238.55,98.6
260.00,306.56,306.27,305.32,306.05,305.32,306.56,117.7
280.00,307.98,306.83,305.42,306.74,305.42,307.98,109.6
300.00,306.96,307.20,307.63,307.26,306.96,307.63,102.4
320.00,305.14,306.14,310.48,307.25,305.14,310.48,96.0
340.00,434.48,426.28,429.28,430.01,426.28,434.48,126.5
360.00,430.77,425.03,426.91,427.57,425.03,430.77,118.8
380.00,425.59,426.99,431.66,428.08,425.59,431.66,112.7
400.00,430.15,429.70,434.51,431.45,429.70,434.51,107.9
420.00,432.90,435.16,431.87,433.31,431.87,435.16,103.2
440.00,431.12,428.70,425.23,428.35,425.23,431.12,97.4
460.00,432.82,427.56,429.46,429.95,427.56,432.82,93.5
480.00,438.85,438.15,433.52,436.84,433.52,438.85,91.0
500.00,427.40,430.10,432.27,429.92,427.40,432.27,86.0
520.00,635.76,633.68,632.49,633.98,632.49,635.76,121.9
540.00,626.93,635.85,634.26,632.35,626.93,635.85,117.1
560.00,638.09,631.90,633.16,634.38,631.90,638.09,113.3
580.00,646.13,637.28,627.90,637.10,627.90,646.13,109.8
600.00,624.43,624.79,634.74,627.99,624.43,634.74,104.7
620.00,640.05,632.56,623.61,632.07,623.61,640.05,101.9
640.00,635.58,631.50,632.22,633.10,631.50,635.58,98.9
660.00,616.42,628.79,623.90,623.04,616.42,628.79,94.4
680.00,636.72,630.79,619.76,629.09,619.76,636.72,92.5
700.00,626.32,634.49,621.67,627.49,621.67,634.49,89.6
720.00,617.70,625.18,624.88,622.59,617.70,625.18,86.5
740.00,457.76,,,457.76,457.76,457.76,61.9

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,646.13,580.00
Max Iter2,637.28,580.00
Max Iter3,634.74,600.00
Overall Max,646.13,580.00
Avg of Max,639.38,
