min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5212,114905,7706.5575,6788.0,11551.8,19077.589999999997,5559.735695758724,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4646,20811,6925.589166666667,6425.0,9996.749999999998,17164.14,1943.513454729854,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4524,26447,6821.7025,6401.5,9272.05,14448.439999999999,1709.9522578112378,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4007,73347,6899.017083333333,6312.0,10434.349999999999,17734.009999999977,2746.119476514358,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4289,33285,6437.462916666666,5930.0,9605.449999999986,16262.889999999932,2054.5184998254035,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4357,37678,6517.555416666667,5997.5,9552.749999999996,15521.619999999984,2044.030555119548,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
3835,48725,6640.7112713675215,5873.5,10927.749999999996,18918.880000000012,2835.5123426690475,62.4,62.4,3744,target_rps60.00_iter01_rps62.40_lat.csv
3877,38135,6571.056044835868,5829.0,10785.199999999995,18742.64,2680.608262525601,62.45,62.45,3747,target_rps60.00_iter02_rps62.45_lat.csv
3815,44216,6372.706133333333,5699.5,10286.599999999997,18367.179999999924,2565.733377582788,62.5,62.5,3750,target_rps60.00_iter03_rps62.50_lat.csv
3756,635266,9152.405248397436,5674.5,11111.45,30086.19000000023,33391.713881628784,83.2,83.2,4992,target_rps80.00_iter01_rps83.20_lat.csv
3640,100616,6196.581530448718,5564.0,9779.699999999999,16930.63,2636.7140969262687,83.2,83.2,4992,target_rps80.00_iter02_rps83.20_lat.csv
3889,39160,6325.714457589734,5610.0,10623.7,18053.820000000003,2509.471370973983,83.11666666666666,83.11666666666666,4987,target_rps80.00_iter03_rps83.12_lat.csv
3536,33213,6235.679390590993,5509.0,10584.799999999997,18414.719999999976,2586.7157741827746,99.55,99.55,5973,target_rps100.00_iter01_rps99.55_lat.csv
3448,73251,6370.6675594241715,5527.0,10981.64999999998,19934.649999999907,3286.9429389315437,99.56666666666666,99.56666666666666,5974,target_rps100.00_iter02_rps99.57_lat.csv
3598,44297,6215.135669964783,5491.0,10463.9,18116.34000000001,2666.6049526272764,99.38333333333334,99.38333333333334,5963,target_rps100.00_iter03_rps99.38_lat.csv
3221,217069,6451.638952316991,5316.0,10554.79999999997,21214.239999999983,7578.742674901374,124.08333333333333,124.08333333333333,7445,target_rps120.00_iter01_rps124.08_lat.csv
3293,92781,6164.953953550812,5385.0,10589.8,18085.639999999996,2980.2229731945417,124.15,124.15,7449,target_rps120.00_iter02_rps124.15_lat.csv
3375,47184,6219.981501340482,5398.0,10909.199999999997,18877.28,2852.6601065153054,124.33333333333333,124.33333333333333,7460,target_rps120.00_iter03_rps124.33_lat.csv
3605,61094,6359.184281842819,5424.0,11622.799999999997,20255.41999999997,3161.5499745782927,141.45,141.45,8487,target_rps140.00_iter01_rps141.45_lat.csv
3458,86642,6473.8917769376185,5484.0,12449.099999999986,20318.270000000135,3411.004301327586,141.06666666666666,141.06666666666666,8464,target_rps140.00_iter02_rps141.06_lat.csv
3322,38291,6238.088502894954,5354.0,11522.199999999997,19855.379999999997,2981.7906706827507,141.05,141.05,8463,target_rps140.00_iter03_rps141.05_lat.csv
3165,305236,6864.324612108306,5380.0,12760.0,25081.799999999937,8960.393761719744,164.35,164.35,9861,target_rps160.00_iter01_rps164.35_lat.csv
3509,43738,6135.015139281389,5311.0,10783.549999999997,18532.89000000008,2670.939299912302,165.13333333333333,165.13333333333333,9908,target_rps160.00_iter02_rps165.13_lat.csv
