rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_c5,3,1200.0,0.0,1200,1200,5861.333333333333,194.453936276264,5675,6063,1121740.0,1415686.463611205,292102,2756372,13442.574722222222,6370.744159484493,9218.7275,20770.408333333333,7742.833333333333,262.0388011980923,7440.5,7904.5,14482.599999999991,1113.416452860291,13196.949999999995,15130.349999999991,128789.49666666654,119364.87197223226,32489.919999999955,262336.9799999997,20.0,0.0,20.0,20.0,1200.0,5861.333333333333,1121740.0,13442.574722222222,7742.833333333333,14482.599999999991,128789.49666666654,20.0
40,60,fibonacci_nodejs_c5,3,2400.0,0.0,2400,2400,5405.333333333333,92.35980366660236,5340,5511,650678.6666666666,116150.98232186129,520041,742292,10191.695555555556,577.0870252062008,9557.325,10685.544166666667,7510.333333333333,228.30699361459196,7275.5,7731.5,14450.166666666644,1669.891564094299,12526.94999999999,15532.049999999983,63667.88333333322,1786.841742581923,62385.87999999989,65708.93999999984,40.0,0.0,40.0,40.0,2400.0,5405.333333333333,650678.6666666666,10191.695555555556,7510.333333333333,14450.166666666644,63667.88333333322,40.0
60,60,fibonacci_nodejs_c5,3,3749.3333333333335,1.1547005383792517,3748,3750,4942.0,273.9288228719278,4629,5138,857190.0,434585.62521556095,355852,1126828,11075.567483505278,1556.5874456126253,9308.324,12243.094717182497,7232.166666666667,206.23550454112728,7080.5,7467.0,15122.116666666661,2555.834071459518,13492.749999999998,18067.799999999996,79630.3799999997,21259.305192623433,64095.91999999943,103858.7299999998,62.49,0.017320508075689432,62.47,62.5,3749.3333333333335,4942.0,857190.0,11075.567483505278,7232.166666666667,15122.116666666661,79630.3799999997,62.49
80,60,fibonacci_nodejs_c5,3,4988.666666666667,7.094598884597588,4981,4995,4564.333333333333,132.6436328412839,4470,4716,852153.0,692198.9156673102,245384,1606107,11887.757365931238,3401.421569499799,8770.133733733734,15515.38185103393,6899.333333333333,392.5306782066,6653.0,7352.0,18263.91666666667,3275.995037516586,15941.300000000007,22011.0,119726.36333333293,67273.15186803105,56210.16000000019,190213.59999999922,83.14666666666666,0.11676186592091563,83.02,83.25,4988.666666666667,4564.333333333333,852153.0,11887.757365931238,6899.333333333333,18263.91666666667,119726.36333333293,83.14666666666666
100,60,fibonacci_nodejs_c5,3,5983.666666666667,4.932882862316247,5978,5987,4514.666666666667,52.993710318615484,4458,4563,703335.6666666666,140443.39844340613,554173,833028,10548.30024184781,571.896155175783,10198.274139659205,11208.263298762127,6651.666666666667,71.65426249242493,6569.0,6696.0,17082.26666666666,783.0523886262691,16509.7,17974.59999999997,109199.15999999997,16364.714090713216,97744.7000000007,127941.77999999962,99.72666666666665,0.08386497083606277,99.63,99.78,5983.666666666667,4514.666666666667,703335.6666666666,10548.30024184781,6651.666666666667,17082.26666666666,109199.15999999997,99.72666666666665
120,60,fibonacci_nodejs_c5,3,7444.666666666667,11.150485789118488,7432,7453,4401.666666666667,121.63195851968072,4299,4536,990387.3333333334,436251.7118847023,598147,1460234,13155.034425263699,2172.560437323102,11781.616261907957,15659.794871794871,6853.833333333333,101.23528699684381,6738.5,6928.0,23599.666666666642,1680.820993840008,22455.19999999999,25529.39999999997,152337.82666666535,52458.959826214246,118784.71999999993,212790.2799999968,124.07666666666667,0.18147543451754558,123.87,124.21,7444.666666666667,4401.666666666667,990387.3333333334,13155.034425263699,6853.833333333333,23599.666666666642,152337.82666666535,124.07666666666667
140,60,fibonacci_nodejs_c5,3,8494.666666666666,21.361959960016154,8470,8507,4348.0,78.24960063795854,4290,4437,791295.0,157597.8201498993,677751,971225,12747.671547093172,1086.9302434650451,11499.906847697757,13488.72810626543,6737.333333333333,106.0393008904403,6659.0,6858.0,25321.749999999898,3807.760415585582,21499.349999999784,29114.69999999991,162473.97333333376,30223.850641256275,129871.59999999971,189559.18000000075,141.57666666666668,0.3521836642056796,141.17,141.78,8494.666666666666,4348.0,791295.0,12747.671547093172,6737.333333333333,25321.749999999898,162473.97333333376,141.57666666666668
160,60,fibonacci_nodejs_c5,3,9842.666666666666,23.629078131263043,9816,9861,4178.666666666667,23.180451534284945,4154,4200,915505.3333333334,328660.22798223293,639234,1278970,15671.183971673141,2313.2492228967517,14061.143744906276,18321.99654857375,7024.666666666667,29.091808698211484,6997.0,7055.0,52607.75,9483.230425994087,45811.0,63441.5,197882.66666666672,52062.41934585186,157407.1000000001,256614.5,164.03,0.37802116342872144,163.6,164.31,9842.666666666666,4178.666666666667,915505.3333333334,15671.183971673141,7024.666666666667,52607.75,197882.66666666672,164.03
180,60,fibonacci_nodejs_c5,3,11711.0,48.28043081829324,11666,11762,4126.666666666667,97.28480525412658,4070,4239,1118167.0,477500.85756886343,618080,1569312,23800.902253308002,2693.209457280697,20979.873575922462,26344.873729175564,8166.5,152.617987144373,8053.0,8340.0,97505.6166666663,9784.141905442495,88549.54999999929,107947.79999999964,275803.78666666645,71554.1688941816,205281.6499999992,348347.1599999997,195.17999999999998,0.8046738469715508,194.43,196.03,11711.0,4126.666666666667,1118167.0,23800.902253308002,8166.5,97505.6166666663,275803.78666666645,195.17999999999998
200,60,fibonacci_nodejs_c5,3,11714.333333333334,37.31398308052001,11684,11756,4152.0,158.2371637764024,3982,4295,1124946.3333333333,478758.1242353317,790391,1673359,22448.833093168443,2709.044848630366,20802.732732221844,25575.508502093482,7822.0,75.97367965289031,7740.0,7890.0,88979.01666666665,5034.9735839260275,85761.25,94781.39999999994,278453.25333333225,77920.00085032995,231513.2000000001,368398.8399999966,195.23666666666668,0.6213962772123286,194.73,195.93,11714.333333333334,4152.0,1124946.3333333333,22448.833093168443,7822.0,88979.01666666665,278453.25333333225,195.23666666666668
220,60,fibonacci_nodejs_c5,3,14305.333333333334,94.94384305121281,14196,14367,4181.666666666667,130.76824283186394,4056,4317,993753.0,309845.03682163445,763982,1346142,42710.704309120985,2211.1821758383403,41286.85926080601,45258.06290504368,18161.5,549.9488612589356,17559.0,18636.5,153452.8833333333,2152.288404427571,150994.69999999995,154998.75,345702.63333333324,44105.865914902126,311921.60000000003,395600.0999999998,238.42333333333332,1.583235084671045,236.6,239.45,14305.333333333334,4181.666666666667,993753.0,42710.704309120985,18161.5,153452.8833333333,345702.63333333324,238.42333333333332
240,60,fibonacci_nodejs_c5,3,14266.333333333334,63.121575814719115,14219,14338,4232.0,122.01229446248439,4109,4353,1060994.0,198966.00833056887,902179,1284175,40571.18533436633,2820.889578249849,38848.25310364067,43826.61185226794,15180.333333333334,999.1053915044865,14539.0,16331.5,150305.7499999999,8853.609974044415,143550.4,160328.74999999985,353410.5299999998,38169.46549367335,321083.3099999994,395518.72000000003,237.75333333333333,1.0680979980008087,236.97,238.97,14266.333333333334,4232.0,1060994.0,40571.18533436633,15180.333333333334,150305.7499999999,353410.5299999998,237.75333333333333
260,60,fibonacci_nodejs_c5,3,18276.666666666668,57.01169470672954,18237,18342,4267.333333333333,143.9594850412203,4153,4429,1094092.6666666667,98719.56084957698,999567,1196530,64469.36018722068,3748.0147358427475,61369.70314033366,68634.85480247658,43177.5,1096.657763388378,42413.0,44434.0,196415.46666666667,17698.850404852084,183076.40000000002,216494.0,412280.4866666666,49441.37634619133,360623.6400000001,459159.5,304.60999999999996,0.9509468965194598,303.95,305.7,18276.666666666668,4267.333333333333,1094092.6666666667,64469.36018722068,43177.5,196415.46666666667,412280.4866666666,304.60999999999996
280,60,fibonacci_nodejs_c5,3,18310.333333333332,135.04196878501637,18186,18454,4463.0,246.4386333349542,4265,4739,880548.0,208302.2136152182,716984,1115055,65038.82512223162,4205.541358651889,60364.37075972689,68515.6511052458,44812.833333333336,1133.8565091462558,43632.0,45893.0,195863.04999999996,16687.51824066421,177907.89999999997,210897.25,376888.16666666674,63500.01192301713,312441.8000000004,439397.5000000002,305.17333333333335,2.2524727153360287,303.1,307.57,18310.333333333332,4463.0,880548.0,65038.82512223162,44812.833333333336,195863.04999999996,376888.16666666674,305.17333333333335
300,60,fibonacci_nodejs_c5,3,18235.333333333332,54.793551932078046,18175,18282,4306.0,194.19835220722138,4103,4490,1078499.6666666667,48289.29489372705,1050451,1134259,64484.516173674754,3238.071572896821,61375.2957006892,67837.64484181568,44121.833333333336,2004.2148296361179,42593.5,46391.0,191426.26666666663,10433.14011088382,182307.6,202803.79999999996,378767.4233333328,23980.641744228302,351113.5699999996,393827.0199999986,303.88666666666666,0.9652633492127047,302.82,304.7,18235.333333333332,4306.0,1078499.6666666667,64484.516173674754,44121.833333333336,191426.26666666663,378767.4233333328,303.88666666666666
320,60,fibonacci_nodejs_c5,3,18267.666666666668,140.93024279172064,18153,18425,4403.333333333333,106.56609842409233,4299,4512,1420641.6666666667,648720.002556059,893924,2145264,67668.06667120398,3446.6131585642993,64018.93488679557,70868.1398079561,45214.0,1187.0050547491362,44313.0,46559.0,202374.33333333326,13206.735869749798,188170.99999999977,214283.99999999994,416413.7733333321,49226.34225378541,359811.68,449229.7999999968,304.42333333333335,2.389442054818092,302.45,307.08,18267.666666666668,4403.333333333333,1420641.6666666667,67668.06667120398,45214.0,202374.33333333326,416413.7733333321,304.42333333333335
340,60,fibonacci_nodejs_c5,3,25257.666666666668,228.17171896037715,25098,25519,4471.0,111.2160060422959,4344,4551,1083864.3333333333,31926.48277423201,1060204,1120178,99036.26642324448,4940.364178960717,95381.65997290621,104656.99646207664,70689.83333333333,1631.2605810640227,69567.0,72561.0,287466.41666666657,23836.44752434465,267438.84999999986,313831.0,518076.3233333333,44686.49747299138,481380.96999999986,567840.1000000004,420.94,3.7706365510348454,418.31,425.26,25257.666666666668,4471.0,1083864.3333333333,99036.26642324448,70689.83333333333,287466.41666666657,518076.3233333333,420.94
360,60,fibonacci_nodejs_c5,3,25522.333333333332,174.0296909533926,25370,25712,4366.0,144.08677940741129,4265,4531,1355231.6666666667,254570.2054057649,1186727,1648076,96628.10396543429,3476.285789654664,92614.03920348476,98640.23109972409,70315.0,2160.37867051126,67825.0,71691.0,274436.1666666666,10921.378974783054,262051.44999999995,282687.79999999993,470967.4099999999,4057.97916765248,467507.9199999999,475434.1500000002,425.3666666666666,2.9045194668539,422.82,428.53,25522.333333333332,4366.0,1355231.6666666667,96628.10396543429,70315.0,274436.1666666666,470967.4099999999,425.3666666666666
380,60,fibonacci_nodejs_c5,3,25440.666666666668,36.11555528208494,25399,25463,4253.666666666667,219.09206588403273,4103,4505,1174244.6666666667,97922.24663136223,1094284,1283460,94025.74405593947,6417.635623415525,87030.07128829537,99640.52845304953,68857.66666666667,3312.926249304885,65152.0,71533.0,265216.9499999999,25315.94002535762,238768.04999999978,289222.79999999993,479389.5666666667,35947.68650205111,439408.07999999984,509041.92000000016,424.01,0.5980802621722254,423.32,424.38,25440.666666666668,4253.666666666667,1174244.6666666667,94025.74405593947,68857.66666666667,265216.9499999999,479389.5666666667,424.01
400,60,fibonacci_nodejs_c5,3,25333.0,165.41765322963568,25184,25511,4295.333333333333,362.82272990171566,3924,4649,1342813.3333333333,223591.1320565584,1102584,1544845,98752.50517033548,5445.043355862934,94766.0715697123,104956.3938301125,71399.16666666667,2498.9881118831545,69688.5,74267.0,280692.3333333332,22739.611048692954,259140.74999999977,304458.0,486603.97333333356,16662.466198163427,473268.7800000002,505282.7000000004,422.20000000000005,2.775013513480613,419.69,425.18,25333.0,4295.333333333333,1342813.3333333333,98752.50517033548,71399.16666666667,280692.3333333332,486603.97333333356,422.20000000000005
