min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5915,114804,22976.869166666667,21965.5,37733.85,49498.33999999999,9365.183572166785,20.0,20.0,1200,target_rps20.00_iter01_rps19.98_lat.csv
5924,68321,24954.676666666666,23985.0,38645.85,50043.59999999999,7962.980379467784,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5053,96054,24657.72333333333,24263.0,40317.24999999999,50918.15,9776.805186347374,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4988,133114,24988.783659858273,23957.0,43653.4,57510.73999999999,11979.21750530822,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
4465,222504,24850.2375782881,23576.0,45220.2,66250.63999999998,15059.138467121851,39.916666666666664,39.916666666666664,2395,target_rps40.00_iter02_rps39.92_lat.csv
4636,126012,21684.585243851605,21947.0,43413.3,53723.91999999999,12172.218633134265,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter03_rps39.98_lat.csv
4298,142740,26280.756156316915,24842.5,52216.25,76432.35000000005,15315.21567244084,62.266666666666666,62.266666666666666,3736,target_rps60.00_iter01_rps62.26_lat.csv
3924,110119,21915.588644884843,21146.5,47310.59999999999,62861.79000000002,14446.113937623866,62.233333333333334,62.233333333333334,3734,target_rps60.00_iter02_rps62.23_lat.csv
4489,113387,24527.053222786843,23889.0,50601.2,69528.92,14614.048062407921,62.31666666666667,62.31666666666667,3739,target_rps60.00_iter03_rps62.32_lat.csv
4067,155862,26570.273699072208,23851.0,60150.5,95583.6100000001,18664.669459786313,82.63333333333334,82.63333333333334,4958,target_rps80.00_iter01_rps82.63_lat.csv
4311,190371,27350.012942366026,24549.0,61221.4,96907.00000000022,19682.44843336024,82.41666666666667,82.41666666666667,4945,target_rps80.00_iter02_rps82.42_lat.csv
3977,164314,26613.544022617123,23905.0,59905.99999999999,86507.31999999986,18430.96431231711,82.53333333333333,82.53333333333333,4952,target_rps80.00_iter03_rps82.53_lat.csv
4293,426123,39446.471551578594,27316.0,112825.6,299697.53999999946,50459.975937974596,98.71666666666667,98.71666666666667,5923,target_rps100.00_iter01_rps98.72_lat.csv
3770,203988,30792.853153910848,24430.0,84136.0,134053.9600000002,26562.49834206196,99.08333333333333,99.08333333333333,5945,target_rps100.00_iter02_rps99.08_lat.csv
3854,230829,32218.624767697245,27089.0,74873.79999999996,144305.73999999996,26390.116094776746,98.65,98.65,5919,target_rps100.00_iter03_rps98.65_lat.csv
4072,1565698,263892.579152189,133126.0,966046.9999999999,1131731.3399999994,300000.19419552706,119.91666666666667,119.91666666666667,7195,target_rps120.00_iter01_rps119.92_lat.csv
3953,1450382,165604.74069991734,81231.5,627542.3499999993,779697.7000000001,194862.04726550455,120.96666666666667,120.96666666666667,7258,target_rps120.00_iter02_rps120.97_lat.csv
3961,953512,103261.40564494136,61639.5,370834.24999999953,525535.0900000001,121055.9211516954,122.23333333333333,122.23333333333333,7334,target_rps120.00_iter03_rps122.23_lat.csv
5456,5749149,1755937.179354676,1753426.0,3275151.1499999994,4216304.73,877609.3386776447,132.23333333333332,132.23333333333332,7934,target_rps140.00_iter01_rps132.22_lat.csv
7758,11708358,3325002.649712989,2929762.0,6033119.5,6566642.3,1817401.508888207,124.85,124.85,7491,target_rps140.00_iter02_rps124.85_lat.csv
5913,10742504,2705397.894269037,3026363.0,5415041.05,5602319.19,1880334.9365596531,125.63333333333334,125.63333333333334,7538,target_rps140.00_iter03_rps125.63_lat.csv
8366,27508579,6795956.561446439,6247483.0,13192273.5,14363337.5,4110297.7587022185,122.6,122.6,7356,target_rps160.00_iter01_rps122.60_lat.csv
5909,26403617,6689055.478493188,6872044.5,13564163.75,15266349.399999999,3868491.9952181573,124.76666666666667,124.76666666666667,7486,target_rps160.00_iter02_rps124.76_lat.csv
5937,24556009,6426222.0717697,7052340.0,11871894.1,14153256.67,3776687.6480000378,125.63333333333334,125.63333333333334,7538,target_rps160.00_iter03_rps125.62_lat.csv
13719,30018838,10015924.769179003,9969085.0,20301168.849999998,21695700.080000002,6236900.795148801,123.83333333333333,123.83333333333333,7430,target_rps180.00_iter01_rps123.50_lat.csv
7057,30014972,10132155.513163336,9526742.0,19673225.09999999,22962396.62,6249204.370539779,120.91666666666667,120.91666666666667,7255,target_rps180.00_iter02_rps120.68_lat.csv
9661,30013524,9697335.170827858,9821489.0,19295318.949999996,20254612.02,5747818.870127756,126.83333333333333,126.83333333333333,7610,target_rps180.00_iter03_rps126.73_lat.csv
9192,30006638,11086322.936893867,10958385.0,19011711.0,22535454.400000006,6258634.677499109,122.01666666666667,122.01666666666667,7321,target_rps200.00_iter01_rps121.83_lat.csv
