rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_a3,3,1198.3333333333333,2.081665999466133,1196,1200,5026.666666666667,153.79315112622322,4898,5197,187675.33333333334,166766.58840827,89476,380228,22341.02962226202,1417.0172249349705,20915.581666666665,23749.462885738114,21759.5,1313.4052116540424,20328.0,22909.0,34835.48333333333,874.5430897522034,33859.34999999999,35547.599999999984,44954.00333333332,2656.8546384838774,42008.25999999999,47169.04999999997,19.972222222222225,0.034694433324435565,19.933333333333334,20.0,1198.3333333333333,5026.666666666667,187675.33333333334,22341.02962226202,21759.5,34835.48333333333,44954.00333333332,19.972222222222225
40,60,fibonacci_python_a3,3,2398.3333333333335,0.5773502691896258,2398,2399,4565.0,240.9377512968858,4375,4836,105729.0,33521.14948804709,84250,144355,24200.14842836586,998.5534695358895,23232.371559633026,25226.867389491243,23318.0,556.5606435960057,22704.5,23790.5,43642.049999999996,2431.3232667623656,41976.75,46432.100000000006,58686.00000000001,7116.28090077955,53666.78000000004,66830.06,39.97222222222222,0.009622504486493216,39.96666666666667,39.983333333333334,2398.3333333333335,4565.0,105729.0,24200.14842836586,23318.0,43642.049999999996,58686.00000000001,39.97222222222222
60,60,fibonacci_python_a3,3,3742.6666666666665,5.131601439446884,3737,3747,4433.0,130.8166656049603,4284,4529,120634.66666666667,25881.226793437236,97901,148801,25203.31253271007,1001.7944645902865,24128.74358974359,26111.4990659194,23928.5,695.7321682946679,23126.5,24370.0,51323.699999999975,1730.3176211320613,49749.39999999992,53176.299999999996,70401.09333333334,5957.238393797334,65798.39999999997,77129.63999999996,62.37777777777777,0.08552669065745014,62.28333333333333,62.45,3742.6666666666665,4433.0,120634.66666666667,25203.31253271007,23928.5,51323.699999999975,70401.09333333334,62.37777777777777
80,60,fibonacci_python_a3,3,4974.333333333333,4.041451884327381,4970,4978,3958.0,415.8737789281743,3479,4227,194597.33333333334,39522.518851071894,152686,231193,28766.140915085063,1532.6889263611654,27482.691658291456,30463.18722378465,25571.5,1266.9588588427014,24546.5,26988.0,62687.333333333336,4473.890299653446,57530.60000000002,65533.59999999998,100623.2799999999,16309.506561797,84086.04000000004,116695.09000000001,82.90555555555557,0.06735753140546012,82.83333333333333,82.96666666666667,4974.333333333333,3958.0,194597.33333333334,28766.140915085063,25571.5,62687.333333333336,100623.2799999999,82.90555555555557
100,60,fibonacci_python_a3,3,5948.333333333333,7.3711147958319945,5940,5954,3812.6666666666665,310.7448041936234,3454,4001,306143.3333333333,82364.73838563038,252040,400934,35369.89976140449,2023.8078294107515,33218.45605780541,37235.72643097643,28108.5,1235.5159853275877,26951.0,29409.5,93254.28333333333,8264.388316193383,87865.0,102769.25000000003,179670.2399999999,54809.62849293151,142239.46000000014,242581.7599999996,99.1388888888889,0.1228519132638676,99.0,99.23333333333333,5948.333333333333,3812.6666666666665,306143.3333333333,35369.89976140449,28108.5,93254.28333333333,179670.2399999999,99.1388888888889
120,60,fibonacci_python_a3,3,7353.0,39.50949253027682,7324,7398,3749.0,144.08677940741129,3584,3850,1036795.0,473146.2834314563,497095,1380200,126688.3558444198,48410.842309436906,73294.24101108407,167717.5808913725,76138.33333333333,23728.214546891923,51298.5,98571.5,391651.1333333331,173393.43258300135,212781.74999999974,558993.3999999998,675535.0533333333,371178.9130704673,339437.70999999996,1073915.4800000002,122.55,0.6584915421712805,122.06666666666666,123.3,7353.0,3749.0,1036795.0,126688.3558444198,76138.33333333333,391651.1333333331,675535.0533333333,122.55
140,60,fibonacci_python_a3,3,7824.333333333333,197.22406884894485,7641,8033,7000.0,1950.703206538606,5551,9218,8664440.0,2737167.366782857,5869185,11339564,2148043.25515564,609651.7212821363,1474470.2794721774,2662029.647297474,2185008.6666666665,603355.0630038115,1499020.0,2633369.0,4415030.199999998,1512355.7048841792,2852001.9999999986,5871027.0,5157913.373333328,1691174.274068236,3236309.92,6419797.4,130.40555555555557,3.2870678141490806,127.35,133.88333333333333,7824.333333333333,7000.0,8664440.0,2148043.25515564,2185008.6666666665,4415030.199999998,5157913.373333328,130.40555555555557
160,60,fibonacci_python_a3,3,7650.0,41.90465367951393,7614,7696,7629.666666666667,830.801019097433,6674,8180,23948066.0,865515.731791745,23137539,24859691,6463416.549975178,425725.88709983736,6075779.993062827,6919047.6542359665,6467842.5,492610.79602689383,5909970.0,6842951.0,12274856.199999997,953019.6796598567,11181216.999999994,12927560.1,13704925.9,267697.44614432345,13543424.29,14013930.61,127.5,0.6984108946585709,126.9,128.26666666666668,7650.0,7629.666666666667,23948066.0,6463416.549975178,6467842.5,12274856.199999997,13704925.9,127.5
180,60,fibonacci_python_a3,3,7403.333333333333,118.83742395951425,7290,7527,7876.333333333333,901.5860099476552,7055,8841,30011419.666666668,5821.6043607697475,30007965,30018141,10565019.648495223,678004.4483419079,9938713.840389557,11284984.312482852,10213798.666666666,843244.5169654726,9363907.0,11050235.0,20693821.233333334,1052306.9449004142,20020071.3,21906422.0,22311601.206666663,769766.8608802476,21445946.859999996,22919136.519999996,123.3888888888889,1.9806237326585723,121.5,125.45,7403.333333333333,7876.333333333333,30011419.666666668,10565019.648495223,10213798.666666666,20693821.233333334,22311601.206666663,123.3888888888889
200,60,fibonacci_python_a3,3,7017.666666666667,56.88878038184097,6974,7082,7901.0,1295.3852708750396,6410,8750,30021479.666666668,4151.209502462305,30016730,30024414,11423462.068544505,434456.65970634995,10954251.516489819,11811799.847783113,11421191.666666666,437701.3582733475,11002480.0,11875686.0,22155100.9,133294.23213001265,22007133.7,22265780.999999996,23245896.87,62619.40831206689,23195128.75,23315869.48,116.96111111111111,0.9481463396973492,116.23333333333333,118.03333333333333,7017.666666666667,7901.0,30021479.666666668,11423462.068544505,11421191.666666666,22155100.9,23245896.87,116.96111111111111
