target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,39.93,39.97,39.98,39.96,39.93,39.98,99.9
60.00,62.28,62.28,62.35,62.30,62.28,62.35,103.8
80.00,82.80,83.08,82.83,82.90,82.80,83.08,103.6
100.00,99.05,99.12,99.23,99.13,99.05,99.23,99.1
120.00,114.60,118.18,116.05,116.28,114.60,118.18,96.9
140.00,114.45,109.68,111.90,112.01,109.68,114.45,80.0
160.00,106.90,108.53,109.62,108.35,106.90,109.62,67.7
180.00,105.43,105.56,104.87,105.29,104.87,105.56,58.5
200.00,104.35,106.81,112.60,107.92,104.35,112.60,54.0
220.00,95.53,102.87,97.88,98.76,95.53,102.87,44.9
240.00,107.47,92.13,92.28,97.29,92.13,107.47,40.5
260.00,84.95,80.51,87.22,84.23,80.51,87.22,32.4
280.00,85.71,87.55,88.55,87.27,85.71,88.55,31.2
300.00,87.53,84.55,82.52,84.87,82.52,87.53,28.3
320.00,80.87,83.66,86.15,83.56,80.87,86.15,26.1
340.00,85.79,80.05,77.13,80.99,77.13,85.79,23.8
360.00,80.77,76.30,83.97,80.35,76.30,83.97,22.3
380.00,74.98,86.37,71.63,77.66,71.63,86.37,20.4
400.00,71.33,72.58,81.11,75.01,71.33,81.11,18.8
420.00,73.32,78.87,75.85,76.01,73.32,78.87,18.1
440.00,79.45,78.40,74.91,77.59,74.91,79.45,17.6
460.00,79.20,71.67,85.70,78.86,71.67,85.70,17.1
480.00,71.25,93.80,78.18,81.08,71.25,93.80,16.9
500.00,72.70,74.40,77.63,74.91,72.70,77.63,15.0

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,114.60,120.00
Max Iter2,118.18,120.00
Max Iter3,116.05,120.00
Overall Max,118.18,120.00
Avg of Max,116.28,
