min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
4553,520098,15941.080833333333,6974.5,64983.29999999999,219649.43,41926.022330699336,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4605,296736,12569.133333333333,6926.0,39786.04999999999,190472.46,27210.322581890785,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4800,162340,8633.570833333333,7028.5,13922.34999999999,60313.35,9625.400288904837,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
3846,785977,104414.93233082707,75704.5,358393.7,586064.2000000001,118843.8475274801,40.0,39.9,2394,target_rps40.00_iter01_rps39.90_lat.csv
3968,958388,99479.4939355918,51311.0,323735.0,805958.5999999999,134059.26093800343,40.0,39.85,2391,target_rps40.00_iter02_rps39.85_lat.csv
4268,759755,78415.17578288101,55126.0,261467.1999999998,463979.33999999875,96003.15020403083,40.0,39.92,2395,target_rps40.00_iter03_rps39.92_lat.csv
4532,988893,174242.5754414125,144098.0,448845.54999999964,627852.5200000003,137993.54905176113,60.0,62.3,3738,target_rps60.00_iter01_rps62.30_lat.csv
4113,1196189,173915.99466382072,139527.0,453209.4999999999,723831.5399999976,148401.7656851839,60.0,62.47,3748,target_rps60.00_iter02_rps62.47_lat.csv
4091,1966058,185957.58014450094,151265.0,483286.7999999996,775826.0799999997,168670.4286098678,60.0,62.28,3737,target_rps60.00_iter03_rps62.28_lat.csv
5183,2110632,389270.08237663645,273356.0,1094929.8000000003,1665775.6399999987,341012.79174826015,80.0,82.73,4965,target_rps80.00_iter01_rps82.73_lat.csv
4830,1875638,399999.3274994971,319713.0,1037382.0,1441641.5000000005,293152.0845535043,80.0,82.85,4971,target_rps80.00_iter02_rps82.85_lat.csv
4818,1856427,324206.16998191684,257427.0,803243.5999999999,1139193.64,238809.72216741124,80.0,82.95,4977,target_rps80.00_iter03_rps82.95_lat.csv
5667,2762994,882589.1410823689,882274.0,1585998.5,1837465.0,436220.4913149689,100.0,97.93,5876,target_rps100.00_iter01_rps97.93_lat.csv
5424,2270898,637551.7720812183,575943.0,1368329.6,1726438.9999999998,376903.4378033761,100.0,98.5,5910,target_rps100.00_iter02_rps98.50_lat.csv
5622,2438704,562193.4152571042,481430.5,1275946.2,1559825.9100000001,365972.8157481391,100.0,98.53,5912,target_rps100.00_iter03_rps98.53_lat.csv
5383,14331391,4177344.367324034,4194019.0,8077553.2,9154682.68,2279930.059530849,120.0,103.95,6237,target_rps120.00_iter01_rps103.95_lat.csv
8294,17711663,6481982.4679464605,6571971.0,13353355.7,13896953.18,3729737.312600923,120.0,94.63,5678,target_rps120.00_iter02_rps94.63_lat.csv
10595,12709396,5609016.852270809,5144984.0,11537756.8,12065287.62,3572058.55804189,120.0,98.72,5923,target_rps120.00_iter03_rps98.72_lat.csv
