target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,39.97,39.93,39.97,39.96,39.93,39.97,99.9
60.00,62.34,62.18,62.23,62.25,62.18,62.34,103.8
80.00,82.63,82.62,82.60,82.62,82.60,82.63,103.3
100.00,98.45,98.20,98.75,98.47,98.20,98.75,98.5
120.00,122.47,121.55,121.73,121.92,121.55,122.47,101.6
140.00,137.48,137.51,137.65,137.55,137.48,137.65,98.2
160.00,159.52,159.41,160.55,159.83,159.41,160.55,99.9
180.00,184.31,186.08,186.88,185.76,184.31,186.88,103.2
200.00,184.33,187.38,187.48,186.40,184.33,187.48,93.2
220.00,228.91,216.75,217.25,220.97,216.75,228.91,100.4
240.00,227.10,228.85,223.56,226.50,223.56,228.85,94.4
260.00,273.47,261.85,260.23,265.18,260.23,273.47,102.0
280.00,265.90,268.08,269.08,267.69,265.90,269.08,95.6
300.00,267.89,263.37,262.65,264.64,262.65,267.89,88.2
320.00,260.93,271.98,280.62,271.18,260.93,280.62,84.7
340.00,351.65,317.44,332.63,333.91,317.44,351.65,98.2
360.00,334.13,337.97,323.60,331.90,323.60,337.97,92.2
380.00,329.11,322.39,329.85,327.12,322.39,329.85,86.1
400.00,325.55,336.73,341.81,334.70,325.55,341.81,83.7
420.00,367.07,361.55,352.11,360.24,352.11,367.07,85.8
440.00,356.65,360.68,367.32,361.55,356.65,367.32,82.2
460.00,369.83,329.13,330.86,343.27,329.13,369.83,74.6
480.00,345.53,363.42,329.20,346.05,329.20,363.42,72.1
500.00,328.69,332.50,326.63,329.27,326.63,332.50,65.9

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,369.83,460.00
Max Iter2,363.42,480.00
Max Iter3,367.32,440.00
Overall Max,369.83,460.00
Avg of Max,366.86,
