timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-04T14:27:57.463563,2,2,7,88,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:27:59.707116,2,2,6,89,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:02.009790,2,2,6,89,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:04.237452,2,2,6,89,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:06.531499,2,2,6,89,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:08.770480,2,2,6,89,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:11.063702,2,2,6,89,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:13.301167,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:15.624940,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:17.929843,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:20.260780,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:22.505104,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:24.875293,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:27.177300,2,2,29,97,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:29.437097,2,2,94,105,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:31.654608,2,2,94,105,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:33.909982,2,2,94,105,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:36.149996,2,2,94,105,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:38.419881,2,2,94,105,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:40.709796,2,2,94,105,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:42.972650,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:45.296685,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:47.531490,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:49.798405,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:52.068230,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:54.295695,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:56.629742,2,2,86,106,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:28:58.961700,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:01.201743,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:03.449451,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:05.698494,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:07.989280,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:10.246835,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:12.472130,2,2,87,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:14.728711,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:16.959927,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:19.201768,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:21.494018,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:23.764039,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:26.010470,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:28.257744,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:30.501774,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:32.789811,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:35.014308,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:37.231946,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:39.444873,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:41.688137,2,2,80,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:43.973887,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:46.223682,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:48.461754,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:50.697248,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:52.990457,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:55.221050,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:57.449975,2,2,82,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:29:59.710968,2,2,77,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:01.928615,2,2,77,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:04.142146,2,2,77,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:06.353758,2,2,77,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:08.641825,2,2,77,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:10.853712,2,2,77,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:13.088564,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:15.338846,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:17.548562,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:19.789810,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:22.061037,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:24.271869,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:26.575881,2,2,70,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:28.846297,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:31.085904,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:33.301808,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:35.554148,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:37.814343,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:40.153177,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:42.346022,2,2,79,107,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:44.590386,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:46.808030,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:49.050911,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:51.334204,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:53.549756,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:55.800878,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:30:58.053896,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:00.319243,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:02.576258,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:04.808799,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:07.012193,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:09.302113,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:11.530979,2,2,76,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:13.768390,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:16.037748,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:18.300687,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:20.551396,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:22.794913,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:25.056052,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:27.294919,2,2,65,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:29.554896,2,2,87,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:31.828649,2,2,87,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:34.105184,2,2,87,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:36.404715,2,2,87,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:38.710734,2,2,87,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:40.969854,2,2,87,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:43.279176,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:45.548116,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:47.806804,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:50.126876,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:52.429766,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:54.665811,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:56.891576,2,2,141,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:31:59.149115,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:01.397493,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:03.633861,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:05.877727,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:08.180340,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:10.417752,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:12.652968,2,2,144,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:14.868359,2,2,147,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:17.113804,2,2,147,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:19.400573,2,2,147,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:21.730750,2,2,147,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:23.977772,2,2,147,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:26.228350,2,2,147,108,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
2025-09-04T14:32:28.463195,2,2,126,109,"fibonacci-python-b2-00001-deployment-6cc4b8c9fb-5jkfp:Ready|fibonacci-python-b2-00001-deployment-6cc4b8c9fb-k47hx:Ready"
