timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-04T20:05:59.359420,4,4,14,171,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:01.601760,4,4,14,171,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:03.921965,4,4,14,171,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:06.247828,4,4,14,171,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:08.530721,4,4,14,171,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:10.913896,4,4,14,171,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:13.328629,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:15.645713,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:18.067693,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:20.403181,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:22.802456,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:25.096141,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:27.361803,4,4,49,177,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:29.614725,4,4,110,189,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:31.857746,4,4,110,189,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:34.112857,4,4,110,189,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:36.346762,4,4,110,189,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:38.567562,4,4,110,189,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:40.788111,4,4,110,189,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:43.052225,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:45.325743,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:47.541329,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:49.782681,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:52.029470,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:54.257738,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:56.549758,4,4,101,197,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:06:58.819028,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:01.033796,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:03.291417,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:05.500671,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:07.780551,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:10.002346,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:12.210265,4,4,88,201,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
2025-09-04T20:07:14.437443,4,4,74,203,"fibonacci-python-b3-00001-deployment-5f997b5d48-dfb7x:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-kngtz:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-s4kp5:Ready|fibonacci-python-b3-00001-deployment-5f997b5d48-vp5bx:Ready"
