rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_b3,3,1200.0,0.0,1200,1200,5303.666666666667,24.826061575153908,5275,5318,338918.0,190935.96768812314,194930,555505,9429.751944444446,1909.5433779877578,7979.3966666666665,11593.23,7263.0,452.76594394896796,6899.0,7770.0,13369.216666666654,3594.9900432175364,10755.599999999999,17468.99999999997,54719.829999999965,46457.03381384997,19311.37,107323.00999999998,20.0,0.0,20.0,20.0,1200.0,5303.666666666667,338918.0,9429.751944444446,7263.0,13369.216666666654,54719.829999999965,20.0
40,60,fibonacci_python_b3,3,2399.6666666666665,0.5773502691896258,2399,2400,4715.0,128.96898852049665,4603,4856,1078145.6666666667,841435.6352456991,346131,1997443,14055.88108262702,5992.977206407098,9302.794914547729,20788.099166666667,6818.0,133.57020625873122,6709.0,6967.0,15327.183333333322,1707.086556339004,13847.549999999976,17194.899999999994,198884.6933333293,136283.50099428277,84899.07999999986,349838.40999998926,39.99333333333333,0.01154700538379432,39.98,40.0,2399.6666666666665,4715.0,1078145.6666666667,14055.88108262702,6818.0,15327.183333333322,198884.6933333293,39.99333333333333
60,60,fibonacci_python_b3,3,3745.0,4.58257569495584,3741,3750,4448.666666666667,272.27253503306815,4135,4624,712264.3333333334,301880.4672471098,513617,1059653,12339.804874788839,1339.790005071128,10986.7208,13665.892809409248,6571.333333333333,207.44718203276065,6339.0,6738.0,17903.933333333323,1062.217777027536,17116.0,19111.949999999986,162857.03333333315,29641.622720386582,128665.87999999971,181312.59999999966,62.416666666666664,0.07637626158259687,62.35,62.5,3745.0,4448.666666666667,712264.3333333334,12339.804874788839,6571.333333333333,17903.933333333323,162857.03333333315,62.416666666666664
80,60,fibonacci_python_b3,3,4993.666666666667,1.1547005383792517,4993,4995,4464.333333333333,106.1005812111005,4361,4573,554881.0,192969.0224440182,340542,714787,14303.390385872888,3361.8478998792907,10446.522932104946,16613.205005005006,6614.333333333333,26.025628394590846,6589.0,6641.0,42506.13333333331,20541.941497661195,19781.199999999953,59755.40000000007,193559.95333333337,75696.03216266054,107333.75999999998,249069.50000000012,83.23,0.01732050807568943,83.22,83.25,4993.666666666667,4464.333333333333,554881.0,14303.390385872888,6614.333333333333,42506.13333333331,193559.95333333337,83.23
100,60,fibonacci_python_b3,3,5971.666666666667,13.316656236958787,5957,5983,4239.0,189.73929482318627,4024,4383,886654.3333333334,403316.7009997644,505559,1309019,18041.953049075764,2105.5040232842885,16804.98460251046,20473.05388618432,6774.0,57.88782255362521,6728.0,6839.0,73396.5333333333,11913.607776544186,62269.399999999885,85965.39999999997,229821.8866666661,40016.51142467141,191333.7800000001,271209.11999999825,99.52666666666669,0.22479620400116357,99.28,99.72,5971.666666666667,4239.0,886654.3333333334,18041.953049075764,6774.0,73396.5333333333,229821.8866666661,99.52666666666669
120,60,fibonacci_python_b3,3,7423.0,38.22302970723278,7379,7448,4070.3333333333335,235.3939959585489,3800,4230,1093009.6666666667,222532.5069519807,908590,1340180,45196.56900477031,9874.731962123458,37054.71764232009,56180.74454533135,14056.833333333334,5831.381618736106,8589.0,20194.0,175808.7833333332,30393.613970467886,150669.39999999997,209586.4999999996,395325.53000000055,91896.75236906325,316220.50999999954,496130.060000002,123.71333333333332,0.6370504951205429,122.98,124.13,7423.0,4070.3333333333335,1093009.6666666667,45196.56900477031,14056.833333333334,175808.7833333332,395325.53000000055,123.71333333333332
140,60,fibonacci_python_b3,3,8454.666666666666,53.89186704256342,8394,8497,4151.333333333333,192.85832451137114,4022,4373,1094164.0,202069.6799794566,885406,1288805,62010.92342978547,11932.850939578855,51833.10697893374,75143.5851798904,33623.166666666664,10544.58415886247,23235.0,44317.5,204449.3499999999,36546.81115442896,175657.8,245565.04999999978,433576.1233333338,102340.41541835702,369987.00000000204,551631.2099999997,140.90333333333334,0.8927672335683775,139.9,141.61,8454.666666666666,4151.333333333333,1094164.0,62010.92342978547,33623.166666666664,204449.3499999999,433576.1233333338,140.90333333333334
160,60,fibonacci_python_b3,3,9694.333333333334,26.501572280401277,9668,9721,4215.333333333333,39.62743157628732,4174,4253,1046398.3333333334,106511.53444737021,924094,1118773,77719.00828047551,6023.474052028075,73222.84559201729,84562.80833505261,53169.333333333336,1788.0941203788275,51970.0,55224.5,231406.65,26472.180351880805,215684.09999999992,261969.8500000001,466366.7699999997,109715.97157690274,374110.19999999955,587689.0599999998,161.57,0.4399999999999977,161.13,162.01,9694.333333333334,4215.333333333333,1046398.3333333334,77719.00828047551,53169.333333333336,231406.65,466366.7699999997,161.57
180,60,fibonacci_python_b3,3,11575.333333333334,73.78572581016827,11491,11628,4249.0,164.92725669215505,4073,4400,1894395.0,1694728.8348511688,784865,3845159,134240.0349687847,58520.23948867755,99863.81639146886,201809.93786441564,72647.0,1619.185288964793,71282.0,74436.0,534402.8333333334,414081.6074985381,292217.6999999999,1012529.5,1238211.3300000005,1192060.3100749617,496064.4099999996,2613237.600000002,192.92333333333332,1.2278572121111326,191.52,193.8,11575.333333333334,4249.0,1894395.0,134240.0349687847,72647.0,534402.8333333334,1238211.3300000005,192.92333333333332
200,60,fibonacci_python_b3,3,11624.666666666666,62.580614676857664,11579,11696,4108.666666666667,93.5111401563115,4007,4191,1915739.0,1410377.651659654,866023,3518900,100582.35655293845,4182.417723235646,95814.36679206566,103631.42529528408,70767.16666666667,2671.9816772076365,67957.5,73276.0,295139.1000000001,9993.890138979934,285010.5,304992.60000000003,576380.6033333334,22547.667371532283,559814.6499999999,602058.2400000008,193.74,1.0436953578511379,192.98,194.93,11624.666666666666,4108.666666666667,1915739.0,100582.35655293845,70767.16666666667,295139.1000000001,576380.6033333334,193.74
