target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,39.97,39.98,39.98,39.97,40.00,100.0
60.00,62.47,62.40,62.47,62.45,62.40,62.47,104.1
80.00,83.17,83.10,83.18,83.15,83.10,83.18,103.9
100.00,99.75,99.66,99.50,99.64,99.50,99.75,99.6
120.00,123.98,124.28,124.03,124.10,123.98,124.28,103.4
140.00,140.85,141.50,140.98,141.11,140.85,141.50,100.8
160.00,163.98,164.00,164.07,164.02,163.98,164.07,102.5
180.00,195.93,195.90,196.81,196.21,195.90,196.81,109.0
200.00,196.58,194.18,196.45,195.74,194.18,196.58,97.9
220.00,242.53,244.16,243.55,243.41,242.53,244.16,110.6
240.00,243.73,242.80,243.47,243.33,242.80,243.73,101.4
260.00,317.28,317.53,317.20,317.34,317.20,317.53,122.1
280.00,315.72,317.16,316.63,316.50,315.72,317.16,113.0
300.00,318.51,317.40,316.33,317.41,316.33,318.51,105.8
320.00,318.35,318.58,316.00,317.64,316.00,318.58,99.3
340.00,448.63,452.65,452.73,451.34,448.63,452.73,132.7
360.00,451.48,453.17,452.78,452.48,451.48,453.17,125.7
380.00,451.43,452.36,447.99,450.59,447.99,452.36,118.6
400.00,444.18,453.43,452.75,450.12,444.18,453.43,112.5
420.00,450.23,445.47,450.26,448.65,445.47,450.26,106.8
440.00,451.07,448.70,440.46,446.74,440.46,451.07,101.5
460.00,450.35,449.92,450.50,450.26,449.92,450.50,97.9
480.00,452.50,451.80,452.94,452.41,451.80,452.94,94.3
500.00,444.50,448.55,449.95,447.67,444.50,449.95,89.5

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,452.50,480.00
Max Iter2,453.43,400.00
Max Iter3,452.94,480.00
Overall Max,453.43,400.00
Avg of Max,452.96,
