rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_c4,3,1200.0,0.0,1200,1200,5453.666666666667,188.5373526209948,5334,5671,260989.0,112545.98625895106,131770,337575,9351.78388888889,1219.9752692223399,8348.0925,10709.6625,7357.666666666667,130.66783587912263,7239.5,7498.0,13039.699999999997,1092.052347646393,12263.8,14288.499999999998,45942.71666666653,32363.699074834112,24868.10999999999,83206.49999999959,20.0,0.0,20.0,20.0,1200.0,5453.666666666667,260989.0,9351.78388888889,7357.666666666667,13039.699999999997,45942.71666666653,20.0
40,60,fibonacci_python_c4,3,2400.0,0.0,2400,2400,5065.333333333333,91.5223105768934,5011,5171,361652.0,102989.96073404436,293806,480160,8885.575416666667,745.2430451566386,8409.100833333334,9744.39,6968.833333333333,76.63930671224351,6910.0,7055.5,13146.299999999983,283.6357391091541,12909.149999999983,13460.499999999975,41554.95333333324,12882.043916593077,32284.089999999902,56264.379999999874,39.99666666666667,0.005773502691895109,39.99,40.0,2400.0,5065.333333333333,361652.0,8885.575416666667,6968.833333333333,13146.299999999983,41554.95333333324,39.99666666666667
60,60,fibonacci_python_c4,3,3748.3333333333335,1.5275252316519465,3747,3750,4779.0,89.86656775464388,4705,4879,658237.0,369699.07299991976,328293,1057794,10319.079834135997,1401.671926181948,9034.0632,11813.781425140112,6846.333333333333,98.5549761977209,6771.5,6958.0,14889.733333333315,858.7669566496835,14257.349999999962,15867.399999999998,77156.10999999981,5512.899706443003,70838.51999999989,80991.7399999998,62.473333333333336,0.02516611478423459,62.45,62.5,3748.3333333333335,4779.0,658237.0,10319.079834135997,6846.333333333333,14889.733333333315,77156.10999999981,62.473333333333336
80,60,fibonacci_python_c4,3,4992.666666666667,5.507570547286102,4987,4998,4657.666666666667,42.44211744639201,4609,4687,457796.6666666667,136538.9146080096,344025,609207,9114.926019239652,469.75845852014197,8690.927370948379,9619.913174253057,6841.333333333333,204.6615091641155,6607.0,6985.0,15072.933333333329,1871.3853433575218,13060.89999999999,16761.5,53160.05333333325,3389.2557314747414,49247.91999999973,55208.12000000004,83.21333333333334,0.09018499505645412,83.12,83.3,4992.666666666667,4657.666666666667,457796.6666666667,9114.926019239652,6841.333333333333,15072.933333333329,53160.05333333325,83.21333333333334
100,60,fibonacci_python_c4,3,5987.0,2.0,5985,5989,4572.333333333333,104.22251836015734,4452,4634,664058.0,21814.345440558147,649517,689141,11519.53050840109,505.16992235186854,11064.159565580618,12062.928869594256,6750.666666666667,175.26075811011813,6646.0,6953.0,18309.833333333332,329.57846309086307,17967.599999999988,18625.09999999999,131228.31333333332,26836.484345579443,114838.30000000008,162198.79999999993,99.78333333333335,0.03511884584283885,99.75,99.82,5987.0,4572.333333333333,664058.0,11519.53050840109,6750.666666666667,18309.833333333332,131228.31333333332,99.78333333333335
120,60,fibonacci_python_c4,3,7434.666666666667,8.020806277010644,7427,7443,4342.666666666667,99.43004240838546,4252,4449,1049937.0,105886.4820031339,933242,1139886,15512.72157067951,1024.5883902874623,14660.122276029057,16649.36423485154,6875.666666666667,170.0009803893299,6742.0,7067.0,32391.216666666627,9361.03321518694,25700.699999999986,43088.79999999995,231389.60999999987,38279.40993727148,197701.37000000023,273015.5799999996,123.90333333333332,0.14502873278537656,123.76,124.05,7434.666666666667,4342.666666666667,1049937.0,15512.72157067951,6875.666666666667,32391.216666666627,231389.60999999987,123.90333333333332
140,60,fibonacci_python_c4,3,8476.666666666666,7.505553499465135,8468,8481,4343.666666666667,126.23919095642736,4206,4454,951601.3333333334,439448.6970697869,500202,1378035,17043.403412220385,2340.3088462123906,15053.605353142319,19621.834335573636,7005.333333333333,24.006943440041116,6981.0,7029.0,51959.81666666665,4518.737047099928,48071.0,56917.0,238543.67333333357,58156.28889243341,193645.60000000015,304239.40000000066,141.27666666666667,0.12701705922171702,141.13,141.35,8476.666666666666,4343.666666666667,951601.3333333334,17043.403412220385,7005.333333333333,51959.81666666665,238543.67333333357,141.27666666666667
160,60,fibonacci_python_c4,3,9832.666666666666,23.007245235649865,9810,9856,4212.0,145.3925720248459,4082,4369,1091485.6666666667,394080.90179598064,840752,1545713,19494.884965502566,2215.7224463847733,17763.126420454544,21991.771661569826,7285.833333333333,210.9741295356692,7151.5,7529.0,69094.41666666667,23556.52346794479,50331.749999999985,95531.0,273368.9500000002,28811.77769227514,249148.20000000054,305231.1599999999,163.88,0.37999999999999545,163.5,164.26,9832.666666666666,4212.0,1091485.6666666667,19494.884965502566,7285.833333333333,69094.41666666667,273368.9500000002,163.88
180,60,fibonacci_python_c4,3,11671.666666666666,38.734136537856806,11627,11696,4197.0,19.672315572906,4176,4215,805329.6666666666,123163.92968857942,718842,946345,32803.1372108889,3650.3716172369286,29755.8835499316,36848.84587752309,9645.333333333334,680.8021616691102,9006.5,10361.5,138880.69999999995,14767.139373284168,128133.0,155718.99999999994,341477.26333333313,48248.37831144226,290650.29999999964,386648.55000000005,194.51666666666665,0.6384616929255317,193.78,194.91,11671.666666666666,4197.0,805329.6666666666,32803.1372108889,9645.333333333334,138880.69999999995,341477.26333333313,194.51666666666665
200,60,fibonacci_python_c4,3,11713.0,20.074859899884732,11694,11734,4266.333333333333,110.87079567376313,4171,4388,1247964.3333333333,396065.6553607411,951880,1697865,31296.553626396224,4627.011586993937,26967.718425089482,36173.00470326663,9327.333333333334,617.209513320504,8647.5,9852.5,129323.35000000003,23219.95211789856,108496.65000000001,154360.40000000008,324939.1333333333,36552.27919895595,299683.49999999994,366853.1899999999,195.21333333333337,0.3312602199681273,194.9,195.56,11713.0,4266.333333333333,1247964.3333333333,31296.553626396224,9327.333333333334,129323.35000000003,324939.1333333333,195.21333333333337
220,60,fibonacci_python_c4,3,14242.333333333334,28.04163571073081,14210,14260,4328.666666666667,77.03462424996525,4262,4413,927497.0,135414.6339654618,819019,1079263,56943.68219022278,1537.633328266875,55360.35631136045,58431.136494353654,32378.333333333332,785.615894272343,31618.0,33187.0,188335.74999999988,7536.747262081945,180410.0999999999,195411.54999999984,403165.94333333446,27731.17762509805,376979.57999999996,432219.20000000356,237.36666666666667,0.46543886100467474,236.83,237.66,14242.333333333334,4328.666666666667,927497.0,56943.68219022278,32378.333333333332,188335.74999999988,403165.94333333446,237.36666666666667
240,60,fibonacci_python_c4,3,14214.333333333334,57.064291227818934,14152,14264,4261.333333333333,20.108041509140897,4239,4278,1088970.6666666667,317435.01505872555,787236,1420066,57400.83926324137,1298.4660402938,56178.74614413909,58764.136023176936,31964.333333333332,1654.7225094659627,30056.5,33009.0,188184.09999999971,6213.031499799185,181353.6499999999,193499.4499999993,418640.6299999999,48812.659169980725,380462.75999999983,473639.3599999999,236.9,0.9525229656023944,235.86,237.73,14214.333333333334,4261.333333333333,1088970.6666666667,57400.83926324137,31964.333333333332,188184.09999999971,418640.6299999999,236.9
260,60,fibonacci_python_c4,3,18266.0,13.892443989449804,18250,18275,4261.333333333333,237.58016191031888,3987,4399,1245353.3333333333,395406.67390211474,862819,1652484,82828.45697296824,5682.114002915505,78002.11846785225,89090.81601269633,58998.833333333336,1498.0564352965257,57556.5,60547.0,237795.94999999995,31406.843398493573,212162.3999999999,272829.3999999999,461692.67999999964,89085.88623927152,368691.85999999964,546264.48,304.43333333333334,0.22854612955228126,304.17,304.58,18266.0,4261.333333333333,1245353.3333333333,82828.45697296824,58998.833333333336,237795.94999999995,461692.67999999964,304.43333333333334
280,60,fibonacci_python_c4,3,18204.666666666668,102.0016339738405,18103,18307,4279.0,225.10219901191547,4045,4494,1182319.6666666667,69397.56311523722,1102262,1225365,87244.93485263287,1892.5501550112403,85189.7771087665,88915.93510678975,61558.0,1032.5134381692085,60716.0,62710.0,253941.94999999963,10062.934424535919,245282.4999999989,264981.60000000003,514644.14333333354,38006.92957735744,490227.2100000011,558434.0399999999,303.40333333333336,1.6850024727973683,301.72,305.09,18204.666666666668,4279.0,1182319.6666666667,87244.93485263287,61558.0,253941.94999999963,514644.14333333354,303.40333333333336
300,60,fibonacci_python_c4,3,18159.666666666668,49.81298358192705,18127,18217,4317.333333333333,84.33465084609846,4227,4394,1324682.3333333333,448099.47671508533,964396,1826444,86066.31155458362,2795.9747180019426,82837.94367898117,87707.0523848911,61795.0,368.34630444732306,61545.0,62218.0,247278.76666666675,21527.872043082574,222465.00000000006,260972.90000000034,477274.2000000002,45713.47215020074,425920.5600000004,513525.72,302.66333333333336,0.8310435207215896,302.12,303.62,18159.666666666668,4317.333333333333,1324682.3333333333,86066.31155458362,61795.0,247278.76666666675,477274.2000000002,302.66333333333336
320,60,fibonacci_python_c4,3,18260.333333333332,28.88482877451991,18227,18278,4222.333333333333,2.8867513459481287,4219,4224,1018970.6666666666,259202.48471481388,796581,1303639,84428.71120038333,2377.739941242258,81813.24858726066,86459.7430791115,61228.0,890.7964133291063,60332.0,62113.5,241696.93333333323,12194.198897665676,227793.20000000004,250575.75,437779.79666666704,22081.850772786245,412901.8200000013,455058.5,304.32666666666665,0.473427220735522,303.78,304.6,18260.333333333332,4222.333333333333,1018970.6666666666,84428.71120038333,61228.0,241696.93333333323,437779.79666666704,304.32666666666665
340,60,fibonacci_python_c4,3,25417.333333333332,176.9783414244052,25220,25562,4522.666666666667,141.90254872035715,4402,4679,1462470.3333333333,125158.46202847545,1330727,1579795,126870.31648313224,4788.9821557131145,121341.98606203377,129746.38412487286,96435.66666666667,3304.0346673927825,92700.0,98974.5,329612.4499999998,16096.037371586408,311143.39999999956,340650.5999999999,557633.7766666673,47990.46309855769,502451.0800000009,589611.1300000015,423.6033333333333,2.9428104480807646,420.33,426.03,25417.333333333332,4522.666666666667,1462470.3333333333,126870.31648313224,96435.66666666667,329612.4499999998,557633.7766666673,423.6033333333333
360,60,fibonacci_python_c4,3,25614.333333333332,269.51128609639585,25308,25815,4489.0,61.83041322844284,4418,4531,1286318.6666666667,132470.92592087266,1140748,1399791,127576.09125131783,4483.414506354711,122854.24667828782,131775.25821874506,96116.16666666667,1416.8680543132211,94740.0,97570.5,340542.01666666655,22354.858669332545,315076.19999999995,356929.89999999997,558948.4366666671,42322.75124540233,515234.70000000065,599727.44,426.8966666666667,4.501914407597452,421.78,430.25,25614.333333333332,4489.0,1286318.6666666667,127576.09125131783,96116.16666666667,340542.01666666655,558948.4366666671,426.8966666666667
380,60,fibonacci_python_c4,3,25481.666666666668,269.4185096338656,25226,25763,4518.333333333333,197.85432351438098,4304,4694,2118724.6666666665,622734.8892236032,1669527,2829600,123484.22608897772,6282.273443738707,118575.71791009276,130564.155287555,93154.16666666667,1027.308416851207,92101.0,94153.5,322088.9333333331,37977.76233222985,287405.0,362670.5,550083.4733333335,71750.10561211494,482750.25,625556.2500000002,424.67333333333335,4.474341664796415,420.42,429.34,25481.666666666668,4518.333333333333,2118724.6666666665,123484.22608897772,93154.16666666667,322088.9333333331,550083.4733333335,424.67333333333335
400,60,fibonacci_python_c4,3,25547.0,33.8673884437522,25508,25569,4392.666666666667,247.45571994466673,4107,4541,1488337.3333333333,451750.9033929355,998867,1889255,126089.61688284909,7063.252482707486,121506.97559067438,134223.80366850484,95422.5,6604.1939515735,90062.0,102800.0,335269.7499999998,24635.19632522759,317046.8999999997,363297.8,559649.3099999999,12294.583126291542,548863.9900000001,573036.6199999995,425.77333333333337,0.559851170699261,425.13,426.15,25547.0,4392.666666666667,1488337.3333333333,126089.61688284909,95422.5,335269.7499999998,559649.3099999999,425.77333333333337
420,60,fibonacci_python_c4,3,25562.0,25.865034312755125,25539,25590,4381.0,212.0070753536306,4168,4592,1592059.3333333333,177761.7486675166,1429996,1782182,134023.75239779727,6101.728075507917,127993.0673871334,140194.12489253614,98972.83333333333,3852.9674386546963,95177.0,102880.5,360560.25,26756.481080338217,330969.7,383050.2499999999,640982.3499999996,30124.4018055582,614131.0399999993,673558.33,426.0233333333333,0.4343193909248586,425.65,426.5,25562.0,4381.0,1592059.3333333333,134023.75239779727,98972.83333333333,360560.25,640982.3499999996,426.0233333333333
440,60,fibonacci_python_c4,3,25487.0,21.37755832643195,25470,25511,4610.666666666667,235.84811496667368,4474,4883,1335802.0,63086.807083573345,1263548,1379958,127747.46624247085,11000.173931476798,117113.33258735767,139080.36448194663,97390.16666666667,7261.308599924213,90201.5,104722.0,333414.3166666666,41239.2296400626,291592.4,374045.04999999964,528397.8733333334,66894.53207361636,468709.6000000003,600702.1199999996,424.78333333333336,0.3538832199092438,424.5,425.18,25487.0,4610.666666666667,1335802.0,127747.46624247085,97390.16666666667,333414.3166666666,528397.8733333334,424.78333333333336
460,60,fibonacci_python_c4,3,25595.666666666668,260.35616630556945,25371,25881,4514.0,169.67910890855126,4340,4679,1195556.3333333333,163672.62158752556,1044161,1369225,123979.5708707879,5081.832077441041,118337.25574745952,128196.51756412767,94528.0,3796.4230533490336,90876.0,98454.0,320578.1333333333,12138.158748481299,306569.0,327960.89999999997,543653.7533333334,30433.70040173434,508536.8000000002,562356.7,426.5933333333333,4.339658204666972,422.85,431.35,25595.666666666668,4514.0,1195556.3333333333,123979.5708707879,94528.0,320578.1333333333,543653.7533333334,426.5933333333333
