min,max,average,median,p95,p99,std,target_rps,throughput_rps,total_requests,filename
5460,582407,11902.815,7341.0,12270.199999999999,159897.7099999998,33820.481041189254,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5355,393924,9743.385833333334,7355.0,14029.249999999993,44039.62,19891.373130756103,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5575,221993,8767.845,7361.0,13512.449999999999,29531.019999999997,8790.529367979401,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4721,411690,8848.290120883701,7056.0,13474.499999999998,36917.2399999996,12679.743526125378,40.0,39.98,2399,target_rps40.00_iter01_rps39.98_lat.csv
4787,259129,8659.786994581076,7058.0,14030.399999999998,33402.52,9850.772934723738,40.0,39.98,2399,target_rps40.00_iter02_rps39.98_lat.csv
4902,196956,7923.58875,6765.5,11919.099999999999,24163.129999999997,7735.707965691102,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
4866,529238,10398.854890432924,7101.5,18062.75,75020.87000000036,22054.31929728377,60.0,62.37,3742,target_rps60.00_iter01_rps62.37_lat.csv
4519,594379,9202.211789810615,6722.0,15084.199999999995,63662.35999999999,18283.72878957528,60.0,62.48,3749,target_rps60.00_iter02_rps62.48_lat.csv
4794,687016,10090.476927180582,6589.0,14753.999999999993,86502.08,27757.142656585827,60.0,62.48,3749,target_rps60.00_iter03_rps62.48_lat.csv
4694,384964,9860.252151290775,6835.0,15533.599999999995,91104.27999999997,18818.07257278148,80.0,83.28,4997,target_rps80.00_iter01_rps83.28_lat.csv
4642,1969345,11581.699058304948,6762.0,16079.0,108745.10000000003,46406.407910784525,80.0,83.18,4991,target_rps80.00_iter02_rps83.18_lat.csv
4669,813765,11518.321786143371,6775.5,16849.049999999923,118151.04999999923,35594.42338623589,80.0,83.23,4994,target_rps80.00_iter03_rps83.23_lat.csv
4476,548939,10477.618282270216,6788.0,18094.599999999988,94442.83999999965,22929.698491068117,100.0,99.55,5973,target_rps100.00_iter01_rps99.55_lat.csv
4499,923602,10736.021094927173,6484.0,19090.599999999944,124003.0,25732.091356937257,100.0,99.55,5973,target_rps100.00_iter02_rps99.55_lat.csv
4376,594579,10017.291854825222,6419.0,15647.999999999995,100220.88000000038,25168.920459808727,100.0,99.65,5979,target_rps100.00_iter03_rps99.65_lat.csv
4341,561561,12023.675846319184,6733.5,22588.699999999997,146529.14999999967,27370.9260910021,120.0,124.07,7444,target_rps120.00_iter01_rps124.07_lat.csv
4490,727324,11898.62838381131,6687.0,19029.79999999999,148522.49000000133,32617.78255956388,120.0,124.37,7462,target_rps120.00_iter02_rps124.37_lat.csv
4365,714887,11199.025771812081,6631.0,20306.199999999997,106932.09000000005,27157.77523033906,120.0,124.17,7450,target_rps120.00_iter03_rps124.17_lat.csv
3885,1084160,13337.323251417769,6620.0,23896.999999999935,176964.9900000009,41043.938278101494,140.0,141.06,8464,target_rps140.00_iter01_rps141.06_lat.csv
4410,601409,12746.750737289136,6918.0,25191.99999999997,153428.31999999963,30546.815316679196,140.0,141.28,8477,target_rps140.00_iter02_rps141.28_lat.csv
4297,805130,13434.994132832668,6679.0,23278.449999999997,169807.60999999777,41112.48821457231,140.0,142.03,8522,target_rps140.00_iter03_rps142.03_lat.csv
4371,944350,18645.43315018315,7120.5,70841.94999999995,253701.7799999998,50714.37641155303,160.0,163.8,9828,target_rps160.00_iter01_rps163.80_lat.csv
4409,2105692,21418.30022344099,7397.0,83502.5,298252.4999999995,66032.24499174983,160.0,164.1,9846,target_rps160.00_iter02_rps164.10_lat.csv
4313,765126,16182.032943568887,7296.0,45398.19999999993,210941.8599999998,44390.12064171946,160.0,163.91,9835,target_rps160.00_iter03_rps163.91_lat.csv
4245,670614,20356.504416510958,7669.5,86035.65000000002,223994.5700000001,44498.21434084142,180.0,196.23,11774,target_rps180.00_iter01_rps196.23_lat.csv
3985,916262,21634.834971369968,8290.0,89239.0,248019.0,47966.93049118977,180.0,195.02,11701,target_rps180.00_iter02_rps195.02_lat.csv
4331,545688,22721.975836748636,8282.0,97132.69999999988,262124.9199999998,47704.39008430732,180.0,195.2,11712,target_rps180.00_iter03_rps195.20_lat.csv
4221,1325240,27975.74658417118,7934.0,120448.79999999903,405440.95999999816,79331.80281781033,200.0,193.95,11637,target_rps200.00_iter01_rps193.95_lat.csv
4225,1163529,24339.861524004784,7895.0,103372.25,324510.65000000084,65537.16395204612,200.0,195.1,11706,target_rps200.00_iter02_rps195.10_lat.csv
3971,787621,25024.072320897423,8141.0,105806.89999999997,309367.34000000014,58278.026979819886,200.0,196.1,11767,target_rps200.00_iter03_rps196.10_lat.csv
4437,1254056,45733.50298224686,18985.0,164707.0,374716.5,77227.8919521821,220.0,237.52,14251,target_rps220.00_iter01_rps237.52_lat.csv
4359,978294,45077.55049043822,16120.0,170090.0,403723.1999999997,78192.14820498599,220.0,236.18,14171,target_rps220.00_iter02_rps236.18_lat.csv
4384,918159,39525.39741790626,13975.0,156150.49999999974,348170.1799999996,67396.20226386118,220.0,237.51,14252,target_rps220.00_iter03_rps237.51_lat.csv
