2025-09-07T13:21:22+01:00  13:21:22 up 21 days, 6 min,  1 user,  load average: 4.49, 3.43, 5.13
2025-09-07T13:21:27+01:00  13:21:27 up 21 days, 7 min,  1 user,  load average: 4.13, 3.37, 5.10
2025-09-07T13:21:32+01:00  13:21:32 up 21 days, 7 min,  1 user,  load average: 4.12, 3.38, 5.09
2025-09-07T13:21:37+01:00  13:21:37 up 21 days, 7 min,  1 user,  load average: 3.79, 3.33, 5.07
2025-09-07T13:21:42+01:00  13:21:42 up 21 days, 7 min,  1 user,  load average: 3.72, 3.32, 5.05
2025-09-07T13:21:47+01:00  13:21:47 up 21 days, 7 min,  1 user,  load average: 3.43, 3.27, 5.03
2025-09-07T13:21:52+01:00  13:21:52 up 21 days, 7 min,  1 user,  load average: 3.47, 3.28, 5.02
2025-09-07T13:21:57+01:00  13:21:57 up 21 days, 7 min,  1 user,  load average: 3.35, 3.26, 5.00
2025-09-07T13:22:02+01:00  13:22:02 up 21 days, 7 min,  1 user,  load average: 4.05, 3.40, 5.04
2025-09-07T13:22:07+01:00  13:22:07 up 21 days, 7 min,  1 user,  load average: 3.80, 3.36, 5.02
2025-09-07T13:22:12+01:00  13:22:12 up 21 days, 7 min,  1 user,  load average: 4.14, 3.44, 5.04
2025-09-07T13:22:17+01:00  13:22:17 up 21 days, 7 min,  1 user,  load average: 3.81, 3.38, 5.01
2025-09-07T13:22:22+01:00  13:22:22 up 21 days, 7 min,  1 user,  load average: 3.90, 3.41, 5.01
2025-09-07T13:22:27+01:00  13:22:27 up 21 days, 8 min,  1 user,  load average: 3.59, 3.35, 4.98
2025-09-07T13:22:32+01:00  13:22:32 up 21 days, 8 min,  1 user,  load average: 3.86, 3.41, 4.99
2025-09-07T13:22:37+01:00  13:22:37 up 21 days, 8 min,  1 user,  load average: 3.87, 3.42, 4.99
2025-09-07T13:22:42+01:00  13:22:42 up 21 days, 8 min,  1 user,  load average: 3.72, 3.40, 4.97
2025-09-07T13:22:47+01:00  13:22:47 up 21 days, 8 min,  1 user,  load average: 3.51, 3.36, 4.95
2025-09-07T13:22:52+01:00  13:22:52 up 21 days, 8 min,  1 user,  load average: 3.95, 3.45, 4.97
2025-09-07T13:22:57+01:00  13:22:57 up 21 days, 8 min,  1 user,  load average: 3.63, 3.39, 4.94
2025-09-07T13:23:02+01:00  13:23:02 up 21 days, 8 min,  1 user,  load average: 3.66, 3.41, 4.94
2025-09-07T13:23:07+01:00  13:23:07 up 21 days, 8 min,  1 user,  load average: 3.37, 3.35, 4.91
2025-09-07T13:23:12+01:00  13:23:12 up 21 days, 8 min,  1 user,  load average: 3.42, 3.36, 4.91
2025-09-07T13:23:17+01:00  13:23:17 up 21 days, 8 min,  1 user,  load average: 3.14, 3.30, 4.88
2025-09-07T13:23:22+01:00  13:23:22 up 21 days, 8 min,  1 user,  load average: 3.77, 3.43, 4.91
2025-09-07T13:23:27+01:00  13:23:27 up 21 days, 9 min,  1 user,  load average: 3.55, 3.39, 4.89
2025-09-07T13:23:32+01:00  13:23:32 up 21 days, 9 min,  1 user,  load average: 3.51, 3.38, 4.88
2025-09-07T13:23:37+01:00  13:23:37 up 21 days, 9 min,  1 user,  load average: 3.22, 3.33, 4.86
2025-09-07T13:23:42+01:00  13:23:42 up 21 days, 9 min,  1 user,  load average: 3.69, 3.42, 4.88
2025-09-07T13:23:47+01:00  13:23:47 up 21 days, 9 min,  1 user,  load average: 3.39, 3.36, 4.85
2025-09-07T13:23:52+01:00  13:23:52 up 21 days, 9 min,  1 user,  load average: 3.36, 3.36, 4.84
2025-09-07T13:23:57+01:00  13:23:57 up 21 days, 9 min,  1 user,  load average: 3.09, 3.30, 4.82
2025-09-07T13:24:02+01:00  13:24:02 up 21 days, 9 min,  1 user,  load average: 2.84, 3.25, 4.79
2025-09-07T13:24:07+01:00  13:24:07 up 21 days, 9 min,  1 user,  load average: 2.62, 3.19, 4.76
