run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
A1,1,1000m,1Gi,1,19.98333333333333,19.98333333333333,19.98333333333333,1199.0,23200.13261050876,23.20013261050876,21873.0,21.873,39891.69999999997,39.891699999999965,63499.65999999998,63.499659999999984
A1,1,1000m,1Gi,1,20.0,20.0,19.99,1200.0,25324.182499999995,25.324182499999996,22919.0,22.919,37903.74999999999,37.903749999999995,67208.11499999998,67.20811499999998
A1,1,1000m,1Gi,1,39.9,39.9,39.9,2394.0,23342.657059314955,23.342657059314956,22666.5,22.6665,41012.5,41.0125,58803.45,58.80345
A1,1,1000m,1Gi,1,39.91666666666666,39.91666666666666,39.91666666666666,2395.0,22881.410229645095,22.881410229645095,22579.5,22.5795,42211.69999999998,42.21169999999998,59209.23999999991,59.20923999999991
A1,1,1000m,1Gi,1,62.23333333333333,62.23333333333333,62.23333333333333,3734.0,20391.326727370117,20.391326727370117,19877.5,19.8775,43654.34999999999,43.654349999999994,66203.34000000004,66.20334000000004
A1,1,1000m,1Gi,1,62.25,62.25,62.25,3735.0,22513.363052208835,22.513363052208835,22311.0,22.311,45920.2,45.920199999999994,64191.37999999996,64.19137999999997
A1,1,1000m,1Gi,1,62.35,62.35,62.35,3741.0,21646.448008553863,21.646448008553865,21231.0,21.231,45207.0,45.207,64444.39999999998,64.44439999999997
A1,1,1000m,1Gi,1,82.35,82.35,82.35,4941.0,25117.781218376847,25.117781218376848,23043.0,23.043,55555.0,55.555,84233.20000000006,84.23320000000005
A1,1,1000m,1Gi,1,82.46666666666667,82.46666666666667,82.46666666666667,4948.0,22252.735448666128,22.25273544866613,20308.5,20.3085,51123.29999999999,51.123299999999986,78596.64999999995,78.59664999999995
A1,1,1000m,1Gi,1,82.66666666666667,82.66666666666667,82.66666666666667,4960.0,27848.8875,27.8488875,25389.5,25.3895,59065.0,59.065,92974.79,92.97479
A1,1,1000m,1Gi,1,98.43333333333334,98.43333333333334,98.43333333333334,5906.0,29112.291229258382,29.112291229258382,24952.0,24.952,67474.75,67.47475,122183.4499999998,122.1834499999998
A1,1,1000m,1Gi,1,98.46666666666668,98.46666666666668,98.46666666666668,5908.0,28862.241198375086,28.862241198375088,22826.0,22.826,79301.99999999994,79.30199999999994,141275.2400000005,141.27524000000048
A1,1,1000m,1Gi,1,98.68333333333334,98.68333333333334,98.68333333333334,5921.0,23534.952710690763,23.534952710690764,19583.0,19.583,60520.0,60.52,98347.4,98.3474
A1,1,1000m,1Gi,1,121.21666666666668,121.21666666666668,121.21666666666668,7273.0,14362119.833631238,14362.119833631237,14378610.0,14378.61,27830152.799999997,27830.152799999996,29217621.2,29217.621199999998
A1,1,1000m,1Gi,1,121.31666666666666,121.31666666666666,121.31666666666666,7279.0,14647874.927874709,14647.87492787471,14488677.0,14488.677,29971342.0,29971.342,30004515.12,30004.51512
A1,1,1000m,1Gi,1,122.28333333333332,122.28333333333332,122.28333333333332,7337.0,47432.61769115442,47.43261769115442,30594.0,30.594,157001.99999999997,157.00199999999998,304176.6400000005,304.1766400000005
A1,1,1000m,1Gi,1,122.31666666666666,122.31666666666666,122.31666666666666,7339.0,104634.9524458373,104.6349524458373,48055.0,48.055,421083.3999999999,421.0833999999999,581685.8399999999,581.6858399999999
A1,1,1000m,1Gi,1,122.36666666666666,122.36666666666666,122.36666666666666,7342.0,13869820.645055844,13869.820645055843,14345617.0,14345.617,27351600.6,27351.6006,28475123.06,28475.123059999998
A1,1,1000m,1Gi,1,122.61666666666666,122.61666666666666,122.61666666666666,7357.0,76116.59304064157,76.11659304064158,46556.0,46.556,237925.79999999996,237.92579999999995,375739.6399999997,375.7396399999997
A1,1,1000m,1Gi,1,123.35,123.35,123.35,7401.0,7447595.643696798,7447.595643696798,7716641.0,7716.641,13306917.0,13306.917,13876459.0,13876.459
A1,1,1000m,1Gi,1,124.13333333333334,124.13333333333334,124.13333333333334,7448.0,13972297.640306124,13972.297640306124,14057466.0,14057.466,26467845.45,26467.84545,30003639.53,30003.63953
A1,1,1000m,1Gi,1,124.63333333333334,124.63333333333334,124.63333333333334,7478.0,14194116.821610056,14194.116821610056,13457176.0,13457.176,27255608.6,27255.608600000003,28780018.62999996,28780.018629999962
A1,1,1000m,1Gi,1,126.15,126.15,126.15,7569.0,9591634.20266878,9591.63420266878,9593645.0,9593.645,20215734.8,20215.734800000002,22269300.28,22269.30028
