run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
C1,1,2000m,2Gi,200,19.966666666666665,19.966666666666665,19.966666666666665,1198.0,5607.973288814691,5.607973288814691,5156.5,5.1565,8481.699999999997,8.481699999999996,15671.809999999994,15.671809999999994
C1,1,2000m,2Gi,200,20.0,20.0,19.99,1200.0,6004.033333333333,6.004033333333333,5201.0,5.201,8465.274999999998,8.465274999999998,16380.754999999997,16.380754999999997
C1,1,2000m,2Gi,200,39.95,39.95,39.95,2397.0,5718.663746349604,5.718663746349604,5011.0,5.011,9528.199999999992,9.528199999999991,17142.83999999998,17.14283999999998
C1,1,2000m,2Gi,200,39.98333333333333,39.98333333333333,39.98333333333333,2399.0,5381.3105460608585,5.381310546060859,4919.0,4.919,8359.599999999999,8.359599999999999,15269.18,15.26918
C1,1,2000m,2Gi,200,40.0,40.0,39.98,2400.0,5179.106666666667,5.179106666666667,4720.0,4.72,7652.149999999994,7.6521499999999945,15106.65999999996,15.10665999999996
C1,1,2000m,2Gi,200,62.43333333333333,62.43333333333333,62.43333333333333,3746.0,5673.027762947144,5.673027762947144,4932.5,4.9325,9987.0,9.987,17859.5500000001,17.8595500000001
C1,1,2000m,2Gi,200,62.48333333333333,62.48333333333333,62.48333333333333,3749.0,5322.945852227261,5.322945852227261,4743.0,4.743,8831.699999999997,8.831699999999998,15621.819999999996,15.621819999999996
C1,1,2000m,2Gi,200,83.08333333333333,83.08333333333333,83.08333333333333,4985.0,5340.759679037112,5.340759679037112,4642.0,4.642,9248.8,9.2488,17484.319999999985,17.484319999999986
C1,1,2000m,2Gi,200,83.21666666666667,83.21666666666667,83.21666666666667,4993.0,5244.345283396756,5.244345283396756,4592.0,4.592,9139.2,9.1392,15642.16,15.64216
C1,1,2000m,2Gi,200,83.28333333333333,83.28333333333333,83.28333333333333,4997.0,5159.893336001601,5.159893336001601,4565.0,4.565,8287.4,8.2874,16204.04,16.20404
C1,1,2000m,2Gi,200,99.35,99.35,99.35,5961.0,5098.14896829391,5.09814896829391,4421.0,4.421,8887.0,8.887,16124.99999999996,16.12499999999996
C1,1,2000m,2Gi,200,99.38333333333334,99.38333333333334,99.38333333333334,5963.0,5317.939627704176,5.317939627704176,4543.0,4.543,9608.09999999999,9.60809999999999,17761.020000000004,17.761020000000006
C1,1,2000m,2Gi,200,99.68333333333334,99.68333333333334,99.68333333333334,5981.0,5376.959036950343,5.376959036950343,4584.0,4.584,9656.0,9.656,18075.79999999998,18.07579999999998
C1,1,2000m,2Gi,200,123.63333333333334,123.63333333333334,123.63333333333334,7418.0,5224.141143165273,5.224141143165273,4382.0,4.382,9792.6,9.7926,18732.959999999992,18.73295999999999
C1,1,2000m,2Gi,200,124.05,124.05,124.05,7443.0,5212.761386537686,5.212761386537686,4380.0,4.38,9621.799999999985,9.621799999999984,17798.199999999993,17.798199999999994
C1,1,2000m,2Gi,200,124.3,124.3,124.3,7458.0,5069.235049611156,5.069235049611156,4326.0,4.326,8966.449999999999,8.966449999999998,17292.58,17.29258
