run,pods,container_cpu,container_mem,target_conc,target_rps,throughput_rps,actual_rps,total_requests,average,average_ms,median,median_ms,p95,p95_ms,p99,p99_ms
C1,1,2000m,2Gi,200,20.0,20.0,20.0,1200.0,6512.866111111111,6.512866111111111,5931.5,5.9315,10225.899999999996,10.225899999999996,16761.61333333333,16.76161333333333
C1,1,2000m,2Gi,200,40.0,40.0,40.0,2400.0,5722.423888888889,5.72242388888889,5249.0,5.249,8817.766666666663,8.817766666666662,15090.493333333266,15.090493333333267
C1,1,2000m,2Gi,200,62.43333333333333,62.43333333333333,62.43333333333333,3746.0,5613.5683395622,5.6135683395622,4975.0,4.975,9713.0,9.713,16451.50000000003,16.451500000000028
C1,1,2000m,2Gi,200,62.45,62.45,62.45,3747.0,5781.604216706699,5.7816042167066986,5158.0,5.158,9550.299999999992,9.550299999999991,16597.779999999995,16.597779999999997
C1,1,2000m,2Gi,200,62.48333333333333,62.48333333333333,62.48333333333333,3749.0,5904.7169911976525,5.9047169911976525,5219.0,5.219,9898.799999999996,9.898799999999996,16949.16,16.94916
C1,1,2000m,2Gi,200,83.11666666666666,83.11666666666666,83.11666666666666,4987.0,5836.967315019049,5.8369673150190495,5113.0,5.113,10144.899999999998,10.144899999999998,18191.22000000004,18.19122000000004
C1,1,2000m,2Gi,200,83.16666666666667,83.16666666666667,83.16666666666667,4990.0,5843.343086172345,5.843343086172345,5123.0,5.123,10249.850000000002,10.249850000000002,17894.25999999998,17.89425999999998
C1,1,2000m,2Gi,200,83.2,83.2,83.2,4992.0,5500.999599358975,5.500999599358974,4877.0,4.877,8979.349999999999,8.979349999999998,16876.21000000001,16.87621000000001
C1,1,2000m,2Gi,200,99.58333333333331,99.58333333333331,99.58333333333331,5975.0,5622.732719665272,5.622732719665272,4864.0,4.864,10120.600000000002,10.120600000000001,18053.100000000028,18.05310000000003
C1,1,2000m,2Gi,200,99.68333333333334,99.68333333333334,99.68333333333334,5981.0,5705.468650727303,5.705468650727303,5018.0,5.018,9764.0,9.764,17300.399999999976,17.300399999999975
C1,1,2000m,2Gi,200,99.71666666666668,99.71666666666668,99.71666666666668,5983.0,5217.307370884172,5.217307370884172,4598.0,4.598,8984.599999999999,8.984599999999999,16264.36,16.26436
C1,1,2000m,2Gi,200,124.11666666666666,124.11666666666666,124.11666666666666,7447.0,5624.826507318383,5.6248265073183825,4818.0,4.818,10372.8,10.3728,18614.0,18.614
C1,1,2000m,2Gi,200,124.15,124.15,124.15,7449.0,5884.858638743455,5.884858638743455,4940.0,4.94,11249.199999999992,11.249199999999991,21167.399999999896,21.167399999999898
C1,1,2000m,2Gi,200,124.48333333333332,124.48333333333332,124.48333333333332,7469.0,5573.192127460169,5.573192127460169,4807.0,4.807,10143.19999999999,10.14319999999999,17673.199999999997,17.673199999999998
C1,1,2000m,2Gi,200,141.5,141.5,141.5,8490.0,5410.918256772674,5.410918256772674,4583.0,4.583,10545.349999999988,10.545349999999988,18644.560000000056,18.644560000000055
C1,1,2000m,2Gi,200,141.76666666666668,141.76666666666668,141.76666666666668,8506.0,5353.114389842464,5.353114389842465,4558.0,4.558,9937.5,9.9375,17612.20000000001,17.612200000000012
C1,1,2000m,2Gi,200,141.96666666666667,141.96666666666667,141.96666666666667,8518.0,5413.377318619394,5.413377318619394,4708.0,4.708,9513.399999999994,9.513399999999994,17418.729999999996,17.418729999999996
C1,1,2000m,2Gi,200,164.01666666666668,164.01666666666668,164.01666666666668,9841.0,5839.018595671172,5.839018595671172,4716.0,4.716,11994.0,11.994,21000.40000000001,21.00040000000001
C1,1,2000m,2Gi,200,164.65,164.65,164.65,9879.0,5534.451057799372,5.534451057799372,4642.5,4.6425,10734.100000000002,10.734100000000002,18869.88999999989,18.86988999999989
C1,1,2000m,2Gi,200,196.3,196.3,196.3,11778.0,5365.115384615385,5.365115384615385,4425.0,4.425,10835.949999999995,10.835949999999995,18347.59999999999,18.347599999999993
C1,1,2000m,2Gi,200,196.8,196.8,196.8,11808.0,5618.018292682927,5.618018292682927,4474.5,4.4745,11976.95,11.97695,21407.44,21.407439999999998
C1,1,2000m,2Gi,200,196.86666666666667,196.86666666666667,196.86666666666667,11812.0,5414.131476464612,5.414131476464612,4498.0,4.498,10784.499999999987,10.784499999999987,17917.919999999984,17.917919999999985
C1,1,2000m,2Gi,200,197.03333333333333,197.03333333333333,197.03333333333333,11822.0,5354.691253594992,5.354691253594992,4416.0,4.416,10751.0,10.751,19074.959999999977,19.074959999999976
C1,1,2000m,2Gi,200,197.4333333333333,197.4333333333333,197.4333333333333,11846.0,5447.099105183184,5.4470991051831845,4570.0,4.57,10186.25,10.18625,18061.349999999973,18.061349999999972
C1,1,2000m,2Gi,200,197.46666666666667,197.46666666666667,197.46666666666667,11848.0,5364.811191762323,5.364811191762323,4487.0,4.487,10501.249999999998,10.501249999999999,16817.770000000004,16.817770000000003
C1,1,2000m,2Gi,200,242.56666666666663,242.56666666666663,242.56666666666663,14554.0,5968.371169437955,5.9683711694379555,4535.0,4.535,13631.54999999998,13.63154999999998,25569.569999999912,25.569569999999914
C1,1,2000m,2Gi,200,243.16666666666663,243.16666666666663,243.16666666666663,14590.0,6292.4232350925295,6.29242323509253,4857.0,4.857,14076.55,14.07655,28074.59000000004,28.07459000000004
C1,1,2000m,2Gi,200,243.26666666666668,243.26666666666668,243.26666666666668,14596.0,5805.655385036996,5.805655385036997,4636.5,4.6365,12026.0,12.026,21417.44999999995,21.41744999999995
C1,1,2000m,2Gi,200,243.55,243.55,243.55,14613.0,5729.776021350852,5.729776021350852,4582.0,4.582,12017.199999999992,12.017199999999992,22896.43999999997,22.89643999999997
C1,1,2000m,2Gi,200,243.9333333333333,243.9333333333333,243.9333333333333,14636.0,5962.882549877016,5.9628825498770155,4700.0,4.7,12886.25,12.88625,22894.44999999999,22.89444999999999
