min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4423,76359,20681.371666666666,21270.0,33591.049999999996,42871.069999999985,7709.549115773928,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5372,73222,23791.700833333332,23188.5,35385.75,44449.33,6768.567586006115,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5269,73652,24005.725833333334,23422.0,34597.149999999994,40916.439999999995,6212.9742451313905,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
3918,96382,21474.453333333335,22103.5,41296.74999999999,53229.17999999997,11510.084465639491,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
3633,121219,22532.444583333334,22652.5,42208.799999999996,56155.49999999996,12238.881269759191,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4223,79844,22464.14261884904,22247.0,40326.05,51472.730000000076,10298.468760428323,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
3395,95222,20776.216648879403,21152.0,42516.09999999999,55985.84999999999,12218.128855691444,62.46666666666667,62.46666666666667,3748,target_rps60.00_iter01_rps62.47_lat.csv
3723,125773,21936.34037433155,22186.5,43669.0,58834.51000000001,12771.68207308092,62.333333333333336,62.333333333333336,3740,target_rps60.00_iter02_rps62.33_lat.csv
3842,139298,20540.90736785905,20996.5,43029.25,56888.200000000106,13115.60270053598,62.43333333333333,62.43333333333333,3746,target_rps60.00_iter03_rps62.43_lat.csv
3494,127981,21789.50502008032,20894.5,47684.65,67816.41000000003,14627.960056982985,83.0,83.0,4980,target_rps80.00_iter01_rps83.00_lat.csv
3535,201811,23133.023512861735,21345.0,52575.25,76556.75,16660.98709867276,82.93333333333334,82.93333333333334,4976,target_rps80.00_iter02_rps82.93_lat.csv
3634,225426,24518.11835748792,21420.0,57512.99999999999,116536.65999999993,21737.352090544384,82.8,82.8,4968,target_rps80.00_iter03_rps82.80_lat.csv
3435,302946,23386.277721774193,18285.0,59826.15,100149.31999999977,22390.205687528334,99.2,99.2,5952,target_rps100.00_iter01_rps99.20_lat.csv
3393,188573,26855.538772757922,23554.5,64043.5,99526.62999999942,20753.679473119315,98.86666666666666,98.86666666666666,5932,target_rps100.00_iter02_rps98.87_lat.csv
3793,204822,26591.564063811922,22987.0,61924.70000000003,113199.12000000002,21114.308663675736,99.25,99.25,5955,target_rps100.00_iter03_rps99.25_lat.csv
3300,1031237,68173.2888253709,43760.0,238581.19999999992,401425.9599999999,79332.7777695619,122.45,122.45,7347,target_rps120.00_iter01_rps122.45_lat.csv
3281,302418,44942.904794149516,31435.0,136190.59999999992,204663.16,43795.617409150145,123.06666666666666,123.06666666666666,7384,target_rps120.00_iter02_rps123.07_lat.csv
3170,564911,44893.90130957203,31011.0,135859.49999999997,231365.09999999942,50231.0927220147,123.45,123.45,7407,target_rps120.00_iter03_rps123.45_lat.csv
7553,10159045,2973350.5656962027,3169540.0,5220766.549999995,5734198.510000001,1445453.3350862206,131.66666666666666,131.66666666666666,7900,target_rps140.00_iter01_rps131.67_lat.csv
5259,6735292,1601878.9507296993,1721838.0,3360862.5999999996,3712587.24,988651.8570109204,133.61666666666667,133.61666666666667,8017,target_rps140.00_iter02_rps133.62_lat.csv
5559,7237608,1665783.3966571037,1568788.0,3281203.0,4212338.800000001,886206.6660513845,133.61666666666667,133.61666666666667,8017,target_rps140.00_iter03_rps133.62_lat.csv
8588,22374204,5833950.4776156945,5383284.5,11795685.75,14497133.78,3530172.9350496777,132.53333333333333,132.53333333333333,7952,target_rps160.00_iter01_rps132.53_lat.csv
5986,20360295,5314950.382992086,4914199.0,11088418.0,12703861.6,3437622.1081502107,132.68333333333334,132.68333333333334,7961,target_rps160.00_iter02_rps132.68_lat.csv
6633,20354629,5435644.666245738,4671626.0,10829421.199999996,11337576.82,3331372.0600216477,131.98333333333332,131.98333333333332,7919,target_rps160.00_iter03_rps131.98_lat.csv
6691,30003443,8163748.580919932,7023877.5,17563096.8,20119019.419999998,5282808.5597517835,136.96666666666667,136.96666666666667,8218,target_rps180.00_iter01_rps136.95_lat.csv
