target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,39.98,39.98,39.98,39.98,39.98,39.98,99.9
60.00,62.42,62.43,62.37,62.41,62.37,62.43,104.0
80.00,82.93,83.05,83.00,82.99,82.93,83.05,103.7
100.00,99.38,99.43,99.15,99.32,99.15,99.43,99.3
120.00,123.17,123.43,122.65,123.08,122.65,123.43,102.6
140.00,135.23,133.70,137.68,135.54,133.70,137.68,96.8
160.00,135.44,133.68,134.37,134.50,133.68,135.44,84.1
180.00,134.22,136.12,133.78,134.71,133.78,136.12,74.8
200.00,134.98,130.48,132.17,132.54,130.48,134.98,66.3
220.00,133.28,127.33,129.83,130.15,127.33,133.28,59.2
240.00,119.86,125.81,127.25,124.31,119.86,127.25,51.8
260.00,116.28,112.05,115.38,114.57,112.05,116.28,44.1
280.00,113.65,117.20,114.72,115.19,113.65,117.20,41.1
300.00,115.57,112.18,114.13,113.96,112.18,115.57,38.0
320.00,114.77,108.10,114.98,112.62,108.10,114.98,35.2
340.00,104.08,101.35,104.93,103.45,101.35,104.93,30.4
360.00,103.79,96.63,94.53,98.32,94.53,103.79,27.3
380.00,99.82,99.62,102.53,100.66,99.62,102.53,26.5
400.00,103.56,95.38,102.93,100.62,95.38,103.56,25.2
420.00,104.71,98.50,99.15,100.79,98.50,104.71,24.0
440.00,105.23,112.50,99.90,105.88,99.90,112.50,24.1
460.00,101.33,98.68,103.90,101.30,98.68,103.90,22.0
480.00,95.68,114.75,114.02,108.15,95.68,114.75,22.5
500.00,126.00,94.63,95.47,105.37,94.63,126.00,21.1

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,135.44,160.00
Max Iter2,136.12,180.00
Max Iter3,137.68,140.00
Overall Max,137.68,140.00
Avg of Max,136.41,
