rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_go_a5,3,1200.0,0.0,1200,1200,5282.333333333333,436.87336075038195,4824,5694,78811.0,5922.372159869726,72229,83709,24742.931388888886,1846.547271619448,23024.238333333335,26695.121666666666,23826.333333333332,1011.9916419285948,22988.0,24950.5,37774.11666666667,2011.6573076280508,36185.75,40036.15,46310.66,3732.183267900976,42077.68,49127.58,20.0,0.0,20.0,20.0,1200.0,5282.333333333333,78811.0,24742.931388888886,23826.333333333332,37774.11666666667,46310.66,20.0
40,60,fibonacci_go_a5,3,2400.0,0.0,2400,2400,3901.3333333333335,153.12195575205186,3737,4040,106181.33333333333,20738.85026546393,82285,119480,22100.210555555557,1321.2418369033496,20799.98,23441.50625,22320.5,489.21697640208686,21814.5,22791.0,41489.41666666666,1551.4805141648862,40293.49999999999,43242.549999999996,53898.84666666661,2991.770092676537,50636.38999999985,56513.92999999998,40.0,0.0,40.0,40.0,2400.0,3901.3333333333335,106181.33333333333,22100.210555555557,22320.5,41489.41666666666,53898.84666666661,40.0
60,60,fibonacci_go_a5,3,3746.3333333333335,2.8867513459481287,3743,3748,3907.0,63.41135544995076,3836,3958,132085.66666666666,23021.32911743658,105783,148570,24200.44099363755,417.2892185504668,23735.663820704376,24542.906492118622,23544.333333333332,69.7142979117866,23494.5,23624.0,48844.91666666666,1721.468707480134,46955.2,50323.799999999996,62826.439999999944,3118.8719211278603,59225.45999999998,64672.419999999845,62.43888888888889,0.04811252243247018,62.38333333333333,62.46666666666667,3746.3333333333335,3907.0,132085.66666666666,24200.44099363755,23544.333333333332,48844.91666666666,62826.439999999944,62.43888888888889
80,60,fibonacci_go_a5,3,4984.333333333333,3.214550253664318,4982,4988,3611.0,114.5949388062143,3485,3709,163324.33333333334,8358.400405181204,155983,172421,25229.763331333277,1028.6112171628101,24256.337414692895,26305.859462710505,22807.833333333332,1061.6468731802177,22175.0,24033.5,57283.733333333315,1858.7730801077712,55138.999999999985,58427.69999999998,86208.88666666669,3980.6093918562756,82016.39999999989,89936.86000000016,83.07222222222224,0.05357583756107703,83.03333333333333,83.13333333333334,4984.333333333333,3611.0,163324.33333333334,25229.763331333277,22807.833333333332,57283.733333333315,86208.88666666669,83.07222222222224
100,60,fibonacci_go_a5,3,5965.333333333333,6.350852961085883,5958,5969,3474.3333333333335,133.6650041459369,3328,3590,174780.33333333334,20404.50455985965,161930,198308,29402.48717052951,1247.4246321291675,28042.55737979561,30493.56207069861,25664.5,1711.1238266122064,23703.0,26851.0,70023.34999999998,2786.3299064360726,67412.44999999997,72956.99999999999,102148.12666666659,2868.126232112726,100422.4600000001,105458.95999999989,99.42222222222222,0.10584754935143358,99.3,99.48333333333333,5965.333333333333,3474.3333333333335,174780.33333333334,29402.48717052951,25664.5,70023.34999999998,102148.12666666659,99.42222222222222
120,60,fibonacci_go_a5,3,7371.333333333333,12.503332889007368,7357,7380,3316.3333333333335,102.02614044122875,3213,3417,1037860.0,147699.64770777215,878323,1169841,159599.82885181333,39454.399770848926,114133.76253907842,184838.31043360435,101436.16666666667,33352.232467757436,64957.0,130368.0,482015.23333333334,122864.38264185164,350042.2,593090.5,754425.2633333331,139110.69189238202,605080.1599999996,880320.9999999995,122.85555555555555,0.20838888148346058,122.61666666666666,123.0,7371.333333333333,3316.3333333333335,1037860.0,159599.82885181333,101436.16666666667,482015.23333333334,754425.2633333331,122.85555555555555
140,60,fibonacci_go_a5,3,8018.333333333333,116.62904155197938,7922,8148,4883.0,929.9940860027015,3910,5763,6772708.666666667,1984087.9247395599,4653202,8585704,1369655.1231701288,212319.41540275066,1197368.7256995582,1606853.2195152738,1272600.6666666667,167149.53804328426,1151035.0,1463211.5,3169116.966666665,489137.838145693,2604309.3,3451743.199999996,4166758.073333333,470510.1693607468,3650001.8899999987,4570401.799999999,133.6388888888889,1.9438173591996621,132.03333333333333,135.8,8018.333333333333,4883.0,6772708.666666667,1369655.1231701288,1272600.6666666667,3169116.966666665,4166758.073333333,133.6388888888889
160,60,fibonacci_go_a5,3,8011.333333333333,176.21672262680784,7845,8196,7735.0,284.56282258931856,7419,7971,22299311.333333332,3316112.296837418,18553280,24859377,5365730.119401404,255312.8703302452,5090879.34505192,5595499.703123008,5136885.0,200118.7794361139,4905823.0,5254716.0,10556150.749999987,715137.8307579588,9968778.25,11352497.199999964,12306975.56,912925.5106204328,11289056.4,13053239.639999999,133.52222222222224,2.936945377113461,130.75,136.6,8011.333333333333,7735.0,22299311.333333332,5365730.119401404,5136885.0,10556150.749999987,12306975.56,133.52222222222224
180,60,fibonacci_go_a5,3,8028.666666666667,102.18773572857623,7934,8137,7263.666666666667,883.9509790329627,6341,8103,30005187.0,1748.141584654973,30003230,30006594,8631009.598906578,262120.0393197156,8374357.578914535,8898275.237837156,7985546.333333333,702797.3712303805,7301898.0,8706043.0,17578109.416666664,400186.2304403791,17120028.65,17859785.599999998,18828875.063333333,652007.9984579108,18237087.08,19527825.71,133.81111111111113,1.7031289288096132,132.23333333333332,135.61666666666667,8028.666666666667,7263.666666666667,30005187.0,8631009.598906578,7985546.333333333,17578109.416666664,18828875.063333333,133.81111111111113
200,60,fibonacci_go_a5,3,7741.333333333333,80.07704623257113,7685,7833,7061.0,380.3196024398427,6672,7432,30007722.666666668,4239.966076908321,30005043,30012611,9610287.00462149,363035.7698290564,9389182.524137037,10029270.074560832,9208275.166666666,385116.6477336228,8916782.0,9644863.0,19504083.383333333,1561760.8030854359,17701776.599999998,20458757.8,21409312.466666665,1314629.7823307156,19987104.52,22580030.279999997,129.0222222222222,1.3346174372095212,128.08333333333334,130.55,7741.333333333333,7061.0,30007722.666666668,9610287.00462149,9208275.166666666,19504083.383333333,21409312.466666665,129.0222222222222
