target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,19.95,20.00,20.00,19.98,19.95,20.00,99.9
40.00,39.88,39.95,39.97,39.93,39.88,39.97,99.8
60.00,62.27,62.35,62.33,62.32,62.27,62.35,103.9
80.00,82.48,82.37,82.48,82.44,82.37,82.48,103.1
100.00,98.67,98.32,99.02,98.67,98.32,99.02,98.7
120.00,123.07,122.31,123.41,122.93,122.31,123.41,102.4
140.00,137.84,139.80,139.79,139.14,137.84,139.80,99.4
160.00,158.51,158.48,159.23,158.74,158.48,159.23,99.2
180.00,187.20,187.86,183.31,186.12,183.31,187.86,103.4
200.00,186.90,185.46,185.43,185.93,185.43,186.90,93.0
220.00,223.62,219.95,223.27,222.28,219.95,223.62,101.0
240.00,225.95,223.93,221.15,223.68,221.15,225.95,93.2
260.00,270.20,278.03,270.94,273.06,270.20,278.03,105.0
280.00,276.83,270.68,271.57,273.03,270.68,276.83,97.5
300.00,278.26,269.84,274.03,274.04,269.84,278.26,91.3
320.00,282.36,268.49,272.28,274.38,268.49,282.36,85.7
340.00,356.83,364.31,358.03,359.72,356.83,364.31,105.8
360.00,346.55,353.53,351.31,350.46,346.55,353.53,97.4
380.00,360.86,361.71,360.43,361.00,360.43,361.71,95.0
400.00,354.52,354.88,352.07,353.82,352.07,354.88,88.5
420.00,323.40,325.30,316.81,321.84,316.81,325.30,76.6
440.00,333.25,338.82,337.46,336.51,333.25,338.82,76.5
460.00,355.68,352.54,359.42,355.88,352.54,359.42,77.4
480.00,353.13,342.71,353.80,349.88,342.71,353.80,72.9
500.00,351.21,348.18,356.33,351.91,348.18,356.33,70.4

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,360.86,380.00
Max Iter2,364.31,340.00
Max Iter3,360.43,380.00
Overall Max,364.31,340.00
Avg of Max,361.87,
