min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4711,98094,22391.02172096909,21895.0,36270.6,49722.43999999999,8801.19658604603,19.95,19.95,1197,target_rps20.00_iter01_rps19.95_lat.csv
5660,95577,23822.166666666668,23008.0,37086.7,46201.49,7796.821989688419,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5626,81282,24742.576666666668,23532.0,37067.6,45694.049999999996,6726.435211347505,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4399,110160,23196.402423735897,22731.0,41048.20000000001,53366.43999999995,10467.09055149676,39.88333333333333,39.88333333333333,2393,target_rps40.00_iter01_rps39.88_lat.csv
4228,161583,24573.727158948685,23867.0,43438.799999999945,58607.67999999996,12127.579192051278,39.95,39.95,2397,target_rps40.00_iter02_rps39.95_lat.csv
3809,94526,21824.864470391993,22752.0,40664.30000000001,51997.12000000004,11688.119621962784,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
4096,167414,24325.9397751606,24350.0,45369.0,67403.40000000002,14115.135742351657,62.266666666666666,62.266666666666666,3736,target_rps60.00_iter01_rps62.27_lat.csv
3500,99658,21320.296444800857,22376.0,42254.0,54852.59999999998,12391.74439951167,62.35,62.35,3741,target_rps60.00_iter02_rps62.35_lat.csv
4156,156040,23164.052673796792,23344.5,45112.6,62087.26000000006,13239.006292566113,62.333333333333336,62.333333333333336,3740,target_rps60.00_iter03_rps62.33_lat.csv
3750,232253,24203.28369367549,22968.0,48809.59999999999,70096.0399999999,15816.695514554873,82.48333333333333,82.48333333333333,4949,target_rps80.00_iter01_rps82.48_lat.csv
3906,134561,22241.45224605423,20737.5,48145.34999999998,71000.43000000001,14639.692544424257,82.36666666666666,82.36666666666666,4942,target_rps80.00_iter02_rps82.37_lat.csv
3536,425509,26055.65063649222,22586.0,57565.39999999993,119941.87999999836,26934.663262619626,82.48333333333333,82.48333333333333,4949,target_rps80.00_iter03_rps82.48_lat.csv
3207,156608,23784.319087837837,22297.0,52436.9,75064.75000000007,16032.913682022248,98.66666666666667,98.66666666666667,5920,target_rps100.00_iter01_rps98.67_lat.csv
3378,264636,22603.006272249535,20057.0,50311.49999999998,74228.8999999999,17644.69050449122,98.31666666666666,98.31666666666666,5899,target_rps100.00_iter02_rps98.32_lat.csv
3759,251625,22722.54839252651,21390.0,49543.0,72398.8000000001,16258.120988839775,99.01666666666667,99.01666666666667,5941,target_rps100.00_iter03_rps99.02_lat.csv
3453,411274,26833.034669555796,21951.0,61817.649999999994,116344.79000000004,28861.012259526145,123.06666666666666,123.06666666666666,7384,target_rps120.00_iter01_rps123.07_lat.csv
3592,213164,24492.819048916746,21476.0,55761.1,90311.59999999998,18648.78910178246,122.31666666666666,122.31666666666666,7339,target_rps120.00_iter02_rps122.31_lat.csv
3454,200732,23644.795813639434,20818.0,55193.399999999936,85364.12000000001,17745.632964755594,123.41666666666667,123.41666666666667,7405,target_rps120.00_iter03_rps123.41_lat.csv
3763,201169,30889.449401523394,26591.0,72337.5,117263.90000000005,22935.82938346693,137.85,137.85,8271,target_rps140.00_iter01_rps137.84_lat.csv
3571,405475,29983.377801621366,23694.0,75225.95,131863.32999999958,30673.72124284648,139.8,139.8,8388,target_rps140.00_iter02_rps139.80_lat.csv
3463,341538,27005.89544587506,21927.0,68265.14999999995,115038.63999999966,25025.436522626052,139.8,139.8,8388,target_rps140.00_iter03_rps139.79_lat.csv
3316,362196,35737.68594259279,29446.0,88299.0,149487.49999999988,29885.50459627402,158.51666666666668,158.51666666666668,9511,target_rps160.00_iter01_rps158.51_lat.csv
3218,317228,39359.73698601325,33977.0,90980.6,134844.04,28062.421643705628,158.48333333333332,158.48333333333332,9509,target_rps160.00_iter02_rps158.48_lat.csv
3625,324359,39064.1572116391,32056.5,95741.55000000003,152850.22999999908,30978.59487037724,159.23333333333332,159.23333333333332,9554,target_rps160.00_iter03_rps159.23_lat.csv
3795,364874,48526.466257122505,41771.5,111368.39999999985,172038.02000000014,34512.958717950976,187.2,187.2,11232,target_rps180.00_iter01_rps187.20_lat.csv
