rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_go_b1,3,1199.0,1.7320508075688772,1197,1200,5332.333333333333,538.3589261202357,4711,5660,91651.0,9067.576467833067,81282,98094,23651.92168476748,1184.9853083709847,22391.02172096909,24742.576666666668,22811.666666666668,835.9738831646197,21895.0,23532.0,36808.299999999996,465.75977713838665,36270.6,37086.7,47205.993333333325,2194.0263690378274,45694.049999999996,49722.43999999999,19.983333333333334,0.0288675134594817,19.95,20.0,1199.0,5332.333333333333,91651.0,23651.92168476748,22811.666666666668,36808.299999999996,47205.993333333325,19.983333333333334
40,60,fibonacci_go_b1,3,2396.0,2.6457513110645907,2393,2398,4145.333333333333,303.56273376904045,3809,4399,122089.66666666667,35084.15628646831,94526,161583,23198.331351025525,1374.4323594506743,21824.864470391993,24573.727158948685,23116.666666666668,649.8925552222715,22731.0,23867.0,41717.099999999984,1503.340603456145,40664.30000000001,43438.799999999945,54657.07999999998,3489.153133010901,51997.12000000004,58607.67999999996,39.93333333333334,0.044095855184411364,39.88333333333333,39.96666666666667,2396.0,4145.333333333333,122089.66666666667,23198.331351025525,23116.666666666668,41717.099999999984,54657.07999999998,39.93333333333334
60,60,fibonacci_go_b1,3,3739.0,2.6457513110645907,3736,3741,3917.3333333333335,362.66421567799233,3500,4156,141037.33333333334,36284.00321537486,99658,167414,22936.762964586083,1515.657750374015,21320.296444800857,24325.9397751606,23356.833333333332,987.0577912834351,22376.0,24350.0,44245.200000000004,1729.1886305432379,42254.0,45369.0,61447.753333333356,6299.791404684259,54852.59999999998,67403.40000000002,62.31666666666667,0.044095855184411364,62.266666666666666,62.35,3739.0,3917.3333333333335,141037.33333333334,22936.762964586083,23356.833333333332,44245.200000000004,61447.753333333356,62.31666666666667
80,60,fibonacci_go_b1,3,4946.666666666667,4.041451884327381,4942,4949,3730.6666666666665,185.7561125059774,3536,3906,264107.6666666667,148066.62188803166,134561,425509,24166.795525407313,1907.3609727114103,22241.45224605423,26055.65063649222,22097.166666666668,1192.8960907528087,20737.5,22968.0,51506.7833333333,5257.417041745214,48145.34999999998,57565.39999999993,87012.78333333276,28521.019192518015,70096.0399999999,119941.87999999836,82.44444444444444,0.06735753140546072,82.36666666666666,82.48333333333333,4946.666666666667,3730.6666666666665,264107.6666666667,24166.795525407313,22097.166666666668,51506.7833333333,87012.78333333276,82.44444444444444
100,60,fibonacci_go_b1,3,5920.0,21.0,5899,5941,3448.0,282.5791924399247,3207,3759,224289.66666666666,58973.9563903706,156608,264636,23036.62458420463,650.2752361135725,22603.006272249535,23784.319087837837,21248.0,1126.7311125552537,20057.0,22297.0,50763.79999999999,1499.0316107407516,49543.0,52436.9,73897.48333333335,1363.524882733436,72398.8000000001,75064.75000000007,98.66666666666667,0.3500000000000014,98.31666666666666,99.01666666666667,5920.0,3448.0,224289.66666666666,23036.62458420463,21248.0,50763.79999999999,73897.48333333335,98.66666666666667
120,60,fibonacci_go_b1,3,7376.0,33.71943060017473,7339,7405,3499.6666666666665,79.96457549023401,3453,3592,275056.6666666667,118131.32557172688,200732,411274,24990.21651070399,1651.2934102811696,23644.795813639434,26833.034669555796,21415.0,568.9578191746731,20818.0,21951.0,57590.716666666645,3671.6201976557245,55193.399999999936,61817.649999999994,97340.17,16643.34929020901,85364.12000000001,116344.79000000004,122.93333333333334,0.5619905100029159,122.31666666666666,123.41666666666667,7376.0,3499.6666666666665,275056.6666666667,24990.21651070399,21415.0,57590.716666666645,97340.17,122.93333333333334
140,60,fibonacci_go_b1,3,8349.0,67.54998149518622,8271,8388,3599.0,151.94735930578062,3463,3763,316060.6666666667,104508.64219926184,201169,405475,29292.907549673273,2031.762709626029,27005.89544587506,30889.449401523394,24070.666666666668,2354.704298491285,21927.0,26591.0,71942.86666666665,3497.1396541793274,68265.14999999995,75225.95,121388.6233333331,9139.341077530198,115038.63999999966,131863.32999999958,139.15,1.12583302491978,137.85,139.8,8349.0,3599.0,316060.6666666667,29292.907549673273,24070.666666666668,71942.86666666665,121388.6233333331,139.15
160,60,fibonacci_go_b1,3,9524.666666666666,25.423086620891127,9509,9554,3386.3333333333335,212.4201810877049,3218,3625,334594.3333333333,24168.197953784915,317228,362196,38053.860046748385,2011.3027398493462,35737.68594259279,39359.73698601325,31826.5,2274.2394882685508,29446.0,33977.0,91673.71666666667,3769.3760307023576,88299.0,95741.55000000003,145727.25666666633,9573.938166889644,134844.04,152850.22999999908,158.74444444444444,0.4237181103481783,158.48333333333332,159.23333333333332,9524.666666666666,3386.3333333333335,334594.3333333333,38053.860046748385,31826.5,91673.71666666667,145727.25666666633,158.74444444444444
180,60,fibonacci_go_b1,3,11167.666666666666,147.43247041725013,10999,11272,3690.0,264.6148144001012,3389,3886,345360.3333333333,94051.21110508536,243083,428124,51149.92997756201,6584.742932208531,46281.29630943932,58642.027366124195,43375.833333333336,4336.597523789052,40070.0,48286.0,120570.13333333326,21324.087766264136,105391.89999999994,144950.1,183785.18999999994,45054.81810258821,145767.54999999973,233550.00000000003,186.12777777777777,2.4572078402875044,183.31666666666666,187.86666666666667,11167.666666666666,3690.0,345360.3333333333,51149.92997756201,43375.833333333336,120570.13333333326,183785.18999999994,186.12777777777777
200,60,fibonacci_go_b1,3,11156.666666666666,49.652123150307816,11128,11214,3658.3333333333335,147.86931166855865,3551,3827,324572.6666666667,53564.274151091915,263084,361104,46481.13504124881,2726.3212832801646,43406.879942487416,48605.241662207955,39960.333333333336,2742.048154816639,37056.0,42504.5,106325.53333333333,4874.63114151558,100818.24999999997,110086.34999999999,160204.67666666667,8576.97709249782,152787.28000000012,169596.78999999998,185.94444444444446,0.8275353858384658,185.46666666666667,186.9,11156.666666666666,3658.3333333333335,324572.6666666667,46481.13504124881,39960.333333333336,106325.53333333333,160204.67666666667,185.94444444444446
