rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_go_c2,3,1200.0,0.0,1200,1200,3793.6666666666665,224.2550631163839,3544,3978,27433.666666666668,7825.186664440238,18476,32939,5668.86,300.67783312251345,5417.7525,6002.0575,5249.0,235.81719614989913,5090.5,5520.0,8032.066666666666,564.0764051379325,7646.299999999999,8679.449999999999,14460.586666666662,2402.1369124663447,11702.369999999994,16093.549999999997,20.0,0.0,20.0,20.0,1200.0,3793.6666666666665,27433.666666666668,5668.86,5249.0,8032.066666666666,14460.586666666662,20.0
40,60,fibonacci_go_c2,3,2399.6666666666665,0.5773502691896258,2399,2400,3206.3333333333335,175.16087843275204,3027,3377,29949.0,2702.4707213955157,27435,32807,5437.191862928998,211.3595841139157,5206.445833333333,5621.413088786994,4956.166666666667,126.20849152625719,4814.0,5055.0,8602.15,573.8546004869173,7966.15,9081.199999999999,14783.603333333318,1012.2937287335933,13972.399999999967,15918.039999999999,39.99444444444445,0.009622504486493216,39.983333333333334,40.0,2399.6666666666665,3206.3333333333335,29949.0,5437.191862928998,4956.166666666667,8602.15,14783.603333333318,39.99444444444445
60,60,fibonacci_go_c2,3,3746.3333333333335,1.1547005383792517,3745,3747,3009.3333333333335,50.29247790011279,2952,3046,43993.666666666664,7335.7337965150655,39703,52464,5486.9237028667585,178.62745102841612,5284.1868161195625,5621.171962616822,4843.333333333333,85.50048732804588,4753.0,4923.0,9238.966666666653,1038.7078623623302,8041.499999999992,9896.59999999997,17377.67999999999,1500.5242811764058,15980.8,18963.87999999998,62.43888888888889,0.019245008972990533,62.416666666666664,62.45,3746.3333333333335,3009.3333333333335,43993.666666666664,5486.9237028667585,4843.333333333333,9238.966666666653,17377.67999999999,62.43888888888889
80,60,fibonacci_go_c2,3,4985.333333333333,8.326663997864532,4976,4992,2982.6666666666665,169.52974173676233,2790,3109,76412.33333333333,42855.04213430823,41177,124120,5558.543000394829,284.1889827995704,5283.102363782052,5850.738946945337,4875.333333333333,168.76339453013304,4747.0,5066.5,9507.316666666664,966.8153201792672,8452.949999999993,10352.25,17363.316666666677,1695.0982152764198,15447.160000000018,18667.25,83.08888888888889,0.13877773329774226,82.93333333333334,83.2,4985.333333333333,2982.6666666666665,76412.33333333333,5558.543000394829,4875.333333333333,9507.316666666664,17363.316666666677,83.08888888888889
100,60,fibonacci_go_c2,3,5983.0,8.18535277187245,5976,5992,2838.6666666666665,119.53799953710674,2758,2976,55713.0,11621.627295693146,46874,68877,5395.689527430106,108.89192737516647,5329.548737669286,5521.369310575636,4690.333333333333,72.26571340084683,4629.0,4770.0,9335.550000000001,533.6828482347921,8996.9,9950.75,17754.016666666666,812.167981906039,16908.600000000006,18528.25,99.71666666666665,0.1364225461978725,99.6,99.86666666666666,5983.0,2838.6666666666665,55713.0,5395.689527430106,4690.333333333333,9335.550000000001,17754.016666666666,99.71666666666665
120,60,fibonacci_go_c2,3,7449.666666666667,2.3094010767585034,7447,7451,2942.0,55.054518434003214,2881,2988,51396.333333333336,5597.480891734544,46736,57605,5463.22764965535,40.75944126577003,5417.765266407194,5496.5044960407995,4677.333333333333,42.665364563464514,4631.0,4715.0,9988.6,231.18894869781326,9797.3,10245.5,17921.88,395.57999595530583,17511.0,18300.14,124.16111111111111,0.03849001794598107,124.11666666666666,124.18333333333334,7449.666666666667,2942.0,51396.333333333336,5463.22764965535,4677.333333333333,9988.6,17921.88,124.16111111111111
140,60,fibonacci_go_c2,3,8495.0,11.532562594670797,8483,8506,2786.0,207.1038386896776,2598,3008,119667.66666666667,125947.13599099159,43582,265046,5455.431085636642,16.26547502929609,5440.066854990584,5472.468466344453,4607.5,143.17209923724664,4443.0,4704.0,9603.099999999999,361.04953607504024,9191.799999999996,9867.75,17561.263333333354,232.5198830924229,17324.150000000056,17788.899999999972,141.58333333333334,0.1922093765778566,141.38333333333333,141.76666666666668,8495.0,2786.0,119667.66666666667,5455.431085636642,4607.5,9603.099999999999,17561.263333333354,141.58333333333334
160,60,fibonacci_go_c2,3,9866.666666666666,19.03505538035898,9847,9885,2694.0,167.77067681809,2583,2887,63214.333333333336,6121.2389541116045,57980,69945,5315.563070413508,203.6563031676233,5080.415687069315,5435.4107233181585,4470.666666666667,141.68392051793785,4325.0,4608.0,10174.899999999992,1017.4653851605899,9047.3,11024.399999999987,18846.456666666596,836.6062306922885,18026.44,19698.719999999794,164.44444444444446,0.3172509230059791,164.11666666666667,164.75,9866.666666666666,2694.0,63214.333333333336,5315.563070413508,4470.666666666667,10174.899999999992,18846.456666666596,164.44444444444446
180,60,fibonacci_go_c2,3,11779.0,16.703293088490067,11761,11794,2586.6666666666665,97.72580689527885,2493,2688,56949.666666666664,10797.72579450568,46778,68280,5234.466264761856,132.5085883748765,5097.127482600577,5361.548584025776,4332.333333333333,77.03949203709311,4267.5,4417.5,10293.333333333334,265.0954042101363,9994.799999999996,10501.200000000004,18983.726666666655,1465.2196736780832,17439.0,20353.779999999984,196.3166666666667,0.27838821814149295,196.01666666666668,196.56666666666666,11779.0,2586.6666666666665,56949.666666666664,5234.466264761856,4332.333333333333,10293.333333333334,18983.726666666655,196.3166666666667
200,60,fibonacci_go_c2,3,11790.0,15.0,11775,11805,2728.0,46.93612681080534,2674,2759,141279.33333333334,148001.4410887047,48340,311951,5769.68799380364,590.2960276325726,5386.585175772978,6449.474564755838,4519.0,39.03844259188627,4479.0,4557.0,11109.516666666656,508.66641901478744,10709.199999999997,11681.899999999983,20060.676666666677,2974.3684539803844,17821.919999999955,23435.68000000007,196.5,0.25,196.25,196.75,11790.0,2728.0,141279.33333333334,5769.68799380364,4519.0,11109.516666666656,20060.676666666677,196.5
220,60,fibonacci_go_c2,3,14659.333333333334,62.06716791777544,14588,14701,2645.3333333333335,6.506407098647712,2639,2652,63486.333333333336,4612.795392528627,58695,67897,5577.657833867964,56.103266431461286,5519.778065218871,5631.797436248972,4569.0,40.779897008207364,4522.0,4595.0,11240.88333333333,159.553316585192,11092.799999999988,11409.849999999997,19550.57999999997,551.3984377924985,19142.799999999934,20177.93999999997,244.32222222222222,1.0344527986295986,243.13333333333333,245.01666666666668,14659.333333333334,2645.3333333333335,63486.333333333336,5577.657833867964,4569.0,11240.88333333333,19550.57999999997,244.32222222222222
240,60,fibonacci_go_c2,3,14616.333333333334,81.54344445345275,14549,14707,2648.6666666666665,115.99281586948966,2571,2782,74345.66666666667,28820.113069405772,45019,102631,5812.196435288143,251.4614318639546,5532.426395593935,6019.382238059344,4696.0,126.36850873536493,4584.0,4833.0,12123.766666666661,1042.2931849212716,10928.099999999997,12840.599999999993,21071.83333333334,2082.3225667829024,18686.22000000001,22524.84000000002,243.60555555555558,1.3590574075575552,242.48333333333332,245.11666666666667,14616.333333333334,2648.6666666666665,74345.66666666667,5812.196435288143,4696.0,12123.766666666661,21071.83333333334,243.60555555555558
260,60,fibonacci_go_c2,3,19097.666666666668,17.61628034896508,19079,19114,2643.0,35.79106033634656,2602,2668,108227.0,36396.81267638692,81935,149768,6689.982224360319,160.28646225076415,6527.91445026178,6848.425913307826,5257.0,60.530983801686226,5189.0,5305.0,14737.449999999997,313.07550606842324,14424.05,15050.199999999997,24808.273333333305,980.048790333051,23694.029999999995,25536.68999999991,318.2944444444444,0.29360467248274036,317.98333333333335,318.56666666666666,19097.666666666668,2643.0,108227.0,6689.982224360319,5257.0,14737.449999999997,24808.273333333305,318.2944444444444
280,60,fibonacci_go_c2,3,19176.333333333332,47.81561809004808,19132,19227,2600.0,156.1537703675451,2448,2760,74876.66666666667,3808.992824006542,70653,78051,6543.980364116495,191.8306595460342,6391.948304642671,6759.508728831277,5203.5,178.2182650572045,5012.0,5364.5,14443.366666666669,543.4822198870319,13896.500000000004,14983.400000000009,24128.243333333347,1396.7747386867236,22517.74,25008.920000000042,319.60555555555555,0.7969269681674584,318.8666666666667,320.45,19176.333333333332,2600.0,74876.66666666667,6543.980364116495,5203.5,14443.366666666669,24128.243333333347,319.60555555555555
300,60,fibonacci_go_c2,3,19143.666666666668,21.07921567168317,19131,19168,2495.6666666666665,106.16182615862131,2397,2608,70689.33333333333,9553.760114914616,63019,81391,6646.337363821284,128.42577199103525,6515.263199081803,6771.939839013172,5306.666666666667,128.3445882510569,5163.0,5410.0,14550.616666666663,412.186985278936,14236.899999999987,15017.45,24479.113333333244,822.7372095834365,23581.60000000002,25197.589999999767,319.0611111111111,0.3513202611946953,318.85,319.46666666666664,19143.666666666668,2495.6666666666665,70689.33333333333,6646.337363821284,5306.666666666667,14550.616666666663,24479.113333333244,319.0611111111111
320,60,fibonacci_go_c2,3,19128.666666666668,34.530180036213736,19095,19164,2648.3333333333335,29.569128044860122,2620,2679,138936.33333333334,106105.85042462706,66078,260672,6844.240458070329,303.44682135530155,6647.8632853266545,7193.739565331239,5289.0,62.385895841928885,5217.0,5327.0,15226.283333333327,581.6174781016579,14868.800000000003,15897.399999999994,27126.44,2910.415599669584,24646.960000000006,30330.780000000017,318.81111111111113,0.5755030006035499,318.25,319.4,19128.666666666668,2648.3333333333335,138936.33333333334,6844.240458070329,5289.0,15226.283333333327,27126.44,318.81111111111113
340,60,fibonacci_go_c2,3,27499.666666666668,59.74389787529211,27453,27567,2788.6666666666665,44.81443219916251,2737,2817,128105.0,2590.36426009934,125184,130123,9537.910182542631,517.148643055319,9100.194150001822,10108.544015429965,7273.666666666667,287.8060689654291,7065.0,7602.0,22388.533333333322,1714.4287600636203,20668.399999999998,24097.199999999968,38938.72000000001,4760.668815366183,34336.92,43843.76000000001,458.3277777777778,0.995731631254855,457.55,459.45,27499.666666666668,2788.6666666666665,128105.0,9537.910182542631,7273.666666666667,22388.533333333322,38938.72000000001,458.3277777777778
